id,energy_consumption,energy_effective,energy_waste
0,216863091.0,181405331.0,35457760.0
1,218940066.0,186091156.0,32848910.0
2,217828545.0,185510685.0,32317860.0
3,217828726.0,185717586.0,32111140.0
4,212794754.0,180778134.0,32016620.0
5,213341193.0,182084573.0,31256620.0
6,213971435.0,182539875.0,31431560.0
7,213926728.0,182411188.0,31515540.0
8,212256641.0,181030521.0,31226120.0
9,212256822.0,180899602.0,31357220.0
10,212238541.0,181206031.0,31032510.0
11,213946457.0,183754227.0,30192230.0
12,214050713.0,185191383.0,28859330.0
13,214071166.0,185195876.0,28875290.0
14,214071166.0,184889976.0,29181190.0
15,214067365.0,184797445.0,29269920.0
16,213085440.0,185442540.0,27642900.0
17,208011286.0,179224486.0,28786800.0
18,208011286.0,179229616.0,28781670.0
19,207164206.0,178351186.0,28813020.0
20,207164206.0,178133636.0,29030570.0
21,206388440.0,176603710.0,29784730.0
22,206388440.0,176351200.0,30037240.0
23,208015268.0,179623528.0,28391740.0
24,207519147.0,178623097.0,28896050.0
25,207376700.0,178436190.0,28940510.0
26,207353894.0,178125724.0,29228170.0
27,207371270.0,178562240.0,28809030.0
28,207018320.0,177800790.0,29217530.0
29,207018320.0,177485960.0,29532360.0
30,204891570.0,174996260.0,29895310.0
31,204907317.0,176662587.0,28244730.0
32,198363624.0,171540144.0,26823480.0
33,196517786.0,170281026.0,26236760.0
34,197064949.0,169501229.0,27563720.0
35,200879524.0,172334404.0,28545120.0
36,198015561.0,166933791.0,31081770.0
37,197992031.0,166867321.0,31124710.0
38,197975741.0,166927791.0,31047950.0
39,197447040.0,165920810.0,31526230.0
40,192378497.0,159843127.0,32535370.0
41,192785566.0,160440626.0,32344940.0
42,192784118.0,160230368.0,32553750.0
43,192765475.0,160128695.0,32636780.0
44,191005793.0,158839313.0,32166480.0
45,191001992.0,158793522.0,32208470.0
46,191001992.0,159083082.0,31918910.0
47,191001992.0,158869332.0,32132660.0
48,187330045.0,154608145.0,32721900.0
49,186762791.0,154016191.0,32746600.0
50,190594380.0,158438110.0,32156270.0
51,191421731.0,159409531.0,32012200.0
52,190925610.0,158214920.0,32710690.0
53,190834929.0,158180099.0,32654830.0
54,191324896.0,158796656.0,32528240.0
55,189659334.0,155929054.0,33730280.0
56,190035271.0,156800181.0,33235090.0
57,189941694.0,156502354.0,33439340.0
58,189958346.0,156727436.0,33230910.0
59,191185164.0,158646144.0,32539020.0
60,188837956.0,156098626.0,32739330.0
61,188696957.0,156375437.0,32321520.0
62,188152328.0,155359178.0,32793150.0
63,187657836.0,154899266.0,32758570.0
64,154475649.0,116361139.0,38114510.0
65,155859213.0,123168703.0,32690510.0
66,154733212.0,123472032.0,31261180.0
67,145481940.0,115462740.0,30019200.0
68,152221294.0,122878784.0,29342510.0
69,151148688.0,121087928.0,30060760.0
70,151151041.0,120523131.0,30627910.0
71,151141991.0,120501731.0,30640260.0
72,150581615.0,119554895.0,31026720.0
73,156030982.0,125853852.0,30177130.0
74,155991162.0,125517632.0,30473530.0
75,155349155.0,124884315.0,30464840.0
76,145730634.0,116534754.0,29195880.0
77,147320357.0,119183447.0,28136910.0
78,147320357.0,119199787.0,28120570.0
79,147352032.0,118919862.0,28432170.0
80,145811722.0,114165082.0,31646640.0
81,141721122.0,109146042.0,32575080.0
82,140419189.0,108141079.0,32278110.0
83,140419189.0,108004849.0,32414340.0
84,138706386.0,105013246.0,33693140.0
85,138510544.0,105191514.0,33319030.0
86,138839240.0,106096530.0,32742710.0
87,134734884.0,102200554.0,32534330.0
88,134235867.0,101930677.0,32305190.0
89,134304647.0,101886977.0,32417670.0
90,138916527.0,104998947.0,33917580.0
91,138918337.0,105197217.0,33721120.0
92,133894139.0,100879719.0,33014420.0
93,134100298.0,101338438.0,32761860.0
94,133400190.0,99738630.0,33661560.0
95,132824610.0,98621310.0,34203300.0
96,122617477.0,93612547.0,29004930.0
97,122639197.0,94184747.0,28454450.0
98,123542568.0,96253438.0,27289130.0
99,123542568.0,96240898.0,27301670.0
100,122158461.0,91946931.0,30211530.0
101,121609126.0,91905706.0,29703420.0
102,117419157.0,87450827.0,29968330.0
103,117747672.0,88043772.0,29703900.0
104,111874041.0,82407461.0,29466580.0
105,110551293.0,81983033.0,28568260.0
106,110518894.0,81988494.0,28530400.0
107,110518894.0,81976144.0,28542750.0
108,86656578.0,60028888.0,26627690.0
109,86585626.0,59998216.0,26587410.0
110,81594913.0,56415453.0,25179460.0
111,81594913.0,56415453.0,25179460.0
112,82019901.0,59144671.0,22875230.0
113,81515454.0,58701834.0,22813620.0
114,80216417.0,57809587.0,22406830.0
115,81767225.0,59208585.0,22558640.0
116,78006950.0,56081250.0,21925700.0
117,78006950.0,56012660.0,21994290.0
118,78006950.0,56012660.0,21994290.0
119,78006950.0,56012660.0,21994290.0
120,75704268.0,53207188.0,22497080.0
121,72857862.0,51102162.0,21755700.0
122,68662644.0,48280744.0,20381900.0
123,68173944.0,48330504.0,19843440.0
124,68153129.0,48286889.0,19866240.0
125,68153129.0,48278339.0,19874790.0
126,68153129.0,48276439.0,19876690.0
127,68153129.0,48276439.0,19876690.0
