time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.0,0,0,0,128,0
0.0,0,0,0,124,4
132.0,0,0,0,128,0
256.0,0,0,0,128,0
256.0,0,0,0,127,1
297.0,0,0,0,127,1
297.0,0,0,0,123,5
300.0,0,0,0,123,5
300.0,0,0,123,0,5
321.0,0,0,123,4,1
328.0,0,0,123,4,1
328.0,0,0,123,3,2
337.0,0,0,123,4,1
367.0,0,0,123,5,0
455.0,0,0,123,5,0
455.0,0,0,123,4,1
490.0,0,0,123,4,1
494.0,0,0,123,4,1
571.0,0,0,123,5,0
576.0,0,0,123,5,0
621.0,0,0,123,5,0
621.0,0,0,126,2,0
637.0,0,0,126,2,0
637.0,0,0,127,1,0
871.0,0,0,127,1,0
871.0,0,0,128,0,0
1300.0,0,0,128,0,0
1307.0,0,0,128,0,0
1316.0,0,0,128,0,0
1326.0,0,0,128,0,0
1343.0,0,0,128,0,0
1535.0,0,0,128,0,0
1651.0,0,0,128,0,0
1795.0,0,0,128,0,0
1817.0,0,0,128,0,0
1906.0,0,0,128,0,0
1924.0,0,0,128,0,0
1927.0,0,0,128,0,0
2030.0,0,0,128,0,0
2100.0,123,0,5,0,0
2100.0,107,16,5,0,0
2349.0,107,16,5,0,0
2421.0,110,16,2,0,0
2437.0,111,16,1,0,0
2671.0,112,16,0,0,0
2800.0,112,16,0,0,0
2846.0,112,16,0,0,0
2889.0,112,16,0,0,0
2953.0,112,16,0,0,0
3239.0,112,16,0,0,0
3252.0,112,16,0,0,0
3267.0,112,16,0,0,0
3968.0,112,16,0,0,0
4150.0,112,16,0,0,0
4161.0,112,16,0,0,0
4297.0,112,16,0,0,0
4800.0,112,0,0,16,0
4800.0,96,16,0,0,16
5044.0,96,16,0,0,16
5114.0,96,16,0,0,16
5175.0,96,16,0,0,16
5274.0,96,16,0,0,16
5450.0,96,16,0,0,16
5587.0,96,16,0,0,16
5731.0,96,16,0,0,16
5815.0,96,16,0,0,16
5921.0,96,16,0,16,0
5921.0,96,16,0,0,16
6066.0,96,16,0,8,8
6066.0,96,16,0,0,16
6074.0,96,16,0,8,8
6074.0,96,16,0,0,16
6100.0,96,16,0,1,15
6100.0,96,16,0,0,16
6102.0,96,16,0,2,14
6102.0,96,16,0,0,16
6112.0,96,16,0,4,12
6112.0,96,16,0,0,16
6121.0,96,16,0,1,15
6134.0,96,16,0,2,14
6134.0,96,16,0,0,16
6159.0,96,16,0,2,14
6179.0,96,16,0,3,13
6193.0,96,16,0,3,13
6254.0,96,16,0,4,12
6254.0,96,16,0,0,16
6266.0,96,16,0,4,12
6266.0,96,16,0,0,16
6295.0,96,16,0,4,12
6311.0,96,16,0,8,8
6311.0,96,16,0,0,16
6389.0,96,16,0,8,8
6389.0,96,16,0,0,16
6404.0,96,16,0,2,14
6421.0,96,16,0,2,14
6459.0,96,16,0,2,14
6465.0,96,16,0,10,6
6465.0,96,16,0,2,14
6534.0,96,16,0,10,6
6534.0,96,16,0,2,14
6576.0,96,16,0,10,6
6576.0,96,16,0,2,14
6595.0,96,16,0,2,14
6663.0,96,16,0,10,6
6675.0,96,16,0,10,6
6704.0,96,16,0,10,6
6928.0,96,16,0,10,6
6928.0,96,16,0,2,14
6935.0,96,16,0,2,14
6963.0,96,16,0,2,14
7007.0,96,16,0,2,14
7014.0,96,16,0,10,6
7014.0,96,16,0,2,14
7067.0,96,16,0,2,14
7085.0,96,16,0,4,12
7106.0,96,16,0,12,4
7106.0,96,16,0,4,12
7125.0,96,16,0,4,12
7140.0,96,16,0,8,8
7161.0,96,16,0,8,8
7161.0,96,16,0,0,16
7168.0,96,16,0,0,16
7224.0,96,16,0,0,16
7234.0,96,16,0,8,8
7234.0,96,16,0,0,16
7235.0,96,16,0,8,8
7267.0,96,16,0,8,8
7267.0,96,16,0,0,16
7326.0,96,16,0,8,8
7331.0,96,16,0,16,0
7331.0,96,16,0,0,16
7339.0,96,16,0,16,0
7339.0,96,16,0,0,16
7385.0,96,16,0,0,16
7388.0,96,16,0,0,16
7425.0,96,16,0,16,0
7425.0,96,16,0,8,8
7441.0,96,16,0,16,0
7451.0,96,16,0,16,0
7500.0,96,0,0,32,0
7500.0,96,0,0,0,32
7535.0,96,0,0,0,32
7556.0,96,0,0,0,32
7558.0,96,0,0,0,32
7626.0,96,0,0,0,32
7698.0,96,0,0,0,32
7725.0,96,0,0,0,32
7822.0,96,0,0,0,32
7892.0,96,0,0,0,32
7923.0,96,0,0,0,32
7945.0,96,0,0,0,32
8010.0,96,0,0,0,32
8255.0,96,0,0,32,0
8255.0,96,0,0,0,32
8307.0,96,0,0,8,24
8307.0,96,0,0,0,32
8345.0,96,0,0,8,24
8345.0,96,0,0,0,32
8406.0,96,0,0,8,24
8406.0,96,0,0,6,26
8409.0,96,0,0,7,25
8415.0,96,0,0,15,17
8431.0,96,0,0,16,16
8445.0,96,0,0,32,0
8445.0,96,0,0,0,32
8466.0,96,0,0,0,32
8706.0,96,0,0,0,32
8772.0,96,0,0,0,32
8785.0,96,0,0,32,0
8785.0,64,32,0,0,32
8795.0,64,32,0,0,32
8831.0,64,32,0,0,32
8852.0,64,32,0,0,32
9003.0,64,32,0,0,32
9047.0,64,32,0,0,32
9098.0,64,32,0,0,32
9121.0,64,32,0,0,32
9137.0,64,32,0,0,32
9196.0,64,32,0,0,32
9208.0,64,32,0,0,32
9233.0,64,32,0,0,32
9240.0,64,32,0,0,32
9381.0,64,32,0,0,32
9451.0,64,32,0,0,32
9538.0,64,32,0,0,32
9541.0,64,32,0,0,32
9565.0,64,32,0,0,32
9569.0,64,32,0,0,32
9572.0,64,32,0,0,32
9594.0,64,32,0,0,32
9632.0,64,32,0,0,32
9750.0,64,32,0,0,32
9758.0,64,32,0,0,32
9780.0,64,32,0,0,32
9892.0,64,32,0,0,32
9899.0,64,32,0,0,32
10146.0,64,32,0,0,32
10175.0,64,32,0,0,32
10231.0,64,32,0,0,32
10265.0,64,32,0,0,32
10290.0,64,32,0,0,32
10369.0,64,32,0,0,32
10509.0,64,32,0,0,32
10826.0,64,32,0,0,32
10847.0,64,32,0,0,32
11028.0,64,32,0,0,32
11050.0,64,32,0,0,32
11136.0,64,32,0,0,32
11327.0,64,32,0,0,32
11441.0,64,32,0,0,32
11479.0,64,32,0,0,32
11485.0,64,0,0,32,32
11485.0,64,0,0,0,64
11536.0,64,0,0,0,64
11598.0,64,0,0,0,64
11692.0,64,0,0,0,64
11739.0,64,0,0,0,64
11877.0,64,0,0,32,32
11877.0,64,0,0,0,64
11883.0,64,0,0,0,64
12110.0,64,0,0,0,64
12135.0,64,0,0,0,64
12208.0,64,0,0,0,64
12238.0,64,0,0,32,32
12238.0,64,0,0,0,64
12277.0,64,0,0,0,64
12554.0,64,0,0,0,64
12908.0,64,0,0,0,64
12983.0,64,0,0,0,64
13009.0,64,0,0,0,64
13032.0,64,0,0,0,64
13364.0,64,0,0,16,48
13364.0,64,0,0,0,64
13368.0,64,0,0,1,63
13368.0,64,0,0,0,64
13410.0,64,0,0,1,63
13410.0,64,0,0,0,64
13419.0,64,0,0,1,63
13419.0,64,0,0,0,64
13427.0,64,0,0,1,63
13427.0,64,0,0,0,64
13451.0,64,0,0,1,63
13451.0,64,0,0,0,64
13454.0,64,0,0,1,63
13454.0,64,0,0,0,64
13460.0,64,0,0,1,63
13460.0,64,0,0,0,64
13463.0,64,0,0,8,56
13463.0,64,0,0,0,64
13466.0,64,0,0,2,62
13466.0,64,0,0,0,64
13478.0,64,0,0,1,63
13482.0,64,0,0,3,61
13482.0,64,0,0,1,63
13486.0,64,0,0,5,59
13486.0,64,0,0,1,63
13511.0,64,0,0,2,62
13511.0,64,0,0,0,64
13525.0,64,0,0,4,60
13525.0,64,0,0,0,64
13531.0,64,0,0,2,62
13531.0,64,0,0,0,64
13546.0,64,0,0,8,56
13546.0,64,0,0,0,64
13548.0,64,0,0,0,64
13554.0,64,0,0,2,62
13554.0,64,0,0,0,64
13558.0,64,0,0,2,62
13558.0,64,0,0,0,64
13584.0,64,0,0,4,60
13584.0,64,0,0,0,64
13592.0,64,0,0,4,60
13592.0,64,0,0,0,64
13622.0,64,0,0,4,60
13622.0,64,0,0,0,64
13623.0,64,0,0,2,62
13623.0,64,0,0,0,64
13634.0,64,0,0,4,60
13634.0,64,0,0,0,64
13651.0,64,0,0,2,62
13651.0,64,0,0,0,64
13700.0,64,0,0,2,62
13700.0,64,0,0,0,64
13739.0,64,0,0,2,62
13739.0,64,0,0,0,64
13755.0,64,0,0,2,62
13755.0,64,0,0,0,64
13756.0,64,0,0,2,62
13756.0,64,0,0,0,64
13771.0,64,0,0,4,60
13771.0,64,0,0,0,64
13778.0,64,0,0,0,64
13874.0,64,0,0,4,60
13874.0,64,0,0,0,64
13913.0,64,0,0,2,62
13947.0,64,0,0,2,62
13957.0,64,0,0,6,58
13957.0,64,0,0,2,62
13999.0,64,0,0,6,58
13999.0,64,0,0,2,62
14048.0,64,0,0,6,58
14048.0,64,0,0,2,62
14085.0,64,0,0,6,58
14085.0,64,0,0,2,62
14129.0,64,0,0,2,62
14129.0,64,0,0,0,64
14140.0,64,0,0,4,60
14140.0,64,0,0,0,64
14184.0,64,0,0,32,32
14184.0,64,0,0,0,64
14213.0,64,0,0,0,64
14294.0,64,0,0,2,62
14307.0,64,0,0,4,60
14307.0,64,0,0,0,64
14392.0,64,0,0,0,64
14463.0,64,0,0,32,32
14463.0,64,0,0,0,64
14505.0,64,0,0,8,56
14505.0,64,0,0,0,64
14550.0,64,0,0,8,56
14550.0,64,0,0,0,64
14594.0,64,0,0,0,64
14637.0,64,0,0,8,56
14637.0,64,0,0,0,64
14639.0,64,0,0,0,64
14660.0,64,0,0,2,62
14660.0,64,0,0,0,64
14677.0,64,0,0,8,56
14677.0,64,0,0,0,64
14687.0,64,0,0,0,64
14699.0,64,0,0,2,62
14699.0,64,0,0,0,64
14703.0,64,0,0,4,60
14703.0,64,0,0,2,62
14704.0,64,0,0,4,60
14756.0,64,0,0,12,52
14756.0,64,0,0,4,60
