job_id,subtime,start_time,finish_time,waiting_time
34036,0,0.0,132.0,0.0
34040,297,297.0,321.0,0.0
34041,328,328.0,337.0,0.0
34039,256,256.0,367.0,0.0
34042,455,455.0,571.0,0.0
34043,490,4800.0,5921.0,4310.0
34047,871,5921.0,6066.0,5050.0
34045,576,5921.0,6074.0,5345.0
34051,1326,6066.0,6100.0,4740.0
34061,1817,6074.0,6102.0,4257.0
34060,1795,6074.0,6112.0,4279.0
34075,2953,6102.0,6121.0,3149.0
34049,1307,6066.0,6134.0,4759.0
34088,4150,6134.0,6159.0,1984.0
34070,2349,6102.0,6179.0,3753.0
34065,2030,6100.0,6254.0,4070.0
34048,1300,6066.0,6266.0,4766.0
34092,4297,6254.0,6295.0,1957.0
34115,6193,6266.0,6311.0,73.0
34104,5175,6311.0,6389.0,1136.0
34052,1343,6066.0,6404.0,4723.0
34105,5274,6389.0,6465.0,1115.0
34106,5450,6465.0,6534.0,1015.0
34109,5587,6534.0,6576.0,947.0
34111,5731,6576.0,6663.0,845.0
34123,6928,6928.0,7014.0,0.0
34064,1927,6074.0,7085.0,4147.0
34125,7007,7014.0,7106.0,7.0
34062,1906,6112.0,7140.0,4206.0
34130,7161,7161.0,7234.0,0.0
34127,7067,7106.0,7235.0,39.0
34133,7267,7267.0,7326.0,0.0
34132,7224,7234.0,7331.0,10.0
34079,3252,7331.0,7339.0,4079.0
34086,3968,7339.0,7425.0,3371.0
34136,7388,7425.0,7441.0,37.0
34044,494,7500.0,8255.0,7006.0
34137,7451,8255.0,8307.0,804.0
34135,7385,8255.0,8345.0,870.0
34139,7558,8345.0,8406.0,787.0
34151,8010,8406.0,8409.0,396.0
34138,7556,8307.0,8415.0,751.0
34146,7892,8406.0,8431.0,514.0
34050,1316,8255.0,8445.0,6939.0
34056,1535,8445.0,8785.0,6910.0
34063,1924,11485.0,11877.0,9561.0
34058,1651,8785.0,12238.0,7134.0
34080,3267,12238.0,13364.0,8971.0
34179,9541,13364.0,13368.0,3823.0
34182,9572,13368.0,13410.0,3796.0
34144,7822,13364.0,13419.0,5542.0
34189,9758,13410.0,13427.0,3652.0
34197,10231,13427.0,13451.0,3196.0
34239,12554,13451.0,13454.0,897.0
34196,10175,13419.0,13460.0,3244.0
34141,7698,13364.0,13463.0,5666.0
34149,7945,13364.0,13466.0,5419.0
34245,12983,13460.0,13478.0,477.0
34159,8795,13466.0,13482.0,4671.0
34148,7923,13364.0,13486.0,5441.0
34243,12908,13454.0,13511.0,546.0
34158,8772,13486.0,13525.0,4714.0
34163,9003,13511.0,13531.0,4508.0
34154,8466,13463.0,13546.0,4997.0
34168,9121,13531.0,13554.0,4410.0
34161,8852,13482.0,13558.0,4630.0
34164,9047,13546.0,13584.0,4499.0
34166,9098,13546.0,13592.0,4448.0
34160,8831,13525.0,13622.0,4694.0
34172,9196,13554.0,13623.0,4358.0
34183,9594,13592.0,13634.0,3998.0
34185,9632,13622.0,13651.0,3990.0
34200,10290,13623.0,13700.0,3333.0
34190,9780,13622.0,13739.0,3842.0
34208,10847,13651.0,13755.0,2804.0
34218,11441,13739.0,13756.0,2298.0
34188,9750,13634.0,13771.0,3884.0
34198,10265,13771.0,13874.0,3506.0
34174,9233,13558.0,13913.0,4325.0
34173,9208,13584.0,13957.0,4376.0
34207,10826,13874.0,13999.0,3048.0
34217,11327,13999.0,14048.0,2672.0
34219,11479,14048.0,14085.0,2569.0
34228,11883,14085.0,14140.0,2202.0
34072,2800,11877.0,14184.0,9077.0
34231,12135,13755.0,14294.0,1620.0
34257,14129,14129.0,14307.0,0.0
34074,2889,14184.0,14463.0,11295.0
34073,2846,12238.0,14505.0,9392.0
34169,9137,14505.0,14550.0,5368.0
34175,9240,14550.0,14637.0,5310.0
34213,11050,13700.0,14660.0,2650.0
34177,9381,14637.0,14677.0,5256.0
34248,13032,13756.0,14699.0,724.0
34230,12110,14140.0,14703.0,2030.0
34266,14639,14699.0,14704.0,60.0
34178,9451,14677.0,14756.0,5226.0
34261,14392,14660.0,14759.0,268.0
34267,14687,14703.0,14763.0,16.0
34192,9892,14763.0,14768.0,4871.0
34195,10146,14768.0,14849.0,4622.0
34180,9565,14756.0,14859.0,5191.0
34211,11028,13957.0,14939.0,2929.0
34202,10369,14849.0,14942.0,4480.0
34205,10509,14859.0,14943.0,4350.0
34220,11536,14943.0,14986.0,3407.0
34078,3239,14463.0,15171.0,11224.0
34246,13009,14307.0,15270.0,1298.0
34274,15273,15273.0,15334.0,0.0
34215,11136,14942.0,15361.0,3806.0
34250,13548,14986.0,15370.0,1438.0
34277,15445,15445.0,15506.0,0.0
34181,9569,15370.0,15620.0,5801.0
34193,9899,15620.0,15716.0,5721.0
34222,11598,15716.0,15778.0,4118.0
34089,4161,15171.0,16047.0,11010.0
34101,5044,16047.0,16273.0,11003.0
34256,13947,15778.0,16991.0,1831.0
34273,15235,16991.0,17937.0,1756.0
34282,15596,17937.0,17948.0,2341.0
34290,15962,17948.0,17966.0,1986.0
34298,16798,17948.0,17978.0,1150.0
34317,17834,17948.0,18007.0,114.0
34287,15894,17948.0,18009.0,2054.0
34297,16684,17948.0,18033.0,1264.0
34303,16985,17948.0,18123.0,963.0
34313,17575,17948.0,18146.0,373.0
34288,15920,18146.0,18159.0,2226.0
34305,17070,18159.0,18213.0,1089.0
34306,17083,18213.0,18370.0,1130.0
34309,17276,18370.0,18643.0,1094.0
34318,17972,18643.0,18943.0,671.0
34331,18846,18943.0,18963.0,97.0
34112,5815,18973.0,19199.0,13158.0
34121,6675,19199.0,19315.0,12524.0
34124,6935,19315.0,19597.0,12380.0
34103,5114,16273.0,19810.0,11159.0
34224,11692,19810.0,19960.0,8118.0
34226,11739,19960.0,20083.0,8221.0
34232,12208,20083.0,20133.0,7875.0
34279,15528,20133.0,20140.0,4605.0
34280,15572,20140.0,20150.0,4568.0
34296,16626,20150.0,20402.0,3524.0
34302,16961,20402.0,20645.0,3441.0
34319,18115,20645.0,20832.0,2530.0
34326,18542,20832.0,21004.0,2290.0
34311,17538,20645.0,21573.0,3107.0
34327,18547,21004.0,21804.0,2457.0
34340,19241,21804.0,21812.0,2563.0
34335,18950,21804.0,21818.0,2854.0
34343,19419,21804.0,21823.0,2385.0
34356,19895,21804.0,21827.0,1909.0
34358,19996,21812.0,21833.0,1816.0
34334,18944,21804.0,21840.0,2860.0
34349,19684,21804.0,21881.0,2120.0
34330,18742,21804.0,21885.0,3062.0
34348,19657,21804.0,21890.0,2147.0
34372,20895,21840.0,21890.0,945.0
34368,20481,21823.0,21902.0,1342.0
34357,19961,21885.0,21929.0,1924.0
34329,18736,21573.0,21941.0,2837.0
34359,20108,21902.0,21945.0,1794.0
34371,20883,21929.0,22054.0,1046.0
34332,18872,21941.0,22138.0,3069.0
34345,19530,22054.0,22272.0,2524.0
34346,19578,22138.0,22461.0,2560.0
34354,19802,22272.0,22481.0,2470.0
34361,20174,22461.0,22527.0,2287.0
34365,20386,22481.0,22547.0,2095.0
34370,20556,22527.0,22548.0,1971.0
34382,22503,22547.0,22553.0,44.0
34384,22554,22554.0,22568.0,0.0
34385,22557,22557.0,22587.0,0.0
34374,22088,22547.0,22595.0,459.0
34376,22151,22547.0,22607.0,396.0
34379,22327,22547.0,22616.0,220.0
34383,22515,22548.0,22626.0,33.0
34381,22413,22547.0,22629.0,134.0
34378,22238,22547.0,22666.0,309.0
34377,22216,22547.0,22679.0,331.0
34387,22626,22626.0,22689.0,0.0
34234,12277,22783.0,22841.0,10506.0
34275,15281,22841.0,22866.0,7560.0
34276,15356,22866.0,22883.0,7510.0
34278,15500,22883.0,22895.0,7383.0
34289,15948,22895.0,22914.0,6947.0
34324,18394,22914.0,23108.0,4520.0
34131,7168,12238.0,23205.0,5070.0
34328,18681,23108.0,23363.0,4427.0
34342,19293,23205.0,24920.0,3912.0
34389,22724,24920.0,25017.0,2196.0
34392,22857,25017.0,25041.0,2160.0
34390,22763,25017.0,25089.0,2254.0
34398,23295,25041.0,25102.0,1746.0
34341,19252,23363.0,25119.0,4111.0
34400,23429,25089.0,25177.0,1660.0
34413,24822,25177.0,25190.0,355.0
34404,23573,25102.0,25222.0,1529.0
34360,20128,25119.0,25326.0,4991.0
34367,20467,25326.0,25632.0,4859.0
34375,22101,25632.0,25855.0,3531.0
34380,22374,25855.0,26030.0,3481.0
34424,25808,26030.0,26048.0,222.0
34407,23865,26030.0,26111.0,2165.0
34353,19788,24920.0,26140.0,5132.0
34352,19766,24920.0,26162.0,5154.0
34402,23521,26030.0,26366.0,2509.0
34308,17256,22914.0,26377.0,5658.0
34391,22840,26377.0,26528.0,3537.0
34396,23067,26528.0,26599.0,3461.0
34388,22703,26030.0,26826.0,3327.0
34397,23194,26599.0,26918.0,3405.0
34428,27102,27102.0,27125.0,0.0
34411,24535,26918.0,27130.0,2383.0
34415,24954,27130.0,27171.0,2176.0
34419,25095,27171.0,27211.0,2076.0
34421,25250,27211.0,27307.0,1961.0
34430,27374,27374.0,27393.0,0.0
34431,27447,27447.0,27466.0,0.0
34432,27527,27527.0,27548.0,0.0
34433,27555,27555.0,27578.0,0.0
34422,25424,27307.0,27585.0,1883.0
34434,27599,27599.0,27703.0,0.0
34394,22908,25222.0,28281.0,2314.0
34393,22886,26030.0,29107.0,3144.0
34408,24089,29299.0,29327.0,5210.0
34410,24194,29327.0,29522.0,5133.0
34128,7125,19597.0,30604.0,12472.0
34446,30568,30568.0,30787.0,0.0
34426,26092,32027.0,32473.0,5935.0
34436,27750,32473.0,32933.0,4723.0
34438,28356,32933.0,33402.0,4577.0
34454,31727,33402.0,44328.0,1675.0
34455,42658,44328.0,44413.0,1670.0
34463,44124,44413.0,44437.0,289.0
34473,47990,50690.0,50773.0,2700.0
34475,48441,50773.0,50821.0,2332.0
34476,48659,50821.0,50938.0,2162.0
34489,51180,51180.0,51351.0,0.0
34496,52303,52303.0,52589.0,0.0
34499,53039,53039.0,53160.0,0.0
34474,48084,53390.0,53746.0,5306.0
34478,48784,53746.0,53836.0,4962.0
34480,48923,53836.0,53853.0,4913.0
34505,53376,53836.0,53976.0,460.0
34508,54553,58636.0,58920.0,4083.0
34514,54927,58920.0,59172.0,3993.0
34517,55952,59172.0,61089.0,3220.0
34530,57895,61089.0,62032.0,3194.0
34533,58847,62032.0,62760.0,3185.0
34539,59631,62760.0,62887.0,3129.0
34542,60245,62887.0,63297.0,2642.0
34546,60663,63297.0,63400.0,2634.0
34548,60778,63400.0,63514.0,2622.0
34550,61128,63514.0,63637.0,2386.0
34552,61376,63637.0,63725.0,2261.0
34553,61592,63725.0,63851.0,2133.0
34560,62489,63851.0,63967.0,1362.0
34562,62765,63967.0,64079.0,1202.0
34569,63954,64079.0,64295.0,125.0
34571,64245,64295.0,64418.0,50.0
34572,64403,64418.0,64525.0,15.0
34573,64559,64559.0,64679.0,0.0
34602,70008,72708.0,72729.0,2700.0
