id,energy_consumption,energy_effective,energy_waste
0,210954130.0,173323920.0,37630210.0
1,209142320.0,173960890.0,35181430.0
2,209431920.0,174383110.0,35048810.0
3,208999330.0,174521710.0,34477620.0
4,210579098.0,174973868.0,35605230.0
5,211034313.0,176160253.0,34874060.0
6,210846073.0,176785263.0,34060810.0
7,210844444.0,176766914.0,34077530.0
8,208747197.0,174151867.0,34595330.0
9,209070825.0,174355085.0,34715740.0
10,209989943.0,175404453.0,34585490.0
11,209989943.0,175395143.0,34594800.0
12,209949037.0,175621237.0,34327800.0
13,208970551.0,173695881.0,35274670.0
14,209152818.0,174759748.0,34393070.0
15,208875888.0,174646218.0,34229670.0
16,210638828.0,176637918.0,34000910.0
17,211963386.0,177294146.0,34669240.0
18,212042845.0,177442815.0,34600030.0
19,212042845.0,177440345.0,34602500.0
20,212478150.0,178381480.0,34096670.0
21,213139524.0,179141514.0,33998010.0
22,212624036.0,177747416.0,34876620.0
23,212624036.0,177736016.0,34888020.0
24,211814785.0,176973835.0,34840950.0
25,211578037.0,176482297.0,35095740.0
26,211567539.0,176295859.0,35271680.0
27,211567539.0,176162859.0,35404680.0
28,211567539.0,176025489.0,35542050.0
29,213147669.0,178709999.0,34437670.0
30,213117442.0,178694592.0,34422850.0
31,211837229.0,177796659.0,34040570.0
32,212499870.0,177673610.0,34826260.0
33,211464550.0,174674390.0,36790160.0
34,212999430.0,175648630.0,37350800.0
35,213072735.0,175504955.0,37567780.0
36,206619542.0,165489772.0,41129770.0
37,203691867.0,163536037.0,40155830.0
38,203990336.0,165057396.0,38932940.0
39,203551954.0,164285134.0,39266820.0
40,204319032.0,166656912.0,37662120.0
41,204227627.0,168502937.0,35724690.0
42,203911963.0,168257953.0,35654010.0
43,203592317.0,167327457.0,36264860.0
44,202997551.0,167091081.0,35906470.0
45,202981080.0,167067200.0,35913880.0
46,200864285.0,163521075.0,37343210.0
47,200864285.0,163491815.0,37372470.0
48,195580895.0,156026885.0,39554010.0
49,195958461.0,156862541.0,39095920.0
50,196713050.0,157698500.0,39014550.0
51,197155776.0,158053826.0,39101950.0
52,196542367.0,157702427.0,38839940.0
53,194960970.0,157022250.0,37938720.0
54,194103211.0,157042481.0,37060730.0
55,191569573.0,154605743.0,36963830.0
56,193378668.0,156105898.0,37272770.0
57,194142307.0,157452507.0,36689800.0
58,194008729.0,157050269.0,36958460.0
59,194008729.0,157055209.0,36953520.0
60,192957119.0,156695439.0,36261680.0
61,195471571.0,159120021.0,36351550.0
62,195164233.0,158714833.0,36449400.0
63,195164233.0,158688993.0,36475240.0
64,171757856.0,123338786.0,48419070.0
65,170324698.0,126891298.0,43433400.0
66,169555991.0,124632511.0,44923480.0
67,169552009.0,124228769.0,45323240.0
68,166892033.0,121376513.0,45515520.0
69,164959496.0,118367906.0,46591590.0
70,161978245.0,115581975.0,46396270.0
71,163165786.0,115907626.0,47258160.0
72,160390151.0,112907221.0,47482930.0
73,162372101.0,117398651.0,44973450.0
74,163922547.0,118211567.0,45710980.0
75,163487423.0,118227503.0,45259920.0
76,155150382.0,110413342.0,44737040.0
77,155563967.0,111111407.0,44452560.0
78,156832415.0,112687655.0,44144760.0
79,159404787.0,114038417.0,45366370.0
80,157588995.0,116321605.0,41267390.0
81,156666619.0,114794029.0,41872590.0
82,155323599.0,113040369.0,42283230.0
83,152502714.0,109610434.0,42892280.0
84,151779257.0,108463037.0,43316220.0
85,143805483.0,100923323.0,42882160.0
86,147257877.0,104641717.0,42616160.0
87,147205749.0,104657229.0,42548520.0
88,145825081.0,103791511.0,42033570.0
89,146252603.0,103469813.0,42782790.0
90,146335320.0,103199840.0,43135480.0
91,146738045.0,103477925.0,43260120.0
92,146461296.0,103197756.0,43263540.0
93,146449712.0,103196812.0,43252900.0
94,149683639.0,106227059.0,43456580.0
95,149684182.0,106274152.0,43410030.0
96,144136532.0,102288162.0,41848370.0
97,144223593.0,103714203.0,40509390.0
98,143499412.0,102344402.0,41155010.0
99,142543370.0,100641610.0,41901760.0
100,129045476.0,84345336.0,44700140.0
101,127035290.0,83401050.0,43634240.0
102,124578939.0,82503749.0,42075190.0
103,124474321.0,82383741.0,42090580.0
104,121781222.0,81141962.0,40639260.0
105,121355148.0,80865228.0,40489920.0
106,120290868.0,79998788.0,40292080.0
107,119323604.0,80243444.0,39080160.0
108,111047198.0,69994308.0,41052890.0
109,103825479.0,63015789.0,40809690.0
110,102796675.0,62479135.0,40317540.0
111,101262881.0,61055161.0,40207720.0
112,97887774.0,57912804.0,39974970.0
113,97746956.0,57891876.0,39855080.0
114,94607873.0,55592073.0,39015800.0
115,95664008.0,56513308.0,39150700.0
116,88517223.0,52983903.0,35533320.0
117,87505433.0,52710503.0,34794930.0
118,85517329.0,51092379.0,34424950.0
119,84206346.0,49802486.0,34403860.0
120,83137179.0,50729559.0,32407620.0
121,84862652.0,52092942.0,32769710.0
122,82353630.0,51174940.0,31178690.0
123,82340598.0,51157158.0,31183440.0
124,77501020.0,46771820.0,30729200.0
125,77129246.0,46304286.0,30824960.0
126,80433401.0,49696361.0,30737040.0
127,79047484.0,49436104.0,29611380.0
