time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.0,0,0,0,128,0
0.0,0,0,0,124,4
132.0,0,0,0,128,0
256.0,0,0,0,128,0
256.0,0,0,0,127,1
297.0,0,0,0,127,1
297.0,0,0,0,123,5
300.0,0,0,0,123,5
300.0,0,0,123,0,5
321.0,0,0,123,4,1
328.0,0,0,123,4,1
328.0,0,0,123,3,2
337.0,0,0,123,4,1
367.0,0,0,123,5,0
455.0,0,0,123,5,0
455.0,0,0,123,4,1
490.0,0,0,123,4,1
494.0,0,0,123,4,1
571.0,0,0,123,5,0
576.0,0,0,123,5,0
621.0,0,0,123,5,0
621.0,0,0,126,2,0
637.0,0,0,126,2,0
637.0,0,0,127,1,0
871.0,0,0,127,1,0
871.0,0,0,128,0,0
1300.0,0,0,128,0,0
1307.0,0,0,128,0,0
1316.0,0,0,128,0,0
1326.0,0,0,128,0,0
1343.0,0,0,128,0,0
1535.0,0,0,128,0,0
1651.0,0,0,128,0,0
1795.0,0,0,128,0,0
1817.0,0,0,128,0,0
1906.0,0,0,128,0,0
1924.0,0,0,128,0,0
1927.0,0,0,128,0,0
2030.0,0,0,128,0,0
2100.0,123,0,5,0,0
2100.0,107,16,5,0,0
2349.0,107,16,5,0,0
2421.0,110,16,2,0,0
2437.0,111,16,1,0,0
2671.0,112,16,0,0,0
2800.0,112,16,0,0,0
2846.0,112,16,0,0,0
2889.0,112,16,0,0,0
2953.0,112,16,0,0,0
3239.0,112,16,0,0,0
3252.0,112,16,0,0,0
3267.0,112,16,0,0,0
3968.0,112,16,0,0,0
4150.0,112,16,0,0,0
4161.0,112,16,0,0,0
4297.0,112,16,0,0,0
4800.0,112,0,0,16,0
4800.0,96,16,0,0,16
5044.0,96,16,0,0,16
5114.0,96,16,0,0,16
5175.0,96,16,0,0,16
5274.0,96,16,0,0,16
5450.0,96,16,0,0,16
5587.0,96,16,0,0,16
5731.0,96,16,0,0,16
5815.0,96,16,0,0,16
5921.0,96,16,0,16,0
6193.0,96,16,0,16,0
6221.0,96,16,0,16,0
6675.0,96,16,0,16,0
6928.0,96,16,0,16,0
6935.0,96,16,0,16,0
7007.0,96,16,0,16,0
7067.0,96,16,0,16,0
7125.0,96,16,0,16,0
7161.0,96,16,0,16,0
7168.0,96,16,0,16,0
7224.0,96,16,0,16,0
7267.0,96,16,0,16,0
7385.0,96,16,0,16,0
7388.0,96,16,0,16,0
7451.0,96,16,0,16,0
7500.0,96,0,0,32,0
7500.0,96,0,0,0,32
7556.0,96,0,0,0,32
7558.0,96,0,0,0,32
7698.0,96,0,0,0,32
7822.0,96,0,0,0,32
7892.0,96,0,0,0,32
7923.0,96,0,0,0,32
7945.0,96,0,0,0,32
8010.0,96,0,0,0,32
8255.0,96,0,0,32,0
8255.0,96,0,0,11,21
8323.0,96,0,0,12,20
8400.0,96,0,0,20,12
8400.0,96,0,0,1,31
8408.0,96,0,0,9,23
8434.0,96,0,0,10,22
8455.0,96,0,0,14,18
8466.0,96,0,0,14,18
8555.0,96,0,0,14,18
8590.0,96,0,0,30,2
8708.0,96,0,0,30,2
8734.0,96,0,0,30,2
8738.0,96,0,0,32,0
8738.0,96,0,0,0,32
8755.0,96,0,0,0,32
8772.0,96,0,0,0,32
8795.0,96,0,0,0,32
8831.0,96,0,0,0,32
8852.0,96,0,0,0,32
9003.0,96,0,0,0,32
9047.0,96,0,0,0,32
9078.0,96,0,0,32,0
9078.0,92,4,0,0,32
9098.0,92,4,0,0,32
9121.0,92,4,0,0,32
9137.0,92,4,0,0,32
9196.0,92,4,0,0,32
9208.0,92,4,0,0,32
9233.0,92,4,0,0,32
9240.0,92,4,0,0,32
9381.0,92,4,0,0,32
9451.0,92,4,0,0,32
9541.0,92,4,0,0,32
9565.0,92,4,0,0,32
9569.0,92,4,0,0,32
9572.0,92,4,0,0,32
9594.0,92,4,0,0,32
9632.0,92,4,0,0,32
9750.0,92,4,0,0,32
9758.0,92,4,0,0,32
9780.0,92,4,0,0,32
9831.0,92,4,0,0,32
9892.0,92,4,0,0,32
9899.0,92,4,0,0,32
10146.0,92,4,0,0,32
10175.0,92,4,0,0,32
10231.0,92,4,0,0,32
10265.0,92,4,0,0,32
10290.0,92,4,0,0,32
10369.0,92,4,0,0,32
10509.0,92,4,0,0,32
10826.0,92,4,0,0,32
10847.0,92,4,0,0,32
11028.0,92,4,0,0,32
11050.0,92,4,0,0,32
11136.0,92,4,0,0,32
11327.0,92,4,0,0,32
11441.0,92,4,0,0,32
11479.0,92,4,0,0,32
11536.0,92,4,0,0,32
11598.0,92,4,0,0,32
11692.0,92,4,0,0,32
11739.0,92,4,0,0,32
11778.0,92,0,0,4,32
11778.0,92,0,0,0,36
11816.0,92,0,0,4,32
11816.0,92,0,0,2,34
11844.0,92,0,0,4,32
11844.0,92,0,0,0,36
11883.0,92,0,0,0,36
12110.0,92,0,0,0,36
12116.0,92,0,0,0,36
12135.0,92,0,0,0,36
12208.0,92,0,0,0,36
12277.0,92,0,0,0,36
12531.0,92,0,0,32,4
12531.0,92,0,0,0,36
12554.0,92,0,0,0,36
12872.0,92,0,0,4,32
12872.0,92,0,0,0,36
12908.0,92,0,0,0,36
12923.0,92,0,0,32,4
12923.0,92,0,0,0,36
12949.0,92,0,0,1,35
12983.0,92,0,0,1,35
13009.0,92,0,0,1,35
13026.0,92,0,0,2,34
13032.0,92,0,0,2,34
13249.0,92,0,0,2,34
13249.0,92,0,1,1,34
13326.0,92,0,1,1,34
13326.0,92,0,2,0,34
13548.0,92,0,2,0,34
13883.0,92,0,2,2,32
13947.0,92,0,2,2,32
14129.0,92,0,2,2,32
14183.0,92,0,2,2,32
14183.0,92,0,4,0,32
14392.0,92,0,4,0,32
14639.0,92,0,4,0,32
14687.0,92,0,4,0,32
15049.0,93,0,3,0,32
15126.0,94,0,2,0,32
15230.0,94,0,2,32,0
15230.0,94,0,2,24,8
15235.0,94,0,2,24,8
15273.0,94,0,2,24,8
15281.0,94,0,2,24,8
15356.0,94,0,2,24,8
15445.0,94,0,2,24,8
15500.0,94,0,2,24,8
15528.0,94,0,2,24,8
15530.0,94,0,2,24,8
15572.0,94,0,2,24,8
15596.0,94,0,2,24,8
15894.0,94,0,2,24,8
15920.0,94,0,2,24,8
15948.0,94,0,2,24,8
15962.0,94,0,2,24,8
15983.0,96,0,0,24,8
16626.0,96,0,0,24,8
16684.0,96,0,0,24,8
16798.0,96,0,0,24,8
16961.0,96,0,0,24,8
16985.0,96,0,0,24,8
17070.0,96,0,0,24,8
17083.0,96,0,0,24,8
17256.0,96,0,0,24,8
17276.0,96,0,0,24,8
17497.0,96,0,0,32,0
17497.0,96,0,0,0,32
17538.0,96,0,0,0,32
17575.0,96,0,0,0,32
17776.0,96,0,0,32,0
17776.0,96,0,0,31,1
17795.0,96,0,0,32,0
17795.0,96,0,0,0,32
17834.0,96,0,0,0,32
17972.0,96,0,0,0,32
18076.0,96,0,0,0,32
18115.0,96,0,0,0,32
18394.0,96,0,0,0,32
18503.0,96,0,0,32,0
18503.0,96,0,0,0,32
18511.0,96,0,0,16,16
18511.0,96,0,0,0,32
18542.0,96,0,0,0,32
18547.0,96,0,0,0,32
18597.0,96,0,0,16,16
18597.0,96,0,0,14,18
18622.0,96,0,0,16,16
18681.0,96,0,0,16,16
18736.0,96,0,0,16,16
18742.0,96,0,0,16,16
18846.0,96,0,0,16,16
18872.0,96,0,0,16,16
18897.0,96,0,0,16,16
18922.0,96,0,0,16,16
18944.0,96,0,0,16,16
18950.0,96,0,0,16,16
19241.0,96,0,0,16,16
19252.0,96,0,0,16,16
19293.0,96,0,0,16,16
19419.0,96,0,0,16,16
19530.0,96,0,0,16,16
19578.0,96,0,0,16,16
19629.0,96,0,0,32,0
19629.0,96,0,0,0,32
19657.0,96,0,0,0,32
19684.0,96,0,0,0,32
19766.0,96,0,0,0,32
19788.0,96,0,0,0,32
19802.0,96,0,0,0,32
19895.0,96,0,0,0,32
19961.0,96,0,0,0,32
19996.0,96,0,0,0,32
20108.0,96,0,0,0,32
20128.0,96,0,0,0,32
20174.0,96,0,0,0,32
20386.0,96,0,0,0,32
20467.0,96,0,0,0,32
20481.0,96,0,0,0,32
20505.0,96,0,0,32,0
20505.0,96,0,0,28,4
20546.0,96,0,0,32,0
20546.0,96,0,0,0,32
20556.0,96,0,0,0,32
20772.0,96,0,0,32,0
20772.0,88,8,0,0,32
20805.0,88,8,0,0,32
20883.0,88,8,0,0,32
20895.0,88,8,0,0,32
21609.0,88,8,0,0,32
22088.0,88,8,0,0,32
22101.0,88,8,0,0,32
22151.0,88,8,0,0,32
22216.0,88,8,0,0,32
22238.0,88,8,0,0,32
22327.0,88,8,0,0,32
22374.0,88,8,0,0,32
22413.0,88,8,0,0,32
22503.0,88,8,0,0,32
22515.0,88,8,0,0,32
22554.0,88,8,0,0,32
22557.0,88,8,0,0,32
22626.0,88,8,0,0,32
22703.0,88,8,0,0,32
22724.0,88,8,0,0,32
22763.0,88,8,0,0,32
22840.0,88,8,0,0,32
22857.0,88,8,0,0,32
22886.0,88,8,0,0,32
22908.0,88,8,0,0,32
23067.0,88,8,0,0,32
23194.0,88,8,0,0,32
23295.0,88,8,0,0,32
23429.0,88,8,0,0,32
23472.0,88,0,0,8,32
23472.0,88,0,0,0,40
23521.0,88,0,0,0,40
23550.0,88,0,0,8,32
23550.0,88,0,0,0,40
23573.0,88,0,0,0,40
23626.0,88,0,0,8,32
23626.0,88,0,0,0,40
23695.0,88,0,0,8,32
23695.0,88,0,0,0,40
23737.0,88,0,0,8,32
23737.0,88,0,0,0,40
23824.0,88,0,0,8,32
23865.0,88,0,0,8,32
24089.0,88,0,0,8,32
24124.0,88,0,0,8,32
24124.0,88,0,8,0,32
24194.0,88,0,8,0,32
24309.0,88,0,8,32,0
24309.0,88,0,8,0,32
24535.0,88,0,8,32,0
24535.0,88,0,8,28,4
24580.0,88,0,8,32,0
24580.0,88,0,8,0,32
24696.0,88,0,8,32,0
24696.0,88,0,8,24,8
24782.0,88,0,8,32,0
