job_id,subtime,start_time,finish_time,waiting_time
34036,0,0.0,132.0,0.0
34040,297,297.0,321.0,0.0
34041,328,328.0,337.0,0.0
34039,256,256.0,367.0,0.0
34042,455,455.0,571.0,0.0
34043,490,4800.0,5921.0,4310.0
34044,494,7500.0,8255.0,7006.0
34049,1307,8255.0,8323.0,6948.0
34047,871,8255.0,8400.0,7384.0
34045,576,8255.0,8408.0,7679.0
34051,1326,8400.0,8434.0,7074.0
34048,1300,8255.0,8455.0,6955.0
34050,1316,8400.0,8590.0,7084.0
34052,1343,8400.0,8738.0,7057.0
34056,1535,8738.0,9078.0,7203.0
34060,1795,11778.0,11816.0,9983.0
34061,1817,11816.0,11844.0,9999.0
34058,1651,9078.0,12531.0,7427.0
34062,1906,11844.0,12872.0,9938.0
34063,1924,12531.0,12923.0,10607.0
34070,2349,12872.0,12949.0,10523.0
34065,2030,12872.0,13026.0,10842.0
34064,1927,12872.0,13883.0,10945.0
34072,2800,12923.0,15230.0,10123.0
34073,2846,15230.0,17497.0,12384.0
34074,2889,17497.0,17776.0,14608.0
34075,2953,17776.0,17795.0,14823.0
34078,3239,17795.0,18503.0,14556.0
34079,3252,18503.0,18511.0,15251.0
34086,3968,18511.0,18597.0,14543.0
34088,4150,18597.0,18622.0,14447.0
34080,3267,18503.0,19629.0,15236.0
34089,4161,19629.0,20505.0,15468.0
34092,4297,20505.0,20546.0,16208.0
34101,5044,20546.0,20772.0,15502.0
34104,5175,23472.0,23550.0,18297.0
34105,5274,23550.0,23626.0,18276.0
34106,5450,23626.0,23695.0,18176.0
34109,5587,23695.0,23737.0,18108.0
34111,5731,23737.0,23824.0,18006.0
34103,5114,20772.0,24309.0,15658.0
34112,5815,24309.0,24535.0,18494.0
34115,6193,24535.0,24580.0,18342.0
34121,6675,24580.0,24696.0,17905.0
34123,6928,24696.0,24782.0,17768.0
34124,6935,24782.0,25064.0,17847.0
34125,7007,25064.0,25156.0,18057.0
34127,7067,25064.0,25193.0,17997.0
34130,7161,27893.0,27966.0,20732.0
34132,7224,30666.0,30763.0,23442.0
34133,7267,30763.0,30822.0,23496.0
34135,7385,30822.0,30912.0,23437.0
34136,7388,30912.0,30928.0,23524.0
34137,7451,30928.0,30980.0,23477.0
34138,7556,30980.0,31088.0,23424.0
34139,7558,31088.0,31149.0,23530.0
34141,7698,31149.0,31248.0,23451.0
34146,7892,31248.0,31273.0,23356.0
34151,8010,31273.0,31276.0,23263.0
34144,7822,31248.0,31303.0,23426.0
34149,7945,31248.0,31350.0,23303.0
34148,7923,31248.0,31370.0,23325.0
34154,8466,31370.0,31453.0,22904.0
34159,8795,31453.0,31469.0,22658.0
34158,8772,31453.0,31492.0,22681.0
34163,9003,31492.0,31512.0,22489.0
34160,8831,31469.0,31566.0,22638.0
34161,8852,31492.0,31568.0,22640.0
34164,9047,31566.0,31604.0,22519.0
34166,9098,31568.0,31614.0,22470.0
34168,9121,31604.0,31627.0,22483.0
34169,9137,31627.0,31672.0,22490.0
34172,9196,31672.0,31741.0,22476.0
34174,9233,31672.0,32027.0,22439.0
34173,9208,31672.0,32045.0,22464.0
34175,9240,32045.0,32132.0,22805.0
34177,9381,32132.0,32172.0,22751.0
34178,9451,32172.0,32251.0,22721.0
34179,9541,32251.0,32255.0,22710.0
34180,9565,32255.0,32358.0,22690.0
34181,9569,34955.0,35205.0,25386.0
34189,9758,35205.0,35222.0,25447.0
34185,9632,35205.0,35234.0,25573.0
34182,9572,35205.0,35247.0,25633.0
34183,9594,35205.0,35247.0,25611.0
34192,9892,35247.0,35252.0,25355.0
34190,9780,35205.0,35322.0,25425.0
34188,9750,35205.0,35342.0,25455.0
34193,9899,35342.0,35438.0,25443.0
34197,10231,35438.0,35462.0,25207.0
34196,10175,35438.0,35479.0,25263.0
34200,10290,35438.0,35515.0,25148.0
34195,10146,35438.0,35519.0,25292.0
34198,10265,35438.0,35541.0,25173.0
34202,10369,35519.0,35612.0,25150.0
34205,10509,35541.0,35625.0,25032.0
34208,10847,35612.0,35716.0,24765.0
34207,10826,35612.0,35737.0,24786.0
34215,11136,35737.0,36156.0,24601.0
34218,11441,36156.0,36173.0,24715.0
34128,7125,25193.0,36200.0,18068.0
34217,11327,36156.0,36205.0,24829.0
34219,11479,36173.0,36210.0,24694.0
34220,11536,36200.0,36243.0,24664.0
34222,11598,36200.0,36262.0,24602.0
34224,11692,36262.0,36412.0,24570.0
34228,11883,36412.0,36467.0,24529.0
34226,11739,36412.0,36535.0,24673.0
34213,11050,35625.0,36585.0,24575.0
34232,12208,36535.0,36585.0,24327.0
34211,11028,35625.0,36607.0,24597.0
34230,12110,36412.0,36975.0,24302.0
34231,12135,36467.0,37006.0,24332.0
34131,7168,27966.0,38933.0,20798.0
34234,12277,39235.0,39293.0,26958.0
34239,12554,39293.0,39296.0,26739.0
34266,14639,39293.0,39298.0,24654.0
34245,12983,39293.0,39311.0,26310.0
34243,12908,39293.0,39350.0,26385.0
34267,14687,39293.0,39353.0,24606.0
34274,15273,39293.0,39354.0,24020.0
34261,14392,39293.0,39392.0,24901.0
34257,14129,39293.0,39471.0,25164.0
34250,13548,39293.0,39677.0,25745.0
34248,13032,39293.0,40236.0,26261.0
34273,15235,39293.0,40239.0,24058.0
34246,13009,39293.0,40256.0,26284.0
34256,13947,39293.0,40506.0,25346.0
34275,15281,40506.0,40531.0,25225.0
34276,15356,40531.0,40548.0,25175.0
34277,15445,40548.0,40609.0,25103.0
34278,15500,40609.0,40621.0,25109.0
34279,15528,40621.0,40628.0,25093.0
34280,15572,40621.0,40631.0,25049.0
34282,15596,40628.0,40639.0,25032.0
34288,15920,40631.0,40644.0,24711.0
34287,15894,40628.0,40689.0,24734.0
34289,15948,40689.0,40708.0,24741.0
34290,15962,40708.0,40726.0,24746.0
34298,16798,40708.0,40738.0,23910.0
34297,16684,40708.0,40793.0,24024.0
34296,16626,40708.0,40960.0,24082.0
34305,17070,40960.0,41014.0,23890.0
34302,16961,40793.0,41036.0,23832.0
34303,16985,40960.0,41135.0,23975.0
34306,17083,41014.0,41171.0,23931.0
34309,17276,41135.0,41408.0,23859.0
34317,17834,41408.0,41467.0,23574.0
34313,17575,41408.0,41606.0,23833.0
34318,17972,41606.0,41906.0,23634.0
34319,18115,41906.0,42093.0,23791.0
34311,17538,41171.0,42099.0,23633.0
34324,18394,42099.0,42293.0,23705.0
34326,18542,42293.0,42465.0,23751.0
34327,18547,42293.0,43093.0,23746.0
34328,18681,43093.0,43348.0,24412.0
34330,18742,43348.0,43429.0,24606.0
34331,18846,43429.0,43449.0,24583.0
34332,18872,43449.0,43646.0,24577.0
34340,19241,43646.0,43654.0,24405.0
34335,18950,43646.0,43660.0,24696.0
34334,18944,43646.0,43682.0,24702.0
34329,18736,43348.0,43716.0,24612.0
34308,17256,41036.0,44499.0,23780.0
34343,19419,44499.0,44518.0,25080.0
34345,19530,44499.0,44717.0,24969.0
34349,19684,44717.0,44794.0,25033.0
34348,19657,44717.0,44803.0,25060.0
34346,19578,44717.0,45040.0,25139.0
34356,19895,45040.0,45063.0,25145.0
34354,19802,45040.0,45249.0,25238.0
34358,19996,45249.0,45270.0,25253.0
34359,20108,45249.0,45292.0,25141.0
34357,19961,45249.0,45293.0,25288.0
34341,19252,43716.0,45472.0,24464.0
34361,20174,45472.0,45538.0,25298.0
34365,20386,45538.0,45604.0,25152.0
34360,20128,45472.0,45679.0,25344.0
34368,20481,45679.0,45758.0,25198.0
34370,20556,45758.0,45779.0,25202.0
34374,22088,45779.0,45827.0,23691.0
34372,20895,45779.0,45829.0,24884.0
34371,20883,45779.0,45904.0,24896.0
34353,19788,44717.0,45937.0,24929.0
34352,19766,44717.0,45959.0,24951.0
34367,20467,45679.0,45985.0,25212.0
34376,22151,45985.0,46045.0,23834.0
34379,22327,45985.0,46054.0,23658.0
34378,22238,45985.0,46104.0,23747.0
34377,22216,45985.0,46117.0,23769.0
34375,22101,45985.0,46208.0,23884.0
34342,19293,44499.0,46214.0,25206.0
34382,22503,46208.0,46214.0,23705.0
34384,22554,46214.0,46228.0,23660.0
34385,22557,46214.0,46244.0,23657.0
34387,22626,46214.0,46277.0,23588.0
34381,22413,46208.0,46290.0,23795.0
34383,22515,46214.0,46292.0,23699.0
34390,22763,46292.0,46364.0,23529.0
34380,22374,46208.0,46383.0,23834.0
34389,22724,46292.0,46389.0,23568.0
34392,22857,46383.0,46407.0,23526.0
34391,22840,46383.0,46534.0,23543.0
34396,23067,46534.0,46605.0,23467.0
34398,23295,46605.0,46666.0,23310.0
34400,23429,46666.0,46754.0,23237.0
34397,23194,46605.0,46924.0,23411.0
34407,23865,46924.0,47005.0,23059.0
34404,23573,46924.0,47044.0,23351.0
34388,22703,46290.0,47086.0,23587.0
34402,23521,46924.0,47260.0,23403.0
34394,22908,46389.0,49448.0,23481.0
34393,22886,46383.0,49460.0,23497.0
34408,24089,49624.0,49652.0,25535.0
34410,24194,49652.0,49847.0,25458.0
34413,24822,49847.0,49860.0,25025.0
34415,24954,49860.0,49901.0,24906.0
34419,25095,49901.0,49941.0,24806.0
34421,25250,49941.0,50037.0,24691.0
34411,24535,49847.0,50059.0,25312.0
34424,25808,50059.0,50077.0,24251.0
34422,25424,50037.0,50315.0,24613.0
34426,26092,52759.0,53205.0,26667.0
34430,27374,53205.0,53224.0,25831.0
34431,27447,53205.0,53224.0,25758.0
34432,27527,53205.0,53226.0,25678.0
34428,27102,53205.0,53228.0,26103.0
34433,27555,53205.0,53228.0,25650.0
34434,27599,53205.0,53309.0,25606.0
34436,27750,53309.0,53769.0,25559.0
34438,28356,53769.0,54238.0,25413.0
34446,30568,54238.0,54457.0,23670.0
34454,31727,54457.0,65383.0,22730.0
34455,42658,65383.0,65468.0,22725.0
34463,44124,65468.0,65492.0,21344.0
34473,47990,65468.0,65551.0,17478.0
34474,48084,65551.0,65907.0,17467.0
34475,48441,65907.0,65955.0,17466.0
34476,48659,65907.0,66024.0,17248.0
34478,48784,66024.0,66114.0,17240.0
34480,48923,66114.0,66131.0,17191.0
34552,61376,66114.0,66202.0,4738.0
34546,60663,66114.0,66217.0,5451.0
34572,64403,66114.0,66221.0,1711.0
34562,62765,66114.0,66226.0,3349.0
34548,60778,66114.0,66228.0,5336.0
34560,62489,66114.0,66230.0,3625.0
34573,64559,66114.0,66234.0,1555.0
34499,53039,66114.0,66235.0,13075.0
34550,61128,66114.0,66237.0,4986.0
34571,64245,66114.0,66237.0,1869.0
34553,61592,66114.0,66240.0,4522.0
34539,59631,66114.0,66241.0,6483.0
34505,53376,66114.0,66254.0,12738.0
34489,51180,66114.0,66285.0,14934.0
34569,63954,66114.0,66330.0,2160.0
34514,54927,66114.0,66366.0,11187.0
34508,54553,66114.0,66398.0,11561.0
34496,52303,66114.0,66400.0,13811.0
34542,60245,66114.0,66524.0,5869.0
34533,58847,66114.0,66842.0,7267.0
