id,energy_consumption,energy_effective,energy_waste
0,208390989.0,165766709.0,42624280.0
1,205892827.0,166316347.0,39576480.0
2,203266336.0,164071706.0,39194630.0
3,202738359.0,163543349.0,39195010.0
4,201873722.0,163457812.0,38415910.0
5,205137695.0,167161115.0,37976580.0
6,208201663.0,171652843.0,36548820.0
7,207953331.0,172024911.0,35928420.0
8,204799587.0,167937027.0,36862560.0
9,206133919.0,169557169.0,36576750.0
10,206571215.0,169968865.0,36602350.0
11,206571215.0,169969055.0,36602160.0
12,206531395.0,170402955.0,36128440.0
13,205875451.0,169369481.0,36505970.0
14,204796148.0,168882978.0,35913170.0
15,205850292.0,169838702.0,36011590.0
16,203934769.0,168606849.0,35327920.0
17,206278538.0,171244218.0,35034320.0
18,204025269.0,168170099.0,35855170.0
19,204024545.0,167910785.0,36113760.0
20,203841373.0,167590433.0,36250940.0
21,204591618.0,168427938.0,36163680.0
22,203902370.0,167587400.0,36314970.0
23,203902370.0,167568020.0,36334350.0
24,206324874.0,171490014.0,34834860.0
25,205303129.0,169527859.0,35775270.0
26,203874677.0,167157477.0,36717200.0
27,205298604.0,169191974.0,36106630.0
28,205240684.0,170814704.0,34425980.0
29,200186440.0,164556950.0,35629490.0
30,201171442.0,166644192.0,34527250.0
31,204622207.0,170178367.0,34443840.0
32,201157143.0,162373363.0,38783780.0
33,196546349.0,157150139.0,39396210.0
34,197508183.0,157277253.0,40230930.0
35,200162548.0,160371378.0,39791170.0
36,196290958.0,152829688.0,43461270.0
37,195313377.0,152769807.0,42543570.0
38,195398266.0,154681266.0,40717000.0
39,194793183.0,153979423.0,40813760.0
40,197430172.0,158198412.0,39231760.0
41,195831399.0,158337569.0,37493830.0
42,194420504.0,157092494.0,37328010.0
43,194420504.0,156234834.0,38185670.0
44,194278238.0,156678248.0,37599990.0
45,194278238.0,156261008.0,38017230.0
46,194116786.0,156087776.0,38029010.0
47,194116786.0,156446306.0,37670480.0
48,193617588.0,154920108.0,38697480.0
49,193762207.0,155158727.0,38603480.0
50,193802027.0,155211277.0,38590750.0
51,192451948.0,154090148.0,38361800.0
52,192424436.0,154456126.0,37968310.0
53,191937003.0,154460033.0,37476970.0
54,190698420.0,153233800.0,37464620.0
55,190698420.0,152889520.0,37808900.0
56,191096982.0,149673982.0,41423000.0
57,190820233.0,149313633.0,41506600.0
58,191226035.0,150227925.0,40998110.0
59,189252954.0,149321174.0,39931780.0
60,187657801.0,148859661.0,38798140.0
61,192107143.0,154136743.0,37970400.0
62,192307148.0,154353848.0,37953300.0
63,192307148.0,154338078.0,37969070.0
64,178722917.0,128685807.0,50037110.0
65,175983844.0,129724994.0,46258850.0
66,172600954.0,125978204.0,46622750.0
67,172789918.0,126461478.0,46328440.0
68,168745473.0,122559963.0,46185510.0
69,166843706.0,117638036.0,49205670.0
70,163333211.0,112994711.0,50338500.0
71,161841409.0,110631709.0,51209700.0
72,158207291.0,107859101.0,50348190.0
73,160655135.0,113086465.0,47568670.0
74,159253833.0,112583863.0,46669970.0
75,159461078.0,112523778.0,46937300.0
76,158895815.0,113862895.0,45032920.0
77,158886041.0,114052431.0,44833610.0
78,162081777.0,118371547.0,43710230.0
79,159429946.0,114501146.0,44928800.0
80,161748194.0,119526154.0,42222040.0
81,160037020.0,118579730.0,41457290.0
82,158631193.0,117148963.0,41482230.0
83,158606034.0,117080674.0,41525360.0
84,156443627.0,114873617.0,41570010.0
85,157048529.0,115124359.0,41924170.0
86,155500979.0,113728239.0,41772740.0
87,152140533.0,109516923.0,42623610.0
88,158885498.0,116347388.0,42538110.0
89,157580307.0,115224787.0,42355520.0
90,156234934.0,113538264.0,42696670.0
91,154170991.0,110635801.0,43535190.0
92,154387286.0,110492806.0,43894480.0
93,153722292.0,110711552.0,43010740.0
94,153913247.0,110928157.0,42985090.0
95,153896957.0,110895337.0,43001620.0
96,155686323.0,112742563.0,42943760.0
97,155308033.0,114238013.0,41070020.0
98,154459143.0,113187343.0,41271800.0
99,154231988.0,113058798.0,41173190.0
100,143237867.0,99707667.0,43530200.0
101,142472237.0,99380177.0,43092060.0
102,140001949.0,98055449.0,41946500.0
103,140001949.0,98004529.0,41997420.0
104,134928338.0,93809478.0,41118860.0
105,134955307.0,93761397.0,41193910.0
106,134726704.0,93468194.0,41258510.0
107,131144533.0,89557793.0,41586740.0
108,118939703.0,77514843.0,41424860.0
109,119678907.0,78651387.0,41027520.0
110,120026246.0,79421526.0,40604720.0
111,115052366.0,74491486.0,40560880.0
112,113105530.0,73398940.0,39706590.0
113,113296485.0,73142585.0,40153900.0
114,111003939.0,70982519.0,40021420.0
115,105321263.0,65832603.0,39488660.0
116,98310409.0,59968929.0,38341480.0
117,96709464.0,60702144.0,36007320.0
118,99337765.0,62783815.0,36553950.0
119,98776122.0,62807992.0,35968130.0
120,89753996.0,55246066.0,34507930.0
121,91161452.0,56765862.0,34395590.0
122,91062264.0,58258264.0,32804000.0
123,94111752.0,61445122.0,32666630.0
124,94046049.0,60852929.0,33193120.0
125,95603554.0,62977444.0,32626110.0
126,93896362.0,62376862.0,31519500.0
127,94039352.0,61706032.0,32333320.0
