timeout_min,EASY_PSAS (OLD),EASY_PSAS (NEW),SJF_PSAS (NEW),SJF_PSAS (NEW 2),FCFS_PSAS (OLD),FCFS_PSAS (NEW)
5,1259.833148865523,1158.315716657443,1151.674875484228,1151.674875484228,1917.4623685666847,1601.880188157167
10,1042.1217487548422,1030.9695628112895,1014.9020475926952,1014.9020475926952,1551.6344770337575,1488.4147758716103
15,967.7775318206972,887.7197011621472,923.3992805755396,923.3992805755396,1229.216104039845,1352.959878251245
20,840.447703375761,836.2440509131156,845.8862755949087,845.8862755949087,1051.5741560597676,1222.802158273381
25,778.0783065855009,784.3843386828999,807.0390149418927,807.0390149418927,1012.8749308245712,1181.597952407305
30,693.6322634200332,743.1903707802988,738.6289429994466,738.6289429994466,920.6931377974544,1121.4817376867736
35,687.7916436081904,689.267293857222,759.0536801328168,759.0536801328168,986.571389042612,1087.7227448810183
40,591.5013835085778,633.986441615938,730.2509684560044,730.2509684560044,869.956281128943,1068.4443829551744
45,561.0857775318207,582.9142224681793,647.4183729939126,647.4183729939126,808.9745434421693,926.9991698948534
50,531.6353071389043,602.3696734919756,604.822634200332,604.822634200332,785.0888212506918,923.795517432208
55,523.0376314333149,538.0481460985059,570.2069728832319,570.2069728832319,748.5298837852795,836.759822910902
60,443.1483121195352,520.9117321527393,544.0570005534034,544.0570005534034,617.1460985058108,799.216104039845
