function,ncalls,tottime_s,cumtime_s
on_host_state_changed (new_monitors.py:57),419622,1.551508,3.083869
__get_key_from_state (new_monitors.py:65),419622,1.339027,1.339027
schedule (easy_backfilling.py:14),3530,1.142195,8882.876444
<lambda> (easy_backfilling.py:31),7078400,0.671588,0.671588
<listcomp> (easy_backfilling.py:40),632,0.779765,1.090106
<listcomp> (easy_backfilling.py:48),5080,26.702077,27.299447
<listcomp> (easy_backfilling.py:52),43,0.000582,0.000995
<listcomp> (easy_backfilling.py:57),55,0.001893,0.003347
backfill (easy_backfilling.py:21),632,0.144347,793.790155
record_backfill (easy_backfilling.py:61),98,0.000599,0.000917
<listcomp> (fcfs.py:19),817,0.033570,0.065461
schedule (fcfs.py:10),3530,0.053134,8087.809531
_rm_socket (context.py:283),1,0.000038,0.000094
__del__ (socket.py:184),1,0.000002,0.000002
close (socket.py:245),1,0.000127,0.000221
send (socket.py:623),1701,0.122122,0.122122
_deserialize (socket.py:808),1700,0.005241,0.542699
send_json (socket.py:992),1701,0.012733,0.190093
<lambda> (socket.py:1032),1700,0.021262,0.537458
recv_json (socket.py:1011),1700,27.044245,27.586944
dumps (jsonapi.py:20),1701,0.007769,0.055239
loads (jsonapi.py:28),1700,0.020530,0.516196
__init__ (protocol.py:651),1,0.000007,0.000011
__init__ (protocol.py:729),915,0.010526,4.377157
_get_data_dict (protocol.py:745),915,0.002841,0.017467
__init__ (protocol.py:1022),1700,0.021966,0.031005
__call__ (protocol.py:1034),7194,0.056768,0.343255
is_connected (protocol.py:1069),3401,0.004195,0.004195
close (protocol.py:1086),1,0.000018,0.000241
send (protocol.py:1092),1701,0.010704,0.247868
recv (protocol.py:1109),1700,0.011054,27.630509
update_info (monitors.py:146),1830,0.073662,8.945311
update_complete_info (monitors.py:166),915,0.017822,4.363336
on_simulation_ends (monitors.py:249),1,0.000010,0.000018
on_job_submitted (monitors.py:258),915,0.002895,0.002895
on_job_completed (monitors.py:264),915,0.016643,0.100831
on_simulation_ends (monitors.py:365),2,0.007878,0.184965
on_host_state_changed (monitors.py:370),839244,1.009810,15.239283
update_info (monitors.py:377),861644,11.273117,14.400314
on_simulation_ends (monitors.py:485),1,0.000045,0.000046
on_host_state_changed (monitors.py:550),419622,3.347405,4.178007
__get_key_from_state (monitors.py:566),419622,0.569402,0.569402
on_job_started (monitors.py:738),915,0.004486,36.116677
on_job_completed (monitors.py:741),915,0.004258,35.844360
on_host_state_changed (monitors.py:744),419622,1.321324,17167.827927
update_info (monitors.py:747),421452,7266.879553,17238.458896
__new__ (procset.py:40),3172546,1.552224,2.539459
__format__ (procset.py:64),1578,0.003308,0.005931
__len__ (procset.py:72),3156,0.001268,0.001268
__eq__ (procset.py:88),848712,0.079804,0.079804
__lt__ (procset.py:91),1681644,0.107227,0.107227
__gt__ (procset.py:96),7190648,0.457683,0.457683
__str__ (protocol.py:44),21984,0.009935,0.026550
__init__ (procset.py:109),4575,1.034662,17.564142
<genexpr> (procset.py:150),2493,0.002052,0.003379
<genexpr> (procset.py:154),2493,0.006998,0.015854
from_str (procset.py:125),915,0.006160,0.098800
__str__ (procset.py:161),915,0.000802,0.014626
<genexpr> (procset.py:173),2493,0.000861,0.007813
__format__ (procset.py:164),915,0.003140,0.012494
__iter__ (procset.py:180),210726,0.019580,0.019580
<genexpr> (procset.py:246),4986,0.001603,0.004544
__len__ (procset.py:244),1830,0.001886,0.008230
_flatten (procset.py:328),8007800,1.472243,3.902190
_merge_core (procset.py:338),5501114,5.010946,12.785499
_merge (procset.py:370),3170968,1.918336,16.529480
_as_procint (procset.py:667),1681644,0.995183,1.703519
_as_itvs (procset.py:681),1681644,0.608399,2.429947
__init__ (simulator.py:74),7078400,1.358984,1.358984
<listcomp> (simulator.py:147),8956,0.107620,0.303317
queue (simulator.py:144),8956,0.010740,0.314057
<genexpr> (simulator.py:156),13097708,38.545138,58.474215
agenda (simulator.py:149),7079032,36.577537,111.892083
platform (simulator.py:169),849509,0.206095,0.206095
is_running (simulator.py:174),13077,0.004571,0.004571
current_time (simulator.py:179),4729383645,916.676578,1459.675588
close (simulator.py:281),1,0.000045,0.185860
proceed_time (simulator.py:291),1700,0.007889,17414.958313
<genexpr> (simulator.py:414),1830,0.019918,0.047496
allocate (simulator.py:383),915,0.157628,8680.677008
__dispatch_event (simulator.py:572),633094,5.360716,17400.330741
