function,ncalls,tottime_s,cumtime_s
<method 'get' of 'dict' objects> (~:0),245953418,38.300579,38.300579
<method 'items' of 'dict' objects> (~:0),70201,0.009211,0.009211
<method 'values' of 'dict' objects> (~:0),2735,0.004153,0.004153
<method 'append' of 'list' objects> (~:0),31275351,3.925598,3.925598
<method 'insert' of 'list' objects> (~:0),1855,0.004558,0.004558
<method 'extend' of 'list' objects> (~:0),4737,0.059428,0.111757
<method 'pop' of 'list' objects> (~:0),2735,0.005766,0.005766
<method 'sort' of 'list' objects> (~:0),866,0.003270,0.003270
<method 'join' of 'str' objects> (~:0),3001,0.003885,0.003885
<method 'find' of 'str' objects> (~:0),4,0.000004,0.000004
<method 'rfind' of 'str' objects> (~:0),12,0.000011,0.000011
<built-in method sys._getframe> (~:0),4,0.000013,0.000013
<built-in method builtins.hasattr> (~:0),8,0.000105,0.000105
<built-in method builtins.isinstance> (~:0),4016,0.007180,0.007180
<built-in method builtins.len> (~:0),25457,0.043553,0.043553
<built-in method builtins.max> (~:0),15143165,1.669307,1.669307
<built-in method builtins.min> (~:0),4000,0.132230,19.646238
<built-in method builtins.next> (~:0),1000,0.003012,0.003782
<built-in method builtins.round> (~:0),4000,0.009981,0.009981
<built-in method builtins.sorted> (~:0),3305,1.032965,1.790092
<built-in method builtins.sum> (~:0),13675,3.396725,17.945385
<method '__exit__' of '_thread.RLock' objects> (~:0),9,0.000005,0.000005
<built-in method _thread.get_ident> (~:0),8,0.000004,0.000004
<built-in method posix.getpid> (~:0),4,0.000023,0.000023
<built-in method posix.fspath> (~:0),20,0.000009,0.000009
<method 'write' of '_io.TextIOWrapper' objects> (~:0),4,0.000353,0.000353
<method 'flush' of '_io.TextIOWrapper' objects> (~:0),4,0.000003,0.000003
<built-in method time.time_ns> (~:0),4,0.000009,0.000009
<built-in method _bisect.bisect_left> (~:0),1997,0.022052,0.032522
format (/usr/lib/python3.13/logging/__init__.py:699),4,0.000015,0.000104
_log (/usr/lib/python3.13/logging/__init__.py:1641),4,0.000038,0.001512
findCaller (/usr/lib/python3.13/logging/__init__.py:1592),4,0.000072,0.000210
isEnabledFor (/usr/lib/python3.13/logging/__init__.py:1765),28140,0.009430,0.009432
__init__ (/usr/lib/python3.13/logging/__init__.py:298),4,0.000214,0.000529
callHandlers (/usr/lib/python3.13/logging/__init__.py:1721),4,0.000017,0.000584
push_event (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:110),2000,0.023188,0.062477
update_custom_resources_agenda_global (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:94),2735,31.367362,50.625318
prep_schedule (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:291),2735,13.587743,72.152959
events_builder (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:132),2735,5.150772,9.601004
proceed (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:173),2735,0.331374,169.438028
advance (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:300),1783,0.139522,304.811002
allocate (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:45),1000,1.937532,3.272536
remove_job_from_waiting_queue (/papers/SPARS-Pub/SPARS/Simulator/JobsManager.py:21),1000,0.013299,0.014073
update_energy (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:176),2735,21.944964,26.335288
backfill (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psus.py:16),2735,46.193676,48.738149
update_node_state (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:227),2735,35.903997,65.953566
compute (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:45),1000,0.049678,39.291693
record (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:136),5470,2.472462,109.998665
release (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:101),1000,0.006770,19.518400
add_job_to_scheduled_queue (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:36),1000,0.009441,0.012500
log_trace (/papers/SPARS-Pub/SPARS/Logger.py:43),28136,0.047358,0.072483
FCFSPSUS (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psus.py:14),2735,0.080526,2.553534
add_job_to_waiting_queue (/papers/SPARS-Pub/SPARS/Simulator/JobsManager.py:18),1000,0.001750,0.002395
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:202),3001,0.026799,0.030504
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:56),299135,0.052330,0.052330
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:200),1000,0.000771,0.000771
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:61),299135,19.476685,19.476685
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:263),2735,3.061544,3.061544
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:264),2735,2.601301,2.601301
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:266),2735,1.804289,1.804289
_agenda_by_id (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:33),4735,5.124180,5.124180
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:268),15789705,3.324187,3.324187
