time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.0,0,0,0,11200,0
0.0,0,0,0,10944,256
7644.0,0,0,0,10944,256
7644.0,0,0,0,8896,2304
8833.0,0,0,0,10944,256
13869.0,0,0,0,10944,256
13869.0,0,0,0,10816,384
13869.0,0,0,0,10944,256
17109.0,0,0,0,10944,256
17109.0,0,0,0,10816,384
23552.0,0,0,0,10816,384
23552.0,0,0,0,8768,2432
26683.0,0,0,0,8768,2432
26683.0,0,0,0,8512,2688
31113.0,0,0,0,8512,2688
31113.0,0,0,0,8480,2720
31174.0,0,0,0,8512,2688
31567.0,0,0,0,8512,2688
31567.0,0,0,0,8448,2752
31625.0,0,0,0,8512,2688
31700.0,0,0,0,8512,2688
31700.0,0,0,0,8384,2816
31771.0,0,0,0,8512,2688
32084.0,0,0,0,8512,2688
32084.0,0,0,0,8496,2704
32104.0,0,0,0,8496,2704
32104.0,0,0,0,7984,3216
32116.0,0,0,0,7984,3216
32116.0,0,0,0,7952,3248
32155.0,0,0,0,8000,3200
32215.0,0,0,0,8000,3200
32215.0,0,0,0,7936,3264
32256.0,0,0,0,8000,3200
32273.0,0,0,0,8000,3200
32273.0,0,0,0,7992,3208
32377.0,0,0,0,8000,3200
32444.0,0,0,0,8000,3200
32444.0,0,0,0,7872,3328
32493.0,0,0,0,8000,3200
32511.0,0,0,0,8000,3200
32511.0,0,0,0,7996,3204
32649.0,0,0,0,7996,3204
32649.0,0,0,0,7980,3220
32667.0,0,0,0,7984,3216
32689.0,0,0,0,8000,3200
32718.0,0,0,0,8000,3200
32718.0,0,0,0,7998,3202
32734.0,0,0,0,7998,3202
32734.0,0,0,0,7990,3210
32782.0,0,0,0,7998,3202
32859.0,0,0,0,7998,3202
32859.0,0,0,0,7994,3206
32929.0,0,0,0,7998,3202
32967.0,0,0,0,8000,3200
32976.0,0,0,0,8000,3200
32976.0,0,0,0,7998,3202
32988.0,0,0,0,7998,3202
32988.0,0,0,0,7997,3203
32989.0,0,0,0,7998,3202
33066.0,0,0,0,7998,3202
33066.0,0,0,0,7997,3203
33067.0,0,0,0,7999,3201
33074.0,0,0,0,7999,3201
33074.0,0,0,0,7967,3233
33081.0,0,0,0,7999,3201
33085.0,0,0,0,7999,3201
33085.0,0,0,0,7998,3202
33101.0,0,0,0,7998,3202
33101.0,0,0,0,7966,3234
33103.0,0,0,0,7967,3233
33141.0,0,0,0,7999,3201
33180.0,0,0,0,7999,3201
33180.0,0,0,0,7935,3265
33223.0,0,0,0,7999,3201
33253.0,0,0,0,7999,3201
33253.0,0,0,0,7998,3202
33265.0,0,0,0,7998,3202
33265.0,0,0,0,7966,3234
33289.0,0,0,0,7998,3202
33370.0,0,0,0,7998,3202
33370.0,0,0,0,7870,3330
33371.0,0,0,0,7871,3329
33392.0,0,0,0,7872,3328
33422.0,0,0,0,8000,3200
33453.0,0,0,0,8000,3200
33453.0,0,0,0,7984,3216
33491.0,0,0,0,8000,3200
33539.0,0,0,0,8000,3200
33539.0,0,0,0,7488,3712
33540.0,0,0,0,7488,3712
33540.0,0,0,0,7456,3744
33554.0,0,0,0,7488,3712
