function,ncalls,tottime_s,cumtime_s
<method 'add' of 'set' objects> (~:0),387,0.000059,0.000059
<method 'get' of 'dict' objects> (~:0),1577340,0.160047,0.160047
<method 'setdefault' of 'dict' objects> (~:0),560,0.000132,0.000132
<method 'items' of 'dict' objects> (~:0),3786,0.000568,0.000568
<method 'values' of 'dict' objects> (~:0),2723,0.000662,0.000662
<method 'append' of 'list' objects> (~:0),225788,0.026714,0.026714
<method 'insert' of 'list' objects> (~:0),1995,0.000614,0.000614
<method 'extend' of 'list' objects> (~:0),10306,0.003086,0.003803
<method 'pop' of 'list' objects> (~:0),2723,0.000762,0.000762
<method 'sort' of 'list' objects> (~:0),1061,0.000501,0.000501
<method 'join' of 'str' objects> (~:0),3295,0.001058,0.001058
<method 'find' of 'str' objects> (~:0),4,0.000001,0.000001
<method 'rfind' of 'str' objects> (~:0),12,0.000003,0.000003
<built-in method sys._getframe> (~:0),4,0.000002,0.000002
<built-in method builtins.getattr> (~:0),295,0.000076,0.000076
<built-in method builtins.hasattr> (~:0),8,0.000003,0.000003
<built-in method builtins.isinstance> (~:0),4016,0.000939,0.000939
<built-in method builtins.len> (~:0),571312,0.043494,0.043494
<built-in method builtins.max> (~:0),142561,0.013673,0.013673
<built-in method builtins.min> (~:0),6174,0.003261,0.007686
<built-in method builtins.next> (~:0),1749,0.000802,0.004825
<built-in method builtins.round> (~:0),4000,0.003255,0.003255
<built-in method builtins.sorted> (~:0),5116,0.024281,0.037477
<built-in method builtins.sum> (~:0),13615,0.021710,0.056158
<method '__exit__' of '_thread.RLock' objects> (~:0),9,0.000003,0.000003
<built-in method _thread.get_ident> (~:0),8,0.000002,0.000002
<built-in method posix.getpid> (~:0),4,0.000003,0.000003
<built-in method posix.fspath> (~:0),20,0.000003,0.000003
<method 'write' of '_io.TextIOWrapper' objects> (~:0),4,0.000077,0.000077
<method 'flush' of '_io.TextIOWrapper' objects> (~:0),4,0.000002,0.000002
<built-in method time.time_ns> (~:0),4,0.000002,0.000002
<built-in method _bisect.bisect_left> (~:0),2176,0.003818,0.005688
format (/usr/lib/python3.13/logging/__init__.py:699),4,0.000007,0.000027
_log (/usr/lib/python3.13/logging/__init__.py:1641),4,0.000009,0.000298
findCaller (/usr/lib/python3.13/logging/__init__.py:1592),4,0.000016,0.000040
isEnabledFor (/usr/lib/python3.13/logging/__init__.py:1765),6150,0.001283,0.001284
__init__ (/usr/lib/python3.13/logging/__init__.py:298),4,0.000043,0.000091
callHandlers (/usr/lib/python3.13/logging/__init__.py:1721),4,0.000005,0.000142
update_energy (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:176),2723,0.070507,0.087796
