function,ncalls,tottime_s,cumtime_s
on_host_state_changed (new_monitors.py:57),10560,0.011827,0.022069
__get_key_from_state (new_monitors.py:65),10560,0.008984,0.008984
schedule (easy_backfilling.py:14),4664,0.114071,48.111639
<lambda> (easy_backfilling.py:31),281408,0.026679,0.026679
<listcomp> (easy_backfilling.py:40),4397,0.027319,0.034587
<listcomp> (easy_backfilling.py:48),756278,0.350497,0.443305
<listcomp> (easy_backfilling.py:52),237,0.000163,0.000189
<listcomp> (easy_backfilling.py:57),13,0.000018,0.000019
backfill (easy_backfilling.py:21),4397,1.019316,44.935633
record_backfill (easy_backfilling.py:61),250,0.001218,0.001535
<listcomp> (fcfs.py:19),750,0.001357,0.001889
schedule (fcfs.py:10),4664,0.039535,2.715378
setup_callback (timeout_policy.py:28),4900,0.007375,0.072549
callback (timeout_policy.py:32),4900,0.022880,0.135814
_rm_socket (context.py:283),1,0.000007,0.000014
_should_collect_from_parameters (typing_extensions.py:173),2,0.000001,0.000001
get_origin (typing_extensions.py:1529),2,0.000002,0.000003
__del__ (socket.py:184),1,0.000002,0.000002
close (socket.py:245),1,0.000039,0.000053
send (socket.py:623),2507,0.168819,0.168819
_deserialize (socket.py:808),2506,0.005368,0.554082
send_json (socket.py:992),2507,0.022900,0.301908
<lambda> (socket.py:1032),2506,0.020155,0.548715
recv_json (socket.py:1011),2506,2.294569,2.848651
dumps (jsonapi.py:20),2507,0.014502,0.110189
loads (jsonapi.py:28),2506,0.021909,0.528560
_has_generic_or_protocol_as_origin (typing_extensions.py:3389),1,0.000009,0.000010
_is_unpacked_typevartuple (typing_extensions.py:3411),2,0.000002,0.000005
_collect_type_vars (typing_extensions.py:3424),1,0.000006,0.000023
__init__ (protocol.py:571),934,0.003899,0.006389
__init__ (protocol.py:651),1,0.000002,0.000004
__init__ (protocol.py:729),1000,0.006346,0.102150
_get_data_dict (protocol.py:745),1000,0.004001,0.023419
__init__ (protocol.py:776),4900,0.012150,0.018277
_get_data_dict (protocol.py:785),934,0.001731,0.001731
__init__ (protocol.py:933),37,0.000254,0.001773
add_resource (protocol.py:946),343,0.000661,0.014194
_get_data_dict (protocol.py:954),37,0.000149,0.000716
__init__ (protocol.py:1022),2506,0.033653,0.048056
__call__ (protocol.py:1034),10452,0.070560,0.332021
is_connected (protocol.py:1069),5013,0.007061,0.007061
close (protocol.py:1086),1,0.000018,0.000072
send (protocol.py:1092),2507,0.023533,0.412220
recv (protocol.py:1109),2506,0.017617,2.917018
update_info (monitors.py:146),2000,0.051824,0.350206
