id,energy_consumption,energy_effective,energy_waste
0,23899264.0,21544395.0,2354869.0
1,23705956.0,21321447.0,2384509.0
2,23792836.0,21346577.0,2446259.0
3,23731839.0,21293370.0,2438469.0
4,23597356.0,21167057.0,2430299.0
5,23634823.0,21187614.0,2447209.0
6,23627764.0,21256175.0,2371589.0
7,23793560.0,21384351.0,2409209.0
8,23564957.0,21187399.0,2377558.0
9,23554821.0,21129193.0,2425628.0
10,23713196.0,21283768.0,2429428.0
11,23629574.0,21182666.0,2446908.0
12,23805868.0,21357250.0,2448618.0
13,23815461.0,21305473.0,2509988.0
14,23676815.0,21246817.0,2429998.0
15,23649122.0,21179984.0,2469138.0
16,23380156.0,20880021.0,2500135.0
17,23170196.0,20747011.0,2423185.0
18,23102864.0,20679679.0,2423185.0
19,23102502.0,20679317.0,2423185.0
20,23107389.0,20684204.0,2423185.0
21,23387034.0,20963849.0,2423185.0
22,23165490.0,20742305.0,2423185.0
23,23195717.0,20772532.0,2423185.0
24,23406220.0,20983548.0,2422672.0
25,23324951.0,20902089.0,2422862.0
26,23274814.0,20851952.0,2422862.0
27,23266850.0,20843988.0,2422862.0
28,23174540.0,20751678.0,2422862.0
29,23259429.0,20836567.0,2422862.0
30,23214541.0,20791679.0,2422862.0
31,23215084.0,20792222.0,2422862.0
32,23127842.0,20703555.0,2424287.0
33,23096710.0,20661783.0,2434927.0
34,23178160.0,20676163.0,2501997.0
35,23095443.0,20651776.0,2443667.0
36,23188296.0,20764009.0,2424287.0
37,23160784.0,20715977.0,2444807.0
38,23178160.0,20741333.0,2436827.0
39,23389025.0,20956188.0,2432837.0
40,23412374.0,21203114.0,2209260.0
41,23443868.0,21270898.0,2172970.0
42,23412736.0,21241096.0,2171640.0
43,23390292.0,21221502.0,2168790.0
44,23340879.0,21210469.0,2130410.0
45,23539617.0,21412627.0,2126990.0
46,23618352.0,21487942.0,2130410.0
47,23329295.0,21159745.0,2169550.0
48,23255447.0,20852387.0,2403060.0
49,23342146.0,20948586.0,2393560.0
50,23447850.0,21040040.0,2407810.0
51,23246578.0,20822048.0,2424530.0
52,23269203.0,20867853.0,2401350.0
53,23530748.0,21078858.0,2451890.0
54,23258524.0,20865914.0,2392610.0
55,23249112.0,20795702.0,2453410.0
56,23256352.0,21041772.0,2214580.0
57,23383595.0,21181745.0,2201850.0
58,23324408.0,21125788.0,2198620.0
59,23282235.0,21079815.0,2202420.0
60,23469208.0,21269258.0,2199950.0
61,23244044.0,21042574.0,2201470.0
62,23244587.0,21043877.0,2200710.0
63,23366581.0,21165491.0,2201090.0
