id,energy_consumption,energy_effective,energy_waste
0,23936731.0,21270486.0,2666245.0
1,23936731.0,21291386.0,2645345.0
2,23936731.0,21314376.0,2622355.0
3,24425431.0,21314186.0,3111245.0
4,23936731.0,21138246.0,2798485.0
5,23936731.0,21049896.0,2886835.0
6,23936731.0,21044766.0,2891965.0
7,23936731.0,21019306.0,2917425.0
8,23939627.0,21105566.0,2834061.0
9,23939627.0,20978836.0,2960791.0
10,23939627.0,21078206.0,2861421.0
11,23939627.0,21079916.0,2859711.0
12,23939627.0,21034506.0,2905121.0
13,23939627.0,21153446.0,2786181.0
14,23939627.0,21153826.0,2785801.0
15,23939627.0,21151926.0,2787701.0
16,23648941.0,21109081.0,2539860.0
17,23648941.0,21261841.0,2387100.0
18,23648941.0,21051131.0,2597810.0
19,23648941.0,21186791.0,2462150.0
20,23648941.0,21120101.0,2528840.0
21,23648941.0,21197431.0,2451510.0
22,24137641.0,21416881.0,2720760.0
23,23648941.0,21290721.0,2358220.0
24,23461063.0,20614891.0,2846172.0
25,23461063.0,20591331.0,2869732.0
26,23461063.0,20603491.0,2857572.0
27,23461063.0,20476951.0,2984112.0
28,23949763.0,20809261.0,3140502.0
29,23461063.0,20532431.0,2928632.0
30,23949763.0,20833011.0,3116752.0
31,23461063.0,20552191.0,2908872.0
32,23424320.0,20570067.0,2854253.0
33,23913020.0,20755127.0,3157893.0
34,23424320.0,20504327.0,2919993.0
35,23424320.0,20575007.0,2849313.0
36,23424320.0,20525987.0,2898333.0
37,23913020.0,20846897.0,3066123.0
38,23424320.0,20529597.0,2894723.0
39,23424320.0,20441057.0,2983263.0
40,23424501.0,20559997.0,2864504.0
41,23424501.0,20538147.0,2886354.0
42,23913201.0,20853357.0,3059844.0
43,23424501.0,20458157.0,2966344.0
44,23424501.0,20576907.0,2847594.0
45,23424501.0,20467277.0,2957224.0
46,23424501.0,20664117.0,2760384.0
47,23424501.0,20581087.0,2843414.0
48,23837181.0,21280156.0,2557025.0
49,23837181.0,21242156.0,2595025.0
50,23837181.0,21404606.0,2432575.0
51,23837181.0,21467306.0,2369875.0
52,23837181.0,21437666.0,2399515.0
53,23837181.0,21261726.0,2575455.0
54,23837181.0,21226196.0,2610985.0
55,23837181.0,21384276.0,2452905.0
56,24498736.0,21733496.0,2765240.0
57,24498736.0,21715826.0,2782910.0
58,24010036.0,21531336.0,2478700.0
59,24010036.0,21290226.0,2719810.0
60,24010036.0,21446786.0,2563250.0
61,24010036.0,21254506.0,2755530.0
62,24010036.0,21341146.0,2668890.0
63,24010036.0,21337536.0,2672500.0
