function,ncalls,tottime_s,cumtime_s
<method 'add' of 'set' objects> (~:0),416,0.000023,0.000023
<method 'get' of 'dict' objects> (~:0),1528541,0.054474,0.054474
<method 'setdefault' of 'dict' objects> (~:0),382,0.000033,0.000033
<method 'items' of 'dict' objects> (~:0),3818,0.000253,0.000253
<method 'values' of 'dict' objects> (~:0),2623,0.000207,0.000207
<method 'append' of 'list' objects> (~:0),225112,0.009600,0.009600
<method 'insert' of 'list' objects> (~:0),1898,0.000201,0.000201
<method 'extend' of 'list' objects> (~:0),6156,0.001054,0.001617
<method 'pop' of 'list' objects> (~:0),2623,0.000259,0.000259
<method 'sort' of 'list' objects> (~:0),999,0.000128,0.000128
<method 'join' of 'str' objects> (~:0),3313,0.000551,0.000551
<method 'find' of 'str' objects> (~:0),4,0.000001,0.000001
<method 'rfind' of 'str' objects> (~:0),12,0.000002,0.000002
<built-in method sys._getframe> (~:0),4,0.000000,0.000000
<built-in method builtins.getattr> (~:0),295,0.000025,0.000025
<built-in method builtins.hasattr> (~:0),8,0.000002,0.000002
<built-in method builtins.isinstance> (~:0),4008,0.000365,0.000365
<built-in method builtins.len> (~:0),420100,0.013945,0.013945
<built-in method builtins.max> (~:0),138579,0.011898,0.011898
<built-in method builtins.min> (~:0),12440,0.002412,0.005742
<built-in method builtins.next> (~:0),1580,0.000388,0.001841
<built-in method builtins.round> (~:0),4000,0.000875,0.000875
<built-in method builtins.sorted> (~:0),4817,0.013436,0.021042
<built-in method builtins.sum> (~:0),13115,0.010982,0.043401
basename (<frozen posixpath>:140),4,0.000005,0.000008
splitext (<frozen posixpath>:117),4,0.000003,0.000009
normcase (<frozen posixpath>:52),12,0.000003,0.000005
_get_sep (<frozen posixpath>:41),4,0.000001,0.000002
_splitext (<frozen genericpath>:121),4,0.000004,0.000005
<method 'acquire' of '_thread.RLock' objects> (~:0),8,0.000002,0.000002
<method 'release' of '_thread.RLock' objects> (~:0),8,0.000001,0.000001
<built-in method _thread.get_ident> (~:0),8,0.000001,0.000001
<built-in method posix.getpid> (~:0),4,0.000001,0.000001
<built-in method posix.fspath> (~:0),20,0.000001,0.000001
<method 'write' of '_io.TextIOWrapper' objects> (~:0),4,0.000017,0.000017
<method 'flush' of '_io.TextIOWrapper' objects> (~:0),4,0.000001,0.000001
<built-in method time.time> (~:0),4,0.000001,0.000001
<built-in method _bisect.bisect_left> (~:0),2196,0.001981,0.002923
format (/usr/lib/python3.11/logging/__init__.py:674),4,0.000004,0.000017
findCaller (/usr/lib/python3.11/logging/__init__.py:1561),4,0.000009,0.000023
_log (/usr/lib/python3.11/logging/__init__.py:1610),4,0.000006,0.000159
callHandlers (/usr/lib/python3.11/logging/__init__.py:1690),4,0.000004,0.000066
__init__ (/usr/lib/python3.11/logging/__init__.py:292),4,0.000028,0.000056
push_event (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:107),2319,0.002330,0.005604
print_states_dur (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:98),1,0.000217,0.000290
proceed (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:170),2623,0.025989,0.306303
remove_job_from_waiting_queue (/home/raka/SPARS-Pub/SPARS/Simulator/JobsManager.py:21),1000,0.001276,0.001333
advance (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:297),1700,0.006796,0.783768
switch_off (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:121),62,0.000412,0.001819
prep_schedule (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:291),2623,0.034588,0.171577
allocate (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:45),1000,0.003252,0.020317
update_custom_resources_agenda_global (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:94),2623,0.069019,0.108885
events_builder (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:132),2623,0.008758,0.031404
timeout_policy (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:216),2623,0.027183,0.045577
backfill (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/easy_psus.py:16),2623,0.129087,0.187918
update_energy (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:176),2623,0.055563,0.061916
switch_on (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:160),59,0.000435,0.001564
_update_node_state (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:64),716,0.000537,0.000637
update_node_state (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:227),2623,0.063044,0.147092
compute (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:45),1000,0.002147,0.011022
record (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:136),5246,0.004462,0.245955
_get_nodes_by_ids (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:138),2236,0.001470,0.007725
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/easy_psus.py:24),2194,0.004336,0.004336
<genexpr> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:56),5900,0.000563,0.000563
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:61),1000,0.007968,0.007968
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:153),1000,0.000364,0.000364
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:189),2623,0.001121,0.001121
<genexpr> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:200),1397,0.000162,0.000162
<dictcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:234),2623,0.007974,0.007974
<dictcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:235),2623,0.007593,0.007593
<dictcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:236),2623,0.007501,0.007501
<genexpr> (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:263),3158,0.004530,0.004530
<genexpr> (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:264),9923,0.004639,0.004639
<genexpr> (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:266),12261,0.004695,0.004695
<setcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:225),2623,0.004221,0.004221
<setcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:228),2623,0.000493,0.000493
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:232),26,0.000034,0.000034
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:294),2623,0.000269,0.000269
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:295),2623,0.014891,0.014891
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:65),716,0.000100,0.000100
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:139),2236,0.006036,0.006036
release (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:127),1000,0.001143,0.004694
switch_on (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:86),59,0.000053,0.000375
turn_off (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:102),56,0.000052,0.000362
switch_off (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:95),62,0.000066,0.000475
add_job_to_waiting_queue (/home/raka/SPARS-Pub/SPARS/Simulator/JobsManager.py:18),1000,0.000176,0.000226
allocate (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:111),1000,0.000968,0.004408
<lambda> (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:127),14427,0.000942,0.000942
start_simulator (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:157),1,0.000000,0.000000
on_finish (/home/raka/SPARS-Pub/SPARS/Simulator/JobsManager.py:12),1,0.000001,0.000030
add_job_to_scheduled_queue (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:36),1000,0.000584,0.000706
_set_prestart_release_time (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:68),1000,0.000855,0.003540
on_finish (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:161),1,0.000002,0.000540
_trace (/home/raka/SPARS-Pub/SPARS/Logger.py:10),6064,0.001692,0.002711
<lambda> (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:199),3313,0.001159,0.001350
release (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:101),1000,0.000414,0.005108
turn_on (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:113),59,0.000030,0.000446
turn_off (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:117),56,0.000030,0.000426
turn_on (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:91),59,0.000050,0.000379
validate_duplication (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:36),1236,0.000692,0.000841
