id,energy_consumption,energy_effective,energy_waste
0,24277079.0,21522273.0,2754806.0
1,24297170.0,21542554.0,2754616.0
2,24843609.0,21562483.0,3281126.0
3,24279070.0,21319824.0,2959246.0
4,24843609.0,21585473.0,3258136.0
5,24237078.0,21307852.0,2929226.0
6,24216263.0,21088297.0,3127966.0
7,24222055.0,21167809.0,3054246.0
8,24236897.0,21361023.0,2875874.0
9,24203593.0,21145129.0,3058464.0
10,24258617.0,21147523.0,3111094.0
11,24298437.0,21365183.0,2933254.0
12,24274183.0,21366389.0,2907794.0
13,24326130.0,21452156.0,2873974.0
14,24279794.0,21307590.0,2972204.0
15,24299704.0,21321230.0,2978474.0
16,24338257.0,20941225.0,3397032.0
17,23808289.0,20821677.0,2986612.0
18,23808470.0,20786518.0,3021952.0
19,23686295.0,20697403.0,2988892.0
20,23739147.0,20802315.0,2936832.0
21,23847928.0,20911476.0,2936452.0
22,23691001.0,20815919.0,2875082.0
23,24338257.0,21017985.0,3320272.0
24,23923405.0,21168085.0,2755320.0
25,24412105.0,21260805.0,3151300.0
26,23814081.0,20955591.0,2858490.0
27,24412105.0,21223945.0,3188160.0
28,23858969.0,20984519.0,2874450.0
29,23763582.0,20879062.0,2884520.0
30,23779329.0,21017359.0,2761970.0
31,24412105.0,21147565.0,3264540.0
32,24292464.0,21006791.0,3285673.0
33,24292464.0,20933451.0,3359013.0
34,23639054.0,20634791.0,3004263.0
35,23711454.0,20797061.0,2914393.0
36,23645932.0,20731729.0,2914203.0
37,23641950.0,20686517.0,2955433.0
38,23667290.0,20717557.0,2949733.0
39,23691906.0,20758513.0,2933393.0
40,23596700.0,20657158.0,2939542.0
41,23604664.0,20603372.0,3001292.0
42,24245223.0,20877021.0,3368202.0
43,23625841.0,20669959.0,2955882.0
44,24245223.0,20873031.0,3372192.0
45,23634710.0,20631708.0,3003002.0
46,24245223.0,20948081.0,3297142.0
47,23708920.0,20710288.0,2998632.0
48,24167936.0,20791580.0,3376356.0
49,23606655.0,20631409.0,2975246.0
50,23535160.0,20577774.0,2957386.0
51,24167936.0,20911090.0,3256846.0
52,23547287.0,20626951.0,2920336.0
53,23520318.0,20621642.0,2898676.0
54,23599415.0,20657609.0,2941806.0
55,23566111.0,20690995.0,2875116.0
56,23632719.0,21096849.0,2535870.0
57,23631271.0,21097681.0,2533590.0
58,23764125.0,21293805.0,2470320.0
59,23722676.0,21236776.0,2485900.0
60,23775166.0,21289266.0,2485900.0
61,23700594.0,21214694.0,2485900.0
62,24284500.0,21442520.0,2841980.0
63,23771365.0,21224475.0,2546890.0
