function,ncalls,tottime_s,cumtime_s
<method 'add' of 'set' objects> (~:0),278106846,14.387203,14.387203
<method 'get' of 'dict' objects> (~:0),180846951,7.825154,7.825154
<method 'setdefault' of 'dict' objects> (~:0),348,0.000030,0.000030
<method 'items' of 'dict' objects> (~:0),35572556,1.627595,1.627595
<method 'values' of 'dict' objects> (~:0),827493,0.055254,0.055254
<method 'append' of 'list' objects> (~:0),28959660,1.490075,1.490075
<method 'insert' of 'list' objects> (~:0),1709283,0.104786,0.104786
<method 'extend' of 'list' objects> (~:0),3389,0.000427,0.000427
<method 'pop' of 'list' objects> (~:0),2515,0.000652,0.000652
<method 'sort' of 'list' objects> (~:0),28440559,24.985459,44.735040
<method 'join' of 'str' objects> (~:0),3163,0.000889,0.000889
<method 'find' of 'str' objects> (~:0),4,0.000001,0.000001
<method 'rfind' of 'str' objects> (~:0),12,0.000002,0.000002
<built-in method sys._getframe> (~:0),4,0.000001,0.000001
<built-in method builtins.any> (~:0),34218,0.005937,0.010047
<built-in method builtins.getattr> (~:0),1,0.000000,0.000000
<built-in method builtins.hasattr> (~:0),489171,0.023575,0.023575
<built-in method builtins.isinstance> (~:0),4008,0.001157,0.001157
<built-in method builtins.len> (~:0),61512528,2.455729,2.455729
<built-in method builtins.max> (~:0),32225035,3.026417,3.026417
<built-in method builtins.min> (~:0),3526983,1.570927,2.731775
<built-in method builtins.next> (~:0),10008,0.001691,0.003994
<built-in method builtins.round> (~:0),4000,0.002843,0.002843
<built-in method builtins.sorted> (~:0),2058267,4.617950,8.722458
<built-in method builtins.sum> (~:0),12575,0.011780,0.043827
basename (<frozen posixpath>:140),4,0.000004,0.000008
splitext (<frozen posixpath>:117),4,0.000003,0.000008
normcase (<frozen posixpath>:52),12,0.000003,0.000004
_get_sep (<frozen posixpath>:41),4,0.000002,0.000002
_splitext (<frozen genericpath>:121),4,0.000003,0.000004
<method 'acquire' of '_thread.RLock' objects> (~:0),8,0.000002,0.000002
<method 'release' of '_thread.RLock' objects> (~:0),8,0.000001,0.000001
<built-in method _thread.get_ident> (~:0),8,0.000001,0.000001
<built-in method posix.getpid> (~:0),4,0.000001,0.000001
<built-in method posix.fspath> (~:0),20,0.000001,0.000001
<method 'write' of '_io.TextIOWrapper' objects> (~:0),4,0.000016,0.000016
<method 'flush' of '_io.TextIOWrapper' objects> (~:0),4,0.000001,0.000001
<built-in method time.time> (~:0),4,0.000001,0.000001
