function,ncalls,tottime_s,cumtime_s
<method 'get' of 'dict' objects> (~:0),2996915,0.137912,0.137912
<method 'setdefault' of 'dict' objects> (~:0),392,0.000034,0.000034
<method 'items' of 'dict' objects> (~:0),8829,0.000563,0.000563
<method 'values' of 'dict' objects> (~:0),2537,0.000200,0.000200
<method 'append' of 'list' objects> (~:0),394781,0.020523,0.020523
<method 'insert' of 'list' objects> (~:0),2023,0.000219,0.000219
<method 'extend' of 'list' objects> (~:0),3255,0.000293,0.000293
<method 'pop' of 'list' objects> (~:0),2537,0.000291,0.000291
<method 'sort' of 'list' objects> (~:0),1956,0.001315,0.002165
<method 'join' of 'str' objects> (~:0),3292,0.000642,0.000642
<method 'find' of 'str' objects> (~:0),4,0.000001,0.000001
<method 'rfind' of 'str' objects> (~:0),12,0.000002,0.000002
<built-in method sys._getframe> (~:0),4,0.000001,0.000001
<built-in method builtins.any> (~:0),23510,0.004146,0.007376
<built-in method builtins.getattr> (~:0),1,0.000000,0.000000
<built-in method builtins.hasattr> (~:0),487112,0.022646,0.022646
<built-in method builtins.isinstance> (~:0),4008,0.000391,0.000391
<built-in method builtins.len> (~:0),20931,0.001382,0.001382
<built-in method builtins.min> (~:0),12398,0.002512,0.006059
<built-in method builtins.next> (~:0),11773,0.001867,0.004453
<built-in method builtins.round> (~:0),4000,0.000952,0.000952
<built-in method builtins.sorted> (~:0),4537,0.002156,0.004140
<built-in method builtins.sum> (~:0),14685,0.012545,0.045788
basename (<frozen posixpath>:140),4,0.000005,0.000008
splitext (<frozen posixpath>:117),4,0.000003,0.000009
normcase (<frozen posixpath>:52),12,0.000003,0.000004
_get_sep (<frozen posixpath>:41),4,0.000001,0.000002
_splitext (<frozen genericpath>:121),4,0.000004,0.000005
<method 'acquire' of '_thread.RLock' objects> (~:0),8,0.000002,0.000002
<method 'release' of '_thread.RLock' objects> (~:0),8,0.000001,0.000001
<built-in method _thread.get_ident> (~:0),8,0.000001,0.000001
<built-in method posix.getpid> (~:0),4,0.000001,0.000001
<built-in method posix.fspath> (~:0),20,0.000001,0.000001
<method 'write' of '_io.TextIOWrapper' objects> (~:0),4,0.000015,0.000015
<method 'flush' of '_io.TextIOWrapper' objects> (~:0),4,0.000001,0.000001
<built-in method time.time> (~:0),4,0.000001,0.000001
<method 'fullmatch' of 're.Pattern' objects> (~:0),298330,0.050562,0.050562
<built-in method math.isinf> (~:0),146663,0.006838,0.006838
<built-in method _bisect.bisect_left> (~:0),2170,0.002055,0.003001
format (/usr/lib/python3.11/logging/__init__.py:674),4,0.000005,0.000018
findCaller (/usr/lib/python3.11/logging/__init__.py:1561),4,0.000007,0.000021
