function,ncalls,tottime_s,cumtime_s
<method 'add' of 'set' objects> (~:0),1000,0.000086,0.000086
<method 'get' of 'dict' objects> (~:0),57035830,2.132687,2.132687
<method 'setdefault' of 'dict' objects> (~:0),354,0.000036,0.000036
<method 'items' of 'dict' objects> (~:0),445122,0.031247,0.031247
<method 'values' of 'dict' objects> (~:0),438891,0.028962,0.028962
<method 'append' of 'list' objects> (~:0),6687844,0.324921,0.324921
<method 'insert' of 'list' objects> (~:0),1927,0.000265,0.000265
<method 'extend' of 'list' objects> (~:0),3256,0.000357,0.000357
<method 'pop' of 'list' objects> (~:0),2451,0.000432,0.000432
<method 'sort' of 'list' objects> (~:0),931,0.000164,0.000164
<method 'join' of 'str' objects> (~:0),3247,0.000793,0.000793
<method 'find' of 'str' objects> (~:0),4,0.000001,0.000001
<method 'rfind' of 'str' objects> (~:0),12,0.000002,0.000002
<built-in method sys._getframe> (~:0),4,0.000001,0.000001
<built-in method builtins.any> (~:0),21003,0.003717,0.006587
<built-in method builtins.getattr> (~:0),1,0.000000,0.000000
<built-in method builtins.hasattr> (~:0),480354,0.022734,0.022734
<built-in method builtins.isinstance> (~:0),4008,0.000613,0.000613
<built-in method builtins.len> (~:0),3184793,0.138181,0.138181
<built-in method builtins.min> (~:0),447481,0.197920,0.385873
<built-in method builtins.next> (~:0),11311,0.001828,0.004372
<built-in method builtins.round> (~:0),4000,0.001608,0.001608
<built-in method builtins.sorted> (~:0),875377,0.574913,0.879470
<built-in method builtins.sum> (~:0),12255,0.010979,0.042111
basename (<frozen posixpath>:140),4,0.000005,0.000008
splitext (<frozen posixpath>:117),4,0.000003,0.000009
normcase (<frozen posixpath>:52),12,0.000004,0.000005
_get_sep (<frozen posixpath>:41),4,0.000001,0.000002
_splitext (<frozen genericpath>:121),4,0.000004,0.000005
<method 'acquire' of '_thread.RLock' objects> (~:0),8,0.000002,0.000002
<method 'release' of '_thread.RLock' objects> (~:0),8,0.000001,0.000001
<built-in method _thread.get_ident> (~:0),8,0.000001,0.000001
<built-in method posix.getpid> (~:0),4,0.000001,0.000001
<built-in method posix.fspath> (~:0),20,0.000001,0.000001
<method 'write' of '_io.TextIOWrapper' objects> (~:0),4,0.000014,0.000014
<method 'flush' of '_io.TextIOWrapper' objects> (~:0),4,0.000001,0.000001
<built-in method time.time> (~:0),4,0.000001,0.000001
<method 'fullmatch' of 're.Pattern' objects> (~:0),282947617,43.755557,43.755557
<built-in method math.isinf> (~:0),28016433,0.770529,0.770529
<built-in method _bisect.bisect_left> (~:0),2129,0.002214,0.003210
format (/usr/lib/python3.11/logging/__init__.py:674),4,0.000005,0.000017
findCaller (/usr/lib/python3.11/logging/__init__.py:1561),4,0.000008,0.000023
_log (/usr/lib/python3.11/logging/__init__.py:1610),4,0.000006,0.000152
callHandlers (/usr/lib/python3.11/logging/__init__.py:1690),4,0.000004,0.000062
__init__ (/usr/lib/python3.11/logging/__init__.py:292),4,0.000026,0.000053
push_event (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:107),2253,0.002663,0.006296
print_states_dur (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:98),1,0.000217,0.000287
schedule (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psas.py:24),2451,0.056940,156.909238
proceed (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:170),2451,0.031746,0.315637
remove_job_from_waiting_queue (/home/raka/SPARS-Pub/SPARS/Simulator/JobsManager.py:21),1000,0.001002,0.001062
advance (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:297),1658,0.009627,157.245502
