id,energy_consumption,energy_effective,energy_waste
0,25109227.0,21581157.0,3528070.0
1,25109227.0,21553227.0,3556000.0
2,25109227.0,21524917.0,3584310.0
3,25109227.0,21551517.0,3557710.0
4,24538534.0,21206564.0,3331970.0
5,25109227.0,21454427.0,3654800.0
6,24544145.0,21235165.0,3308980.0
7,24539439.0,21230649.0,3308790.0
8,25109227.0,21223767.0,3885460.0
9,25109227.0,21266327.0,3842900.0
10,24540163.0,21024273.0,3515890.0
11,25109227.0,21209897.0,3899330.0
12,24584689.0,21015789.0,3568900.0
13,24564055.0,21054245.0,3509810.0
14,24564055.0,21054245.0,3509810.0
15,24564055.0,21054245.0,3509810.0
16,24490207.0,21416807.0,3073400.0
17,24490207.0,21416807.0,3073400.0
18,24490207.0,21416807.0,3073400.0
19,24472107.0,21398517.0,3073590.0
20,24472107.0,21398517.0,3073590.0
21,24472107.0,21398517.0,3073590.0
22,25035379.0,21595069.0,3440310.0
23,25035379.0,21691779.0,3343600.0
24,25035379.0,21581959.0,3453420.0
25,25035379.0,21671069.0,3364310.0
26,25035379.0,21603049.0,3432330.0
27,24465953.0,21273993.0,3191960.0
28,24469573.0,21379833.0,3089740.0
29,24467582.0,21369482.0,3098100.0
30,25035379.0,21505579.0,3529800.0
31,25035379.0,21397469.0,3637910.0
32,24015625.0,21033255.0,2982370.0
33,24504325.0,21236175.0,3268150.0
34,23933813.0,20951443.0,2982370.0
35,23959153.0,20937453.0,3021700.0
36,23959153.0,20919403.0,3039750.0
37,24504325.0,21147825.0,3356500.0
38,24504325.0,21132435.0,3371890.0
39,24504325.0,21171575.0,3332750.0
40,24504325.0,20563005.0,3941320.0
41,24504325.0,20558255.0,3946070.0
42,24504325.0,20543055.0,3961270.0
43,23960058.0,20430678.0,3529380.0
44,24504325.0,20631025.0,3873300.0
45,24504325.0,20726025.0,3778300.0
46,24504325.0,20722225.0,3782100.0
47,24504325.0,20724505.0,3779820.0
48,23874264.0,20354194.0,3520070.0
49,24419074.0,20552234.0,3866840.0
50,23874264.0,20354194.0,3520070.0
51,23924039.0,20403969.0,3520070.0
52,23924039.0,20403969.0,3520070.0
53,23924039.0,20403969.0,3520070.0
54,23924039.0,20403969.0,3520070.0
55,23924039.0,20403969.0,3520070.0
56,23924039.0,20388009.0,3536030.0
57,23924039.0,20388009.0,3536030.0
58,23924039.0,20388009.0,3536030.0
59,24419074.0,20401754.0,4017320.0
60,24419074.0,20520694.0,3898380.0
61,24419074.0,20452104.0,3966970.0
62,24419074.0,20414674.0,4004400.0
63,24419074.0,20503214.0,3915860.0
