function,ncalls,tottime_s,cumtime_s
<method 'get' of 'dict' objects> (~:0),4022121,0.156216,0.156216
<method 'setdefault' of 'dict' objects> (~:0),596,0.000045,0.000045
<method 'items' of 'dict' objects> (~:0),20793,0.001166,0.001166
<method 'values' of 'dict' objects> (~:0),2699,0.000195,0.000195
<method 'append' of 'list' objects> (~:0),434188,0.019557,0.019557
<method 'insert' of 'list' objects> (~:0),27835,0.001529,0.001529
<method 'extend' of 'list' objects> (~:0),3397,0.000280,0.000280
<method 'pop' of 'list' objects> (~:0),2699,0.000298,0.000298
<method 'sort' of 'list' objects> (~:0),5666,0.002455,0.003837
<method 'join' of 'str' objects> (~:0),3323,0.000609,0.000609
<method 'find' of 'str' objects> (~:0),4,0.000001,0.000001
<method 'rfind' of 'str' objects> (~:0),12,0.000002,0.000002
<built-in method sys._getframe> (~:0),4,0.000001,0.000001
<built-in method builtins.any> (~:0),40413,0.006345,0.011122
<built-in method builtins.getattr> (~:0),1,0.000000,0.000000
<built-in method builtins.hasattr> (~:0),518216,0.021024,0.021024
<built-in method builtins.isinstance> (~:0),4008,0.000352,0.000352
<built-in method builtins.len> (~:0),1455948,0.040211,0.040211
<built-in method builtins.max> (~:0),38,0.000005,0.000005
<built-in method builtins.min> (~:0),5733,0.001762,0.004889
<built-in method builtins.next> (~:0),18501,0.002540,0.006077
<built-in method builtins.round> (~:0),4000,0.000981,0.000981
<built-in method builtins.sorted> (~:0),10654,0.015619,0.024307
<built-in method builtins.sum> (~:0),15495,0.012205,0.043244
basename (<frozen posixpath>:140),4,0.000004,0.000007
splitext (<frozen posixpath>:117),4,0.000003,0.000007
normcase (<frozen posixpath>:52),12,0.000003,0.000004
_get_sep (<frozen posixpath>:41),4,0.000001,0.000002
_splitext (<frozen genericpath>:121),4,0.000003,0.000004
<method 'acquire' of '_thread.RLock' objects> (~:0),8,0.000002,0.000002
<method 'release' of '_thread.RLock' objects> (~:0),8,0.000001,0.000001
<built-in method _thread.get_ident> (~:0),8,0.000001,0.000001
<built-in method posix.getpid> (~:0),4,0.000001,0.000001
<built-in method posix.fspath> (~:0),20,0.000001,0.000001
<method 'write' of '_io.TextIOWrapper' objects> (~:0),4,0.000014,0.000014
<method 'flush' of '_io.TextIOWrapper' objects> (~:0),4,0.000001,0.000001
<built-in method time.time> (~:0),4,0.000001,0.000001
<method 'fullmatch' of 're.Pattern' objects> (~:0),322185,0.048556,0.048556
<built-in method math.isinf> (~:0),158540,0.006631,0.006631
<built-in method _bisect.bisect_left> (~:0),18622,0.003005,0.003904
format (/usr/lib/python3.11/logging/__init__.py:674),4,0.000003,0.000014
findCaller (/usr/lib/python3.11/logging/__init__.py:1561),4,0.000006,0.000018
_log (/usr/lib/python3.11/logging/__init__.py:1610),4,0.000005,0.000132
callHandlers (/usr/lib/python3.11/logging/__init__.py:1690),4,0.000004,0.000056
__init__ (/usr/lib/python3.11/logging/__init__.py:292),4,0.000022,0.000046
allocate (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:355),1000,0.005377,0.021589
timeout_policy (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:438),2699,0.004987,0.047987
events_builder (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:305),2699,0.007770,0.020117
