time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.0,0,0,0,64,0
0.0,0,0,0,63,1
22.0,0,0,0,63,1
22.0,0,0,0,62,2
300.0,0,0,0,62,2
300.0,0,0,62,0,2
350.0,0,0,62,1,1
372.0,0,0,62,2,0
421.0,0,0,62,2,0
421.0,0,0,62,1,1
422.0,0,0,62,2,0
506.0,0,0,62,2,0
506.0,0,0,62,1,1
509.0,0,0,62,1,1
509.0,0,0,62,0,2
512.0,0,0,62,0,2
548.0,0,0,62,1,1
548.0,0,0,62,0,2
551.0,0,0,62,1,1
589.0,0,0,62,2,0
597.0,0,0,62,2,0
597.0,0,0,62,1,1
624.0,0,0,62,1,1
624.0,0,0,62,0,2
650.0,0,0,62,0,2
672.0,0,0,62,0,2
722.0,0,0,62,0,2
851.0,0,0,62,0,2
889.0,0,0,62,0,2
909.0,0,0,62,0,2
910.0,0,0,62,0,2
911.0,0,0,62,0,2
912.0,0,0,62,0,2
913.0,0,0,62,0,2
914.0,0,0,62,0,2
947.0,0,0,62,1,1
947.0,0,0,62,0,2
974.0,0,0,62,1,1
1038.0,0,0,62,1,1
1038.0,0,0,62,0,2
1040.0,0,0,62,0,2
1041.0,0,0,62,0,2
1043.0,0,0,62,0,2
1045.0,0,0,62,0,2
1046.0,0,0,62,0,2
1048.0,0,0,62,0,2
1050.0,0,0,62,0,2
1051.0,0,0,62,0,2
1062.0,0,0,62,0,2
1063.0,0,0,62,0,2
1065.0,0,0,62,0,2
1066.0,0,0,62,0,2
1068.0,0,0,62,0,2
1069.0,0,0,62,0,2
1071.0,0,0,62,0,2
1073.0,0,0,62,0,2
1074.0,0,0,62,0,2
1274.0,0,0,62,0,2
1297.0,0,0,62,1,1
1297.0,0,0,62,0,2
1837.0,0,0,62,0,2
1838.0,0,0,62,0,2
1839.0,0,0,62,0,2
1840.0,0,0,62,0,2
1841.0,0,0,62,0,2
1842.0,0,0,62,0,2
1843.0,0,0,62,0,2
1862.0,0,0,62,0,2
1932.0,0,0,62,0,2
1933.0,0,0,62,0,2
1938.0,0,0,62,0,2
1939.0,0,0,62,0,2
1968.0,0,0,62,0,2
2458.0,0,0,62,1,1
2458.0,0,0,62,0,2
2764.0,0,0,62,0,2
2765.0,0,0,62,0,2
2767.0,0,0,62,0,2
2768.0,0,0,62,0,2
2769.0,0,0,62,0,2
2770.0,0,0,62,0,2
2771.0,0,0,62,0,2
2772.0,0,0,62,0,2
2905.0,0,0,62,1,1
2905.0,0,0,62,0,2
2966.0,0,0,62,0,2
2968.0,0,0,62,0,2
2969.0,0,0,62,0,2
2971.0,0,0,62,0,2
2972.0,0,0,62,0,2
2974.0,0,0,62,0,2
2976.0,0,0,62,0,2
2977.0,0,0,62,0,2
2991.0,0,0,62,0,2
2992.0,0,0,62,0,2
2994.0,0,0,62,0,2
2995.0,0,0,62,0,2
2997.0,0,0,62,0,2
2998.0,0,0,62,0,2
3000.0,62,0,0,0,2
3000.0,6,56,0,0,2
3001.0,6,56,0,0,2
3049.0,6,56,0,0,2
3051.0,6,56,0,0,2
3054.0,6,56,0,0,2
3140.0,6,56,0,0,2
3167.0,6,56,0,0,2
3190.0,6,56,0,0,2
3559.0,6,56,0,0,2
3560.0,6,56,0,0,2
3562.0,6,56,0,0,2
3563.0,6,56,0,0,2
3565.0,6,56,0,0,2
3566.0,6,56,0,0,2
3568.0,6,56,0,0,2
3570.0,6,56,0,0,2
3582.0,6,56,0,0,2
3583.0,6,56,0,0,2
3585.0,6,56,0,0,2
3586.0,6,56,0,0,2
3588.0,6,56,0,0,2
3589.0,6,56,0,0,2
3590.0,6,56,0,0,2
3592.0,6,56,0,0,2
3593.0,6,56,0,0,2
3699.0,6,56,0,0,2
3700.0,6,56,0,0,2
3701.0,6,56,0,0,2
3703.0,6,56,0,0,2
3704.0,6,56,0,0,2
3705.0,6,56,0,0,2
4022.0,6,56,0,1,1
4022.0,0,62,0,0,2
4369.0,0,62,0,1,1
4369.0,0,62,0,0,2
4625.0,0,62,0,0,2
4627.0,0,62,0,0,2
4628.0,0,62,0,0,2
4629.0,0,62,0,0,2
4630.0,0,62,0,0,2
4631.0,0,62,0,0,2
4666.0,0,62,0,0,2
4669.0,0,62,0,0,2
4800.0,0,6,0,56,2
4800.0,0,6,0,0,58
5384.0,0,6,0,1,57
5384.0,0,6,0,0,58
5451.0,0,6,0,0,58
5452.0,0,6,0,0,58
5454.0,0,6,0,0,58
5455.0,0,6,0,0,58
5457.0,0,6,0,0,58
5459.0,0,6,0,0,58
5460.0,0,6,0,0,58
5462.0,0,6,0,0,58
5476.0,0,6,0,0,58
5477.0,0,6,0,0,58
5479.0,0,6,0,0,58
5481.0,0,6,0,0,58
5483.0,0,6,0,0,58
5484.0,0,6,0,0,58
5486.0,0,6,0,0,58
5487.0,0,6,0,0,58
5529.0,0,6,0,0,58
5531.0,0,6,0,0,58
5534.0,0,6,0,0,58
5564.0,0,6,0,0,58
5565.0,0,6,0,0,58
5566.0,0,6,0,0,58
5567.0,0,6,0,0,58
5568.0,0,6,0,0,58
5569.0,0,6,0,0,58
5570.0,0,6,0,0,58
5571.0,0,6,0,0,58
5618.0,0,6,0,0,58
5647.0,0,6,0,0,58
5675.0,0,6,0,0,58
5708.0,0,6,0,8,50
5708.0,0,6,0,0,58
5709.0,0,6,0,16,42
5709.0,0,6,0,0,58
5711.0,0,6,0,8,50
5711.0,0,6,0,0,58
5712.0,0,6,0,16,42
5712.0,0,6,0,0,58
5713.0,0,6,0,8,50
5713.0,0,6,0,0,58
5822.0,0,0,0,6,58
5822.0,0,0,0,0,64
5823.0,0,0,0,2,62
5823.0,0,0,0,0,64
5957.0,0,0,0,1,63
5957.0,0,0,0,0,64
6063.0,0,0,0,0,64
6064.0,0,0,0,0,64
6066.0,0,0,0,0,64
6068.0,0,0,0,0,64
6069.0,0,0,0,0,64
6071.0,0,0,0,0,64
6072.0,0,0,0,0,64
6074.0,0,0,0,0,64
6486.0,0,0,0,0,64
6488.0,0,0,0,0,64
6489.0,0,0,0,0,64
6490.0,0,0,0,0,64
6491.0,0,0,0,0,64
6492.0,0,0,0,0,64
6493.0,0,0,0,0,64
6615.0,0,0,0,8,56
6615.0,0,0,0,0,64
6617.0,0,0,0,8,56
6617.0,0,0,0,0,64
6621.0,0,0,0,8,56
6621.0,0,0,0,4,60
6623.0,0,0,0,20,44
6623.0,0,0,0,4,60
6624.0,0,0,0,20,44
6624.0,0,0,0,4,60
6642.0,0,0,0,5,59
6642.0,0,0,0,4,60
6652.0,0,0,0,5,59
6652.0,0,0,0,4,60
6669.0,0,0,0,5,59
6669.0,0,0,0,4,60
6670.0,0,0,0,5,59
6670.0,0,0,0,4,60
6698.0,0,0,0,5,59
6698.0,0,0,0,4,60
6699.0,0,0,0,5,59
6699.0,0,0,0,4,60
6720.0,0,0,0,5,59
6720.0,0,0,0,4,60
6722.0,0,0,0,5,59
6722.0,0,0,0,4,60
6741.0,0,0,0,5,59
6741.0,0,0,0,4,60
6743.0,0,0,0,5,59
6743.0,0,0,0,4,60
6765.0,0,0,0,5,59
6765.0,0,0,0,4,60
6775.0,0,0,0,5,59
6775.0,0,0,0,4,60
6794.0,0,0,0,5,59
6794.0,0,0,0,4,60
6797.0,0,0,0,5,59
6797.0,0,0,0,4,60
6814.0,0,0,0,5,59
6814.0,0,0,0,4,60
6817.0,0,0,0,5,59
6817.0,0,0,0,4,60
6857.0,0,0,0,5,59
6857.0,0,0,0,4,60
6859.0,0,0,0,5,59
6859.0,0,0,0,4,60
6898.0,0,0,0,5,59
6898.0,0,0,0,4,60
6921.0,0,0,0,4,60
6923.0,0,0,0,4,60
6924.0,0,0,0,4,60
6924.0,0,0,4,0,60
6973.0,0,0,4,1,59
7067.0,0,0,4,2,58
7178.0,0,0,4,3,57
7209.0,0,0,4,4,56
7241.0,0,0,4,5,55
7248.0,0,0,4,6,54
7273.0,0,0,4,7,53
7273.0,0,0,4,6,54
7367.0,0,0,4,6,54
7367.0,0,0,5,5,54
7367.0,0,0,5,0,59
7424.0,0,0,5,0,59
7425.0,0,0,5,0,59
7427.0,0,0,5,0,59
7428.0,0,0,5,0,59
7429.0,0,0,5,0,59
7447.0,0,0,5,1,58
7447.0,0,0,5,0,59
7459.0,0,0,5,0,59
7463.0,0,0,5,0,59
7478.0,0,0,5,0,59
7523.0,0,0,5,8,51
7523.0,0,0,5,0,59
7526.0,0,0,5,8,51
7526.0,0,0,5,0,59
7527.0,0,0,5,8,51
7527.0,0,0,5,0,59
7529.0,0,0,5,8,51
7529.0,0,0,5,0,59
7531.0,0,0,5,8,51
7531.0,0,0,5,0,59
7532.0,0,0,5,8,51
7532.0,0,0,5,0,59
7546.0,0,0,5,1,58
7546.0,0,0,5,0,59
