job_id,subtime,start_time,finish_time,waiting_time
9261334,0,0.0,350.0,0.0
9261335,22,22.0,372.0,0.0
9261353,421,421.0,422.0,0.0
9261384,506,506.0,548.0,0.0
9261385,509,509.0,551.0,0.0
9261387,597,597.0,947.0,0.0
9261388,624,624.0,974.0,0.0
9261386,512,4800.0,4841.0,4288.0
9261389,650,4800.0,5150.0,4150.0
9261393,911,4800.0,5708.0,3889.0
9261390,909,4800.0,5709.0,3891.0
9261394,911,4800.0,5709.0,3889.0
9261396,912,4800.0,5711.0,3888.0
9261392,911,4800.0,5712.0,3889.0
9261395,912,4800.0,5712.0,3888.0
9261391,910,4800.0,5713.0,3890.0
9261399,913,5709.0,6617.0,4796.0
9261398,913,5708.0,6620.0,4795.0
9261400,914,5709.0,6621.0,4795.0
9261404,914,5713.0,6621.0,4799.0
9261401,914,5711.0,6622.0,4797.0
9261414,1051,6621.0,6622.0,5570.0
9261421,1062,6621.0,6622.0,5559.0
9261403,914,5712.0,6623.0,4798.0
9261402,914,5712.0,6624.0,4798.0
9261405,914,6617.0,7526.0,5703.0
9261433,1839,6624.0,7527.0,4785.0
9261430,1837,6622.0,7528.0,4785.0
9261432,1838,6623.0,7530.0,4785.0
9261431,1838,6622.0,7531.0,4784.0
9261426,1069,6621.0,7865.0,5552.0
9261410,1045,6620.0,7976.0,5575.0
9261422,1063,6621.0,7983.0,5558.0
9261412,1048,6620.0,8039.0,5572.0
9261406,1038,6620.0,8040.0,5582.0
9261425,1068,6621.0,8071.0,5553.0
9261429,1074,6621.0,8074.0,5547.0
9261409,1043,6620.0,8084.0,5577.0
9261408,1041,6620.0,8184.0,5579.0
9261423,1065,6621.0,8209.0,5556.0
9261424,1066,6621.0,8210.0,5555.0
9261427,1071,6621.0,8210.0,5550.0
9261428,1073,6621.0,8211.0,5548.0
9261407,1040,6620.0,8228.0,5580.0
9261413,1050,6620.0,8245.0,5570.0
9261434,1839,7526.0,8431.0,5687.0
9261435,1840,7527.0,8435.0,5687.0
9261436,1841,7528.0,8436.0,5687.0
9261437,1841,7530.0,8438.0,5689.0
9261438,1841,7531.0,8439.0,5690.0
9261444,1842,8439.0,8453.0,6597.0
9261411,1046,6620.0,8523.0,5574.0
9261446,1862,8523.0,8540.0,6661.0
9261439,1842,8084.0,8990.0,6242.0
9261440,1842,8431.0,9339.0,6589.0
9261441,1842,8435.0,9340.0,6593.0
9261442,1842,8436.0,9344.0,6594.0
9261443,1842,8438.0,9344.0,6596.0
9261445,1843,8453.0,9371.0,6610.0
9261397,913,9641.0,10548.0,8728.0
9261454,2764,10548.0,11466.0,7784.0
9261455,2765,11466.0,12381.0,8701.0
9261456,2767,12381.0,13295.0,9614.0
9261457,2768,13295.0,14208.0,10527.0
9261452,1939,9344.0,15040.0,7405.0
9261458,2768,14208.0,15124.0,11440.0
9261459,2769,15040.0,15955.0,12271.0
9261460,2769,15124.0,16041.0,12355.0
9261461,2769,15955.0,16871.0,13186.0
9261462,2770,16041.0,16955.0,13271.0
9261463,2770,16871.0,17789.0,14101.0
9261464,2771,16955.0,17871.0,14184.0
9261465,2771,17789.0,18703.0,15018.0
9261466,2771,17871.0,18783.0,15100.0
9261447,1932,8540.0,19316.0,6608.0
9261467,2771,18703.0,19591.0,15932.0
9261473,2971,19591.0,19608.0,16620.0
9261470,2966,19591.0,19612.0,16625.0
9261477,2977,19591.0,19612.0,16614.0
9261476,2976,19591.0,19615.0,16615.0
9261472,2969,19591.0,19619.0,16622.0
9261474,2972,19591.0,19620.0,16619.0
9261475,2974,19591.0,19620.0,16617.0
9261471,2968,19591.0,19622.0,16623.0
9261486,2991,19608.0,19629.0,16617.0
9261487,2992,19612.0,19633.0,16620.0
9261488,2994,19612.0,19636.0,16618.0
9261493,3001,19622.0,19639.0,16621.0
9261491,2998,19620.0,19642.0,16622.0
9261492,3000,19620.0,19643.0,16620.0
9261489,2995,19615.0,19647.0,16620.0
9261490,2997,19619.0,19648.0,16622.0
9261468,2771,18783.0,19671.0,16012.0
9261494,3049,19629.0,19672.0,16580.0
9261515,3582,19671.0,19672.0,16089.0
9261495,3051,19633.0,19675.0,16582.0
9261496,3054,19636.0,19677.0,16582.0
9261448,1932,8990.0,19768.0,7058.0
9261497,3140,19639.0,19989.0,16499.0
9261498,3167,19642.0,19992.0,16475.0
9261499,3190,19643.0,19993.0,16453.0
9261449,1933,9339.0,20115.0,7406.0
9261450,1933,9340.0,20117.0,7407.0
9261451,1938,9344.0,20121.0,7406.0
9261453,1968,9371.0,20148.0,7403.0
9261469,2772,19316.0,20225.0,16544.0
9261522,3592,19768.0,20864.0,16176.0
9261523,3593,19768.0,20866.0,16175.0
9261518,3586,19672.0,20895.0,16086.0
9261524,3699,19993.0,20904.0,16294.0
9261521,3590,19768.0,20996.0,16178.0
9261525,3700,20115.0,21025.0,16415.0
9261526,3700,20117.0,21028.0,16417.0
9261527,3701,20121.0,21031.0,16420.0
9261501,3560,19648.0,21039.0,16088.0
9261528,3701,20148.0,21056.0,16447.0
9261505,3566,19671.0,21060.0,16105.0
9261506,3568,19671.0,21064.0,16103.0
9261517,3585,19672.0,21110.0,16087.0
9261516,3583,19671.0,21113.0,16088.0
9261520,3589,19677.0,21116.0,16088.0
9261519,3588,19675.0,21118.0,16087.0
9261529,3703,20225.0,21134.0,16522.0
9261503,3563,19671.0,21379.0,16108.0
9261502,3562,19671.0,21423.0,16109.0
9261500,3559,19647.0,21428.0,16088.0
9261507,3570,19671.0,21511.0,16101.0
9261504,3565,19671.0,21547.0,16106.0
9261530,3703,20904.0,21814.0,17201.0
9261531,3703,21025.0,21932.0,17322.0
9261532,3704,21028.0,21936.0,17324.0
9261533,3704,21031.0,21941.0,17327.0
9261534,3704,21056.0,21966.0,17352.0
9261535,3704,21110.0,22020.0,17406.0
9261536,3704,21134.0,22042.0,17430.0
9261538,3704,21814.0,22720.0,18110.0
9261539,3705,21932.0,22848.0,18227.0
9261540,4625,21936.0,22852.0,17311.0
9261541,4627,21941.0,22857.0,17314.0
