id,energy_consumption,energy_effective,energy_waste
0,24449140.0,21210440.0,3238700.0
1,24449140.0,21306010.0,3143130.0
2,24449140.0,21175290.0,3273850.0
3,24449140.0,20986620.0,3462520.0
4,24449140.0,21149070.0,3300070.0
5,24449140.0,21043810.0,3405330.0
6,24449140.0,21227160.0,3221980.0
7,24449140.0,21175860.0,3273280.0
8,24449140.0,21167690.0,3281450.0
9,24449140.0,21099480.0,3349660.0
10,24449140.0,21256990.0,3192150.0
11,24449140.0,21359590.0,3089550.0
12,24449140.0,21113540.0,3335600.0
13,24449140.0,21042860.0,3406280.0
14,24449140.0,21042480.0,3406660.0
15,24449140.0,21047610.0,3401530.0
16,23886592.0,20728832.0,3157760.0
17,23886592.0,20496272.0,3390320.0
18,23886592.0,20528002.0,3358590.0
19,23886592.0,20737952.0,3148640.0
20,23886592.0,20652642.0,3233950.0
21,23886592.0,20600012.0,3286580.0
22,23886592.0,20591652.0,3294940.0
23,23886592.0,20494752.0,3391840.0
24,23886592.0,20591842.0,3294750.0
25,23886592.0,20544722.0,3341870.0
26,23886592.0,20545292.0,3341300.0
27,23886592.0,20430342.0,3456250.0
28,23886592.0,20395952.0,3490640.0
29,23886592.0,20507102.0,3379490.0
30,23886592.0,20537122.0,3349470.0
31,23886592.0,20487722.0,3398870.0
32,23844238.0,20436628.0,3407610.0
33,23844238.0,20748798.0,3095440.0
34,23844238.0,20517378.0,3326860.0
35,23844238.0,20521368.0,3322870.0
36,23844238.0,20490018.0,3354220.0
37,23844238.0,20469308.0,3374930.0
38,23844238.0,20455818.0,3388420.0
39,23844238.0,20667858.0,3176380.0
40,23844238.0,20938038.0,2906200.0
41,23844238.0,20595468.0,3248770.0
42,23844238.0,20635748.0,3208490.0
43,23844238.0,20736258.0,3107980.0
44,23844238.0,20619598.0,3224640.0
45,23844238.0,20689518.0,3154720.0
46,23844238.0,20665388.0,3178850.0
47,23844238.0,20577608.0,3266630.0
48,24247687.0,22304767.0,1942920.0
49,24247687.0,21951937.0,2295750.0
50,24247687.0,22020337.0,2227350.0
51,24247687.0,21944527.0,2303160.0
52,24247687.0,22147067.0,2100620.0
53,24247687.0,22088167.0,2159520.0
54,24247687.0,22040097.0,2207590.0
55,24247687.0,22238837.0,2008850.0
56,24247687.0,21472187.0,2775500.0
57,24247687.0,21473517.0,2774170.0
58,24247687.0,21601197.0,2646490.0
59,24247687.0,21664657.0,2583030.0
60,24247687.0,21453757.0,2793930.0
61,24247687.0,21672257.0,2575430.0
62,24247687.0,21447107.0,2800580.0
63,24247687.0,21470097.0,2777590.0
