function,ncalls,tottime_s,cumtime_s
<method 'add' of 'set' objects> (~:0),649,0.000032,0.000032
<method 'get' of 'dict' objects> (~:0),1353545,0.042428,0.042428
<method 'setdefault' of 'dict' objects> (~:0),224,0.000014,0.000014
<method 'items' of 'dict' objects> (~:0),3468,0.000212,0.000212
<method 'values' of 'dict' objects> (~:0),2306,0.000158,0.000158
<method 'append' of 'list' objects> (~:0),201178,0.007520,0.007520
<method 'insert' of 'list' objects> (~:0),1569,0.000147,0.000147
<method 'extend' of 'list' objects> (~:0),5917,0.000892,0.001369
<method 'pop' of 'list' objects> (~:0),2306,0.000203,0.000203
<method 'sort' of 'list' objects> (~:0),794,0.000095,0.000095
<method 'join' of 'str' objects> (~:0),3073,0.000445,0.000445
<method 'find' of 'str' objects> (~:0),4,0.000001,0.000001
<method 'rfind' of 'str' objects> (~:0),12,0.000002,0.000002
<built-in method sys._getframe> (~:0),4,0.000001,0.000001
<built-in method builtins.getattr> (~:0),388,0.000031,0.000031
<built-in method builtins.hasattr> (~:0),8,0.000001,0.000001
<built-in method builtins.isinstance> (~:0),4008,0.000319,0.000319
<built-in method builtins.len> (~:0),14494,0.000841,0.000841
<built-in method builtins.max> (~:0),133681,0.009790,0.009790
<built-in method builtins.min> (~:0),9931,0.001895,0.004813
<built-in method builtins.next> (~:0),1286,0.000273,0.001000
<built-in method builtins.round> (~:0),4000,0.000692,0.000692
<built-in method builtins.sorted> (~:0),2306,0.000836,0.001877
<built-in method builtins.sum> (~:0),11530,0.008586,0.033900
basename (<frozen posixpath>:140),4,0.000004,0.000007
splitext (<frozen posixpath>:117),4,0.000003,0.000007
normcase (<frozen posixpath>:52),12,0.000004,0.000004
_get_sep (<frozen posixpath>:41),4,0.000001,0.000002
_splitext (<frozen genericpath>:121),4,0.000003,0.000004
<method 'acquire' of '_thread.RLock' objects> (~:0),8,0.000002,0.000002
<method 'release' of '_thread.RLock' objects> (~:0),8,0.000001,0.000001
<built-in method _thread.get_ident> (~:0),8,0.000001,0.000001
<built-in method posix.getpid> (~:0),4,0.000001,0.000001
<built-in method posix.fspath> (~:0),20,0.000001,0.000001
<method 'write' of '_io.TextIOWrapper' objects> (~:0),4,0.000015,0.000015
<method 'flush' of '_io.TextIOWrapper' objects> (~:0),4,0.000001,0.000001
<built-in method time.time> (~:0),4,0.000001,0.000001
<built-in method _bisect.bisect_left> (~:0),1944,0.001526,0.002218
format (/usr/lib/python3.11/logging/__init__.py:674),4,0.000003,0.000014
findCaller (/usr/lib/python3.11/logging/__init__.py:1561),4,0.000006,0.000019
_log (/usr/lib/python3.11/logging/__init__.py:1610),4,0.000005,0.000134
callHandlers (/usr/lib/python3.11/logging/__init__.py:1690),4,0.000003,0.000056
__init__ (/usr/lib/python3.11/logging/__init__.py:292),4,0.000023,0.000047
push_event (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:107),2073,0.001787,0.004293
print_states_dur (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:98),1,0.000190,0.000254
proceed (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:170),2306,0.021112,0.242130
