id,energy_consumption,energy_effective,energy_waste
0,23248565.0,21079899.0,2168666.0
1,23322775.0,21203699.0,2119076.0
2,23398433.0,21235847.0,2162586.0
3,23270104.0,21091178.0,2178926.0
4,23220148.0,21048632.0,2171516.0
5,23255624.0,21083538.0,2172086.0
6,23531287.0,21322531.0,2208756.0
7,23385582.0,21310776.0,2074806.0
8,23279697.0,21214122.0,2065575.0
9,23304132.0,21180987.0,2123145.0
10,23384496.0,21326901.0,2057595.0
11,23431194.0,21361249.0,2069945.0
12,23249470.0,21147415.0,2102055.0
13,23343952.0,21219667.0,2124285.0
14,23277525.0,21138040.0,2139485.0
15,23453095.0,21317410.0,2135685.0
16,22842039.0,20764322.0,2077717.0
17,22826292.0,20750095.0,2076197.0
18,22851994.0,20740647.0,2111347.0
19,22810726.0,20696529.0,2114197.0
20,22799685.0,20629438.0,2170247.0
21,22921498.0,20764931.0,2156567.0
22,22995527.0,20848270.0,2147257.0
23,23084036.0,21015439.0,2068597.0
24,22579408.0,20460248.0,2119160.0
25,22494157.0,20407487.0,2086670.0
26,22579589.0,20463089.0,2116500.0
27,22459224.0,20393834.0,2065390.0
28,22485650.0,20341030.0,2144620.0
29,22751358.0,20664118.0,2087240.0
30,22473342.0,20398262.0,2075080.0
31,22514610.0,20365810.0,2148800.0
32,23415266.0,21431176.0,1984090.0
33,23388116.0,21384266.0,2003850.0
34,23301960.0,21304000.0,1997960.0
35,23522056.0,21479826.0,2042230.0
36,23332187.0,21314657.0,2017530.0
37,23311734.0,21289644.0,2022090.0
38,23433185.0,21440925.0,1992260.0
39,23366034.0,21367314.0,1998720.0
40,23323499.0,21247449.0,2076050.0
41,23604411.0,21560281.0,2044130.0
42,23597714.0,21496014.0,2101700.0
43,23590836.0,21555256.0,2035580.0
44,23582148.0,21515028.0,2067120.0
45,23463774.0,21385824.0,2077950.0
46,23341418.0,21219958.0,2121460.0
47,23304675.0,21263965.0,2040710.0
48,22895615.0,20800077.0,2095538.0
49,22992269.0,20834221.0,2158048.0
50,23159694.0,21041926.0,2117768.0
51,22994441.0,20895863.0,2098578.0
52,22960232.0,20866024.0,2094208.0
53,22893986.0,20765198.0,2128788.0
54,23055438.0,20912780.0,2142658.0
55,22984124.0,20772876.0,2211248.0
56,22899416.0,20748569.0,2150847.0
57,22976341.0,20823214.0,2153127.0
58,22966929.0,20859972.0,2106957.0
59,22900683.0,20768456.0,2132227.0
60,22981228.0,20849001.0,2132227.0
61,22896520.0,20702353.0,2194167.0
62,23112634.0,20842277.0,2270357.0
63,22929100.0,20728663.0,2200437.0
