dvfs_mode,state,submission_time,start_time,finish_time,nodes,job_id,terminated
base,active,,0.0,22.0,1,-1.0,
base,active,0.0,0.0,350.0,0,9261334.0,True
base,active,,0.0,512.0,2,-1.0,
base,active,,0.0,900.0,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63,-1.0,
base,active,22.0,22.0,372.0,1,9261335.0,True
base,active,,350.0,509.0,0,-1.0,
base,active,,372.0,421.0,1,-1.0,
base,active,421.0,421.0,422.0,1,9261353.0,False
base,active,,422.0,506.0,1,-1.0,
base,active,506.0,506.0,548.0,1,9261384.0,False
base,active,509.0,509.0,551.0,0,9261385.0,False
base,active,512.0,512.0,553.0,2,9261386.0,False
base,active,,548.0,650.0,1,-1.0,
base,active,,551.0,624.0,0,-1.0,
base,active,,553.0,597.0,2,-1.0,
base,active,597.0,597.0,947.0,2,9261387.0,True
base,active,624.0,624.0,974.0,0,9261388.0,True
base,active,650.0,650.0,1000.0,1,9261389.0,True
base,switching_off,,900.0,3600.0,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63,-2.0,
base,active,,947.0,1041.0,2,-1.0,
base,active,,974.0,1040.0,0,-1.0,
base,active,,1000.0,1038.0,1,-1.0,
base,active,1038.0,1038.0,2458.0,1,9261406.0,False
base,active,1040.0,1040.0,2648.0,0,9261407.0,False
base,active,1041.0,1041.0,2605.0,2,9261408.0,False
base,active,1043.0,2458.0,3922.0,1,9261409.0,False
base,active,1045.0,2605.0,3961.0,2,9261410.0,False
base,active,1046.0,2648.0,4551.0,0,9261411.0,False
base,switching_on,,3600.0,5400.0,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63,-3.0,
base,active,2966.0,3922.0,3943.0,1,9261470.0,False
base,active,2968.0,3943.0,3974.0,1,9261471.0,False
base,active,2969.0,3961.0,3989.0,2,9261472.0,False
base,active,2971.0,3974.0,3991.0,1,9261473.0,False
base,active,2972.0,3989.0,4018.0,2,9261474.0,False
base,active,2974.0,3991.0,4020.0,1,9261475.0,False
base,active,2976.0,4018.0,4042.0,2,9261476.0,False
base,active,2977.0,4020.0,4041.0,1,9261477.0,False
base,active,2991.0,4041.0,4062.0,1,9261486.0,False
base,active,2992.0,4042.0,4063.0,2,9261487.0,False
base,active,2994.0,4062.0,4086.0,1,9261488.0,False
base,active,2995.0,4063.0,4095.0,2,9261489.0,False
base,active,2997.0,4086.0,4115.0,1,9261490.0,False
base,active,2998.0,4095.0,4117.0,2,9261491.0,False
base,active,3000.0,4115.0,4138.0,1,9261492.0,False
base,active,3001.0,4117.0,4134.0,2,9261493.0,False
base,active,3049.0,4134.0,4177.0,2,9261494.0,False
base,active,3051.0,4138.0,4180.0,1,9261495.0,False
base,active,3054.0,4177.0,4218.0,2,9261496.0,False
base,active,3140.0,4180.0,4530.0,1,9261497.0,True
base,active,3167.0,4218.0,4568.0,2,9261498.0,True
base,active,3190.0,4530.0,4880.0,1,9261499.0,True
base,active,,4551.0,5400.0,0,-1.0,
base,active,,4568.0,5400.0,2,-1.0,
base,active,,4880.0,5400.0,1,-1.0,
base,active,913.0,5400.0,6307.0,0 1 2 59 60 61 62 63,9261397.0,False
base,active,911.0,5400.0,6308.0,27 28 29 30 31 32 33 34,9261393.0,False
base,active,909.0,5400.0,6309.0,3 4 5 6 7 8 9 10,9261390.0,False
base,active,911.0,5400.0,6309.0,35 36 37 38 39 40 41 42,9261394.0,False
base,active,912.0,5400.0,6311.0,51 52 53 54 55 56 57 58,9261396.0,False
base,active,911.0,5400.0,6312.0,19 20 21 22 23 24 25 26,9261392.0,False
base,active,912.0,5400.0,6312.0,43 44 45 46 47 48 49 50,9261395.0,False
base,active,910.0,5400.0,6313.0,11 12 13 14 15 16 17 18,9261391.0,False
base,active,913.0,6307.0,7219.0,0 1 2 59 60 61 62 63,9261398.0,False
base,active,913.0,6308.0,7216.0,27 28 29 30 31 32 33 34,9261399.0,False
