dvfs_mode,state,submission_time,start_time,finish_time,nodes,job_id,terminated
base,active,,0.0,22.0,1,-1.0,
base,active,0.0,0.0,350.0,0,9261334.0,True
base,active,,0.0,512.0,2,-1.0,
base,active,,0.0,900.0,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63,-1.0,
base,active,22.0,22.0,372.0,1,9261335.0,True
base,active,,350.0,421.0,0,-1.0,
base,active,,372.0,509.0,1,-1.0,
base,active,421.0,421.0,422.0,0,9261353.0,False
base,active,,422.0,506.0,0,-1.0,
base,active,506.0,506.0,548.0,0,9261384.0,False
base,active,509.0,509.0,551.0,1,9261385.0,False
base,active,512.0,512.0,553.0,2,9261386.0,False
base,active,,548.0,597.0,0,-1.0,
base,active,,551.0,624.0,1,-1.0,
base,active,,553.0,650.0,2,-1.0,
base,active,597.0,597.0,947.0,0,9261387.0,True
base,active,624.0,624.0,974.0,1,9261388.0,True
base,active,650.0,650.0,1000.0,2,9261389.0,True
base,switching_off,,900.0,3600.0,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63,-2.0,
base,active,,947.0,5400.0,0,-1.0,
base,active,,974.0,5400.0,1,-1.0,
base,active,,1000.0,5400.0,2,-1.0,
base,switching_on,,3600.0,5400.0,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63,-3.0,
base,active,913.0,5400.0,6307.0,0 1 2 59 60 61 62 63,9261397.0,False
base,active,911.0,5400.0,6308.0,27 28 29 30 31 32 33 34,9261393.0,False
base,active,909.0,5400.0,6309.0,3 4 5 6 7 8 9 10,9261390.0,False
base,active,911.0,5400.0,6309.0,35 36 37 38 39 40 41 42,9261394.0,False
base,active,912.0,5400.0,6311.0,51 52 53 54 55 56 57 58,9261396.0,False
base,active,911.0,5400.0,6312.0,19 20 21 22 23 24 25 26,9261392.0,False
base,active,912.0,5400.0,6312.0,43 44 45 46 47 48 49 50,9261395.0,False
base,active,910.0,5400.0,6313.0,11 12 13 14 15 16 17 18,9261391.0,False
base,active,913.0,6307.0,7219.0,0 1 2 59 60 61 62 63,9261398.0,False
base,active,913.0,6308.0,7216.0,27 28 29 30 31 32 33 34,9261399.0,False
base,active,914.0,6309.0,7220.0,35 36 37 38 39 40 41 42,9261401.0,False
base,active,914.0,6309.0,7221.0,3 4 5 6 7 8 9 10,9261400.0,False
base,active,914.0,6311.0,7223.0,51 52 53 54 55 56 57 58,9261402.0,False
base,active,914.0,6312.0,7220.0,43 44 45 46 47 48 49 50,9261404.0,False
base,active,914.0,6312.0,7223.0,19 20 21 22 23 24 25 26,9261403.0,False
base,active,914.0,6313.0,7222.0,11 12 13 14 15 16 17 18,9261405.0,False
base,active,1045.0,7216.0,8572.0,31,9261410.0,False
base,active,1048.0,7216.0,8635.0,33,9261412.0,False
base,active,1038.0,7216.0,8636.0,27,9261406.0,False
base,active,1043.0,7216.0,8680.0,30,9261409.0,False
base,active,1041.0,7216.0,8780.0,29,9261408.0,False
base,active,1040.0,7216.0,8824.0,28,9261407.0,False
base,active,1050.0,7216.0,8841.0,34,9261413.0,False
base,active,1046.0,7216.0,9119.0,32,9261411.0,False
base,active,1051.0,7219.0,7220.0,0,9261414.0,False
base,active,1062.0,7219.0,7220.0,1,9261421.0,False
base,active,1069.0,7219.0,8463.0,62,9261426.0,False
base,active,1063.0,7219.0,8581.0,2,9261422.0,False
base,active,1068.0,7219.0,8669.0,61,9261425.0,False
base,active,1065.0,7219.0,8807.0,59,9261423.0,False
base,active,1066.0,7219.0,8808.0,60,9261424.0,False
base,active,1071.0,7219.0,8808.0,63,9261427.0,False
base,active,1837.0,7220.0,8126.0,35 36 37 38 39 40 41 42,9261430.0,False
base,active,1838.0,7220.0,8129.0,43 44 45 46 47 48 49 50,9261431.0,False
base,active,1074.0,7220.0,8673.0,1,9261429.0,False
base,active,1073.0,7220.0,8810.0,0,9261428.0,False
base,active,1838.0,7221.0,8128.0,3 4 5 6 7 8 9 10,9261432.0,False
