id,energy_consumption,energy_effective,energy_waste
0,225835407.0,155964957.0,69870450.0
1,227550382.0,160255822.0,67294560.0
2,227884689.0,161148969.0,66735720.0
3,227825321.0,159630731.0,68194590.0
4,230721321.0,160370181.0,70351140.0
5,227111276.0,162641116.0,64470160.0
6,226784209.0,160946379.0,65837830.0
7,224323333.0,159136443.0,65186890.0
8,223343580.0,157145510.0,66198070.0
9,222644015.0,155970945.0,66673070.0
10,222626277.0,157917047.0,64709230.0
11,223691100.0,155643760.0,68047340.0
12,216753370.0,144064940.0,72688430.0
13,223311000.0,151179040.0,72131960.0
14,219665841.0,146571341.0,73094500.0
15,219560137.0,147253617.0,72306520.0
16,220245584.0,147853424.0,72392160.0
17,222718225.0,152547545.0,70170680.0
18,222718225.0,152718165.0,70000060.0
19,222714062.0,152055842.0,70658220.0
20,223855810.0,156060130.0,67795680.0
21,224748864.0,156196844.0,68552020.0
22,224859093.0,151682143.0,73176950.0
23,223178870.0,152102890.0,71075980.0
24,223832823.0,151901653.0,71931170.0
25,221126873.0,148861773.0,72265100.0
26,222872075.0,152573005.0,70299070.0
27,220942434.0,152171104.0,68771330.0
28,221525797.0,153602057.0,67923740.0
29,221661728.0,152775778.0,68885950.0
30,219992184.0,150885024.0,69107160.0
31,219523575.0,150965275.0,68558300.0
32,221718924.0,149818234.0,71900690.0
33,220678717.0,149748877.0,70929840.0
34,220073996.0,144508536.0,75565460.0
35,219572988.0,144065288.0,75507700.0
36,219291533.0,142984023.0,76307510.0
37,221140267.0,143449417.0,77690850.0
38,219518326.0,140934616.0,78583710.0
39,219018766.0,142576356.0,76442410.0
40,219208092.0,141493012.0,77715080.0
41,220795100.0,143914030.0,76881070.0
42,222463015.0,149643535.0,72819480.0
43,220493735.0,145098705.0,75395030.0
44,218906546.0,142816826.0,76089720.0
45,221352218.0,142150488.0,79201730.0
46,221711865.0,142176925.0,79534940.0
47,221702996.0,143689336.0,78013660.0
48,218046615.0,141619885.0,76426730.0
49,217818917.0,143079767.0,74739150.0
50,221045242.0,146770072.0,74275170.0
51,218237932.0,140901432.0,77336500.0
52,218626358.0,140125158.0,78501200.0
53,218788534.0,139596494.0,79192040.0
54,221744807.0,144869057.0,76875750.0
55,220639983.0,142186423.0,78453560.0
56,219839058.0,140524748.0,79314310.0
57,219590545.0,140248355.0,79342190.0
58,219996528.0,145186838.0,74809690.0
59,219225287.0,143025317.0,76199970.0
60,219136597.0,144752127.0,74384470.0
61,217537462.0,141629002.0,75908460.0
62,217919191.0,143788941.0,74130250.0
63,220374999.0,146037129.0,74337870.0
64,215089075.0,133072635.0,82016440.0
65,211482288.0,127661368.0,83820920.0
66,210042252.0,129234922.0,80807330.0
67,207469337.0,124404897.0,83064440.0
68,205421141.0,124134101.0,81287040.0
69,206932491.0,125597431.0,81335060.0
70,204491344.0,120306374.0,84184970.0
71,203169139.0,117415149.0,85753990.0
72,203593584.0,117821924.0,85771660.0
73,202143955.0,116624615.0,85519340.0
74,203845898.0,120275768.0,83570130.0
75,204515779.0,119929769.0,84586010.0
76,197235959.0,113027379.0,84208580.0
77,202299253.0,116624923.0,85674330.0
78,202237532.0,115337322.0,86900210.0
79,203374936.0,120116786.0,83258150.0
80,203953412.0,121197102.0,82756310.0
81,203309414.0,118594154.0,84715260.0
82,201981417.0,114563457.0,87417960.0
83,196931336.0,111111226.0,85820110.0
84,199492124.0,116395094.0,83097030.0
85,199061163.0,116987093.0,82074070.0
86,198124850.0,114886600.0,83238250.0
87,199001252.0,115914292.0,83086960.0
88,196666533.0,112583873.0,84082660.0
89,195479354.0,112621384.0,82857970.0
90,195642978.0,112372798.0,83270180.0
91,195739089.0,111116109.0,84622980.0
92,197272340.0,113175900.0,84096440.0
93,192282532.0,108218442.0,84064090.0
94,194247106.0,110920596.0,83326510.0
95,198617170.0,111875600.0,86741570.0
96,193601117.0,108290057.0,85311060.0
97,193597678.0,108029498.0,85568180.0
98,194095066.0,112893136.0,81201930.0
99,194956988.0,113046028.0,81910960.0
100,192658650.0,107573450.0,85085200.0
101,187885861.0,103540951.0,84344910.0
102,188662532.0,104625992.0,84036540.0
103,189636312.0,105632882.0,84003430.0
104,180052362.0,93119552.0,86932810.0
105,181596473.0,96336903.0,85259570.0
106,179765115.0,96305695.0,83459420.0
107,179695792.0,95870622.0,83825170.0
108,180857993.0,97498803.0,83359190.0
109,178969982.0,97463342.0,81506640.0
110,181172933.0,99007613.0,82165320.0
111,178967267.0,95598437.0,83368830.0
112,176919795.0,92644285.0,84275510.0
113,174954678.0,91389768.0,83564910.0
114,176259326.0,96127906.0,80131420.0
115,174657657.0,98143937.0,76513720.0
116,177887783.0,100530323.0,77357460.0
117,176786941.0,100391261.0,76395680.0
118,172765121.0,95564931.0,77200190.0
119,174020899.0,96168679.0,77852220.0
120,170559998.0,86264488.0,84295510.0
121,175597047.0,91117007.0,84480040.0
122,169568299.0,82268649.0,87299650.0
123,170924532.0,86437972.0,84486560.0
124,171440744.0,88603104.0,82837640.0
125,169787852.0,87967852.0,81820000.0
126,167724090.0,85763490.0,81960600.0
127,167777666.0,87370696.0,80406970.0
