id,energy_consumption,energy_effective,energy_waste
0,244516055.0,184470915.0,60045140.0
1,237048357.0,176863277.0,60185080.0
2,238078066.0,179121006.0,58957060.0
3,238038608.0,179054568.0,58984040.0
4,237062475.0,179039315.0,58023160.0
5,237062475.0,178852165.0,58210310.0
6,236215033.0,177477283.0,58737750.0
7,236215033.0,177166063.0,59048970.0
8,235819910.0,178707610.0,57112300.0
9,235819910.0,179638990.0,56180920.0
10,235587325.0,179691405.0,55895920.0
11,235587325.0,179411535.0,56175790.0
12,235078353.0,178265683.0,56812670.0
13,232092034.0,175359114.0,56732920.0
14,231950854.0,175331934.0,56618920.0
15,231315725.0,175299625.0,56016100.0
16,231298892.0,172928882.0,58370010.0
17,231294367.0,172622447.0,58671920.0
18,234106021.0,176097821.0,58008200.0
19,234104573.0,176182253.0,57922320.0
20,233906921.0,175683071.0,58223850.0
21,233895699.0,175904409.0,57991290.0
22,233890450.0,175787630.0,58102820.0
23,233890450.0,175765780.0,58124670.0
24,233361387.0,176719857.0,56641530.0
25,233360844.0,176721404.0,56639440.0
26,233354147.0,176332997.0,57021150.0
27,233354147.0,176256427.0,57097720.0
28,233354147.0,176270867.0,57083280.0
29,233353966.0,176270306.0,57083660.0
30,233271430.0,176028170.0,57243260.0
31,233271430.0,175980290.0,57291140.0
32,231036442.0,166901442.0,64135000.0
33,227353997.0,163252147.0,64101850.0
34,227060596.0,162814156.0,64246440.0
35,226553615.0,161293855.0,65259760.0
36,224530578.0,158513098.0,66017480.0
37,222338125.0,154529555.0,67808570.0
38,221306425.0,150827265.0,70479160.0
39,219982229.0,150413119.0,69569110.0
40,224319532.0,155721602.0,68597930.0
41,222056851.0,151492321.0,70564530.0
42,220214995.0,149599735.0,70615260.0
43,217778735.0,149395075.0,68383660.0
44,217778735.0,149468605.0,68310130.0
45,217760454.0,149451844.0,68308610.0
46,217760454.0,147574264.0,70186190.0
47,216996453.0,146423513.0,70572940.0
48,216979620.0,146622140.0,70357480.0
49,216880432.0,146402302.0,70478130.0
50,217129307.0,145675907.0,71453400.0
51,217129307.0,145916827.0,71212480.0
52,217129307.0,145804917.0,71324390.0
53,215476234.0,145786274.0,69689960.0
54,215975613.0,146053523.0,69922090.0
55,215479673.0,144433493.0,71046180.0
56,215397861.0,143350191.0,72047670.0
57,219104560.0,146815210.0,72289350.0
58,219277596.0,146837766.0,72439830.0
59,219277596.0,146804896.0,72472700.0
60,219277596.0,146813256.0,72464340.0
61,219274157.0,147196087.0,72078070.0
62,219453528.0,148328308.0,71125220.0
63,219141665.0,148496765.0,70644900.0
64,206616646.0,125723556.0,80893090.0
65,203929339.0,128253319.0,75676020.0
66,201973634.0,125697114.0,76276520.0
67,200928902.0,126263062.0,74665840.0
68,201055964.0,125248984.0,75806980.0
69,200542829.0,125212179.0,75330650.0
70,198319063.0,122687213.0,75631850.0
71,197843033.0,122501643.0,75341390.0
72,198243586.0,122284796.0,75958790.0
73,198205757.0,122973907.0,75231850.0
74,197665834.0,122552874.0,75112960.0
75,197233063.0,122616813.0,74616250.0
76,195977285.0,122137325.0,73839960.0
77,194568562.0,122054422.0,72514140.0
78,194816532.0,120454782.0,74361750.0
79,192964721.0,118939841.0,74024880.0
80,190489003.0,119336933.0,71152070.0
81,184204683.0,114642013.0,69562670.0
82,183937889.0,114112639.0,69825250.0
83,185843457.0,116085847.0,69757610.0
84,185822642.0,117489082.0,68333560.0
85,185991515.0,118162405.0,67829110.0
86,187599700.0,117596990.0,70002710.0
87,187599700.0,117758490.0,69841210.0
88,186380303.0,115535413.0,70844890.0
89,186475690.0,115412300.0,71063390.0
90,186292518.0,115432428.0,70860090.0
91,186292156.0,115299066.0,70993090.0
92,185946084.0,114909294.0,71036790.0
93,185946084.0,114889154.0,71056930.0
94,185941921.0,114861621.0,71080300.0
95,185824633.0,114222403.0,71602230.0
96,184413557.0,112811517.0,71602040.0
97,182502559.0,110763149.0,71739410.0
98,179984849.0,110038709.0,69946140.0
99,179863036.0,109796816.0,70066220.0
100,168598139.0,95255029.0,73343110.0
101,168542753.0,95182353.0,73360400.0
102,168349807.0,94681607.0,73668200.0
103,168182201.0,93810621.0,74371580.0
104,164743744.0,84917584.0,79826160.0
105,162696996.0,82849696.0,79847300.0
106,162348571.0,81917591.0,80430980.0
107,159677735.0,78852835.0,80824900.0
108,142727447.0,60512317.0,82215130.0
109,142415041.0,60403211.0,82011830.0
110,141357820.0,61462020.0,79895800.0
111,137908141.0,57833881.0,80074260.0
112,134347871.0,53598351.0,80749520.0
113,130074642.0,51874732.0,78199910.0
114,130147223.0,53274273.0,76872950.0
115,125492084.0,50296074.0,75196010.0
116,125792725.0,50545465.0,75247260.0
117,128141924.0,51804014.0,76337910.0
118,124627809.0,48808459.0,75819350.0
119,125757249.0,49750129.0,76007120.0
120,116573671.0,43647111.0,72926560.0
121,116463985.0,44846955.0,71617030.0
122,115135807.0,44261727.0,70874080.0
123,111676354.0,41903844.0,69772510.0
124,109811149.0,41565529.0,68245620.0
125,106815056.0,40823266.0,65991790.0
126,103388002.0,40547512.0,62840490.0
127,97636003.0,37800843.0,59835160.0
