id,energy_consumption,energy_effective,energy_waste
0,238099423.0,158829413.0,79270010.0
1,240530977.0,166073597.0,74457380.0
2,239154291.0,166962231.0,72192060.0
3,238723149.0,167401619.0,71321530.0
4,236494496.0,168887426.0,67607070.0
5,236785182.0,167258022.0,69527160.0
6,236586987.0,166011737.0,70575250.0
7,236280916.0,167492946.0,68787970.0
8,236150053.0,162207093.0,73942960.0
9,235551848.0,162968958.0,72582890.0
10,234890655.0,162875385.0,72015270.0
11,235211568.0,160729198.0,74482370.0
12,235832036.0,161716986.0,74115050.0
13,235891404.0,162465674.0,73425730.0
14,236022448.0,164661118.0,71361330.0
15,234806671.0,163947701.0,70858970.0
16,233342200.0,166751680.0,66590520.0
17,235635832.0,168478212.0,67157620.0
18,235635832.0,168459592.0,67176240.0
19,235614836.0,168403826.0,67211010.0
20,237176142.0,169248502.0,67927640.0
21,235292475.0,165945385.0,69347090.0
22,234445214.0,164607634.0,69837580.0
23,234119414.0,163605764.0,70513650.0
24,237395333.0,168062543.0,69332790.0
25,238046933.0,168351533.0,69695400.0
26,238040236.0,168361176.0,69679060.0
27,237720771.0,167389251.0,70331520.0
28,238372371.0,168514811.0,69857560.0
29,238372371.0,168511581.0,69860790.0
30,238806047.0,169796127.0,69009920.0
31,238806047.0,169707587.0,69098460.0
32,236022629.0,167482949.0,68539680.0
33,234702958.0,166455158.0,68247800.0
34,235579722.0,167852102.0,67727620.0
35,235579722.0,167897702.0,67682020.0
36,229866638.0,158548948.0,71317690.0
37,233284280.0,161369000.0,71915280.0
38,232958480.0,161000780.0,71957700.0
39,233284280.0,161097680.0,72186600.0
40,231602066.0,157483016.0,74119050.0
41,232784358.0,158899398.0,73884960.0
42,230097051.0,155791711.0,74305340.0
43,230097051.0,155850231.0,74246820.0
44,232514849.0,161014679.0,71500170.0
45,232059815.0,161201465.0,70858350.0
46,232059815.0,161172775.0,70887040.0
47,232385615.0,161294755.0,71090860.0
48,229741748.0,154065408.0,75676340.0
49,229770889.0,155445069.0,74325820.0
50,229922386.0,158689626.0,71232760.0
51,229873878.0,158717118.0,71156760.0
52,230029176.0,158604516.0,71424660.0
53,228934126.0,156847836.0,72086290.0
54,228512215.0,154646905.0,73865310.0
55,227678710.0,155399230.0,72279480.0
56,228194922.0,153321612.0,74873310.0
57,228342980.0,152089370.0,76253610.0
58,227231640.0,148588440.0,78643200.0
59,228209040.0,149673340.0,78535700.0
60,227131547.0,149490937.0,77640610.0
61,226805747.0,149309297.0,77496450.0
62,228087770.0,151232620.0,76855150.0
63,226224737.0,150003327.0,76221410.0
64,216915907.0,127702927.0,89212980.0
65,209168202.0,120200082.0,88968120.0
66,209950846.0,122074936.0,87875910.0
67,208015775.0,120673335.0,87342440.0
68,202980898.0,112271598.0,90709300.0
69,200063721.0,110144101.0,89919620.0
70,201173794.0,113026364.0,88147430.0
71,201200220.0,113779120.0,87421100.0
72,199947881.0,113003491.0,86944390.0
73,200989174.0,114266284.0,86722890.0
74,202888045.0,122762405.0,80125640.0
75,202984156.0,123394696.0,79589460.0
76,201873540.0,120509760.0,81363780.0
77,202208933.0,119471833.0,82737100.0
78,202476813.0,120195383.0,82281430.0
79,202475184.0,119901534.0,82573650.0
80,199663530.0,113513300.0,86150230.0
81,200169244.0,113922264.0,86246980.0
82,198230010.0,112229560.0,86000450.0
83,197013871.0,111710051.0,85303820.0
84,198076522.0,113531662.0,84544860.0
85,197418587.0,112804087.0,84614500.0
86,196802644.0,110743424.0,86059220.0
87,196453676.0,112352406.0,84101270.0
88,195244958.0,111906438.0,83338520.0
89,196595399.0,115225809.0,81369590.0
90,195419804.0,115737224.0,79682580.0
91,194370004.0,111165344.0,83204660.0
92,196368968.0,112334058.0,84034910.0
93,196310686.0,112529806.0,83780880.0
94,191757993.0,104646493.0,87111500.0
95,193542291.0,106228491.0,87313800.0
96,189458026.0,99806366.0,89651660.0
97,188829232.0,98732352.0,90096880.0
98,186614697.0,98971087.0,87643610.0
99,185765807.0,98436407.0,87329400.0
100,180083855.0,92084895.0,87998960.0
101,177552389.0,88502869.0,89049520.0
102,176764858.0,87476508.0,89288350.0
103,175627997.0,86914867.0,88713130.0
104,172962953.0,86278353.0,86684600.0
105,173860532.0,86232492.0,87628040.0
106,171230602.0,83694952.0,87535650.0
107,173370384.0,84755444.0,88614940.0
108,163358369.0,69368359.0,93990010.0
109,161353251.0,68821871.0,92531380.0
110,157829362.0,63920222.0,93909140.0
111,155874743.0,62917603.0,92957140.0
112,152978924.0,61581824.0,91397100.0
113,152803897.0,63168717.0,89635180.0
114,149312588.0,59484648.0,89827940.0
115,149583726.0,60408246.0,89175480.0
116,149154937.0,59083987.0,90070950.0
117,148725786.0,58916276.0,89809510.0
118,144993204.0,60402664.0,84590540.0
119,148903347.0,62599337.0,86304010.0
120,146503287.0,59150657.0,87352630.0
121,141100980.0,56682100.0,84418880.0
122,138592501.0,56401371.0,82191130.0
123,137393557.0,55997627.0,81395930.0
124,136114249.0,54742019.0,81372230.0
125,132527734.0,53902394.0,78625340.0
126,128274958.0,52510028.0,75764930.0
127,126850307.0,53053587.0,73796720.0
