id,energy_consumption,energy_effective,energy_waste
0,694258845.0,533223785.0,161035060.0
1,698998330.0,551529640.0,147468690.0
2,698897332.0,552052222.0,146845110.0
3,698393428.0,554780598.0,143612830.0
4,699029462.0,550545372.0,148484090.0
5,696511028.0,550913138.0,145597890.0
6,696010925.0,552169435.0,143841490.0
7,695829382.0,550187982.0,145641400.0
8,692555635.0,544802445.0,147753190.0
9,692217165.0,545545265.0,146671900.0
10,691401760.0,542519230.0,148882530.0
11,691465834.0,544081224.0,147384610.0
12,691846658.0,543353948.0,148492710.0
13,691125916.0,543623506.0,147502410.0
14,690622917.0,542813487.0,147809430.0
15,690087700.0,542497930.0,147589770.0
16,686260998.0,542930138.0,143330860.0
17,689054914.0,542557894.0,146497020.0
18,687560578.0,539232968.0,148327610.0
19,685842888.0,532620408.0,153222480.0
20,684860782.0,533659332.0,151201450.0
21,684860782.0,534471582.0,150389200.0
22,683481200.0,534484020.0,148997180.0
23,684552901.0,541200201.0,143352700.0
24,686161267.0,543056837.0,143104430.0
25,687101562.0,542011042.0,145090520.0
26,686224617.0,540713437.0,145511180.0
27,686223169.0,540559229.0,145663940.0
28,684926485.0,539459405.0,145467080.0
29,684427649.0,539851879.0,144575770.0
30,684673990.0,539740050.0,144933940.0
31,684007186.0,540941536.0,143065650.0
32,676375864.0,516750734.0,159625130.0
33,675521725.0,518315235.0,157206490.0
34,674527311.0,515908991.0,158618320.0
35,674527311.0,515251211.0,159276100.0
36,663622785.0,495215315.0,168407470.0
37,662045008.0,496595688.0,165449320.0
38,663082862.0,493690012.0,169392850.0
39,662178224.0,493166514.0,169011710.0
40,658585193.0,488535973.0,170049220.0
41,656342241.0,487604271.0,168737970.0
42,656425501.0,490625251.0,165800250.0
43,656529576.0,491771226.0,164758350.0
44,657003977.0,492924877.0,164079100.0
45,655189995.0,492828745.0,162361250.0
46,654701295.0,493013995.0,161687300.0
47,654119742.0,492658752.0,161460990.0
48,657095382.0,496161712.0,160933670.0
49,658606913.0,497533913.0,161073000.0
50,657904814.0,499335824.0,158568990.0
51,657869881.0,499830041.0,158039840.0
52,654474140.0,494624630.0,159849510.0
53,656007753.0,496233823.0,159773930.0
54,654635049.0,494309569.0,160325480.0
55,655984404.0,494785894.0,161198510.0
56,651926746.0,493417426.0,158509320.0
57,652415446.0,492817596.0,159597850.0
58,651366189.0,492612379.0,158753810.0
59,651366189.0,492211099.0,159155090.0
60,652471194.0,490665964.0,161805230.0
61,651982494.0,490040294.0,161942200.0
62,652123855.0,489648135.0,162475720.0
63,651195868.0,485510348.0,165685520.0
64,641237610.0,454184550.0,187053060.0
65,618857322.0,427880692.0,190976630.0
66,613186954.0,421146554.0,192040400.0
67,611864930.0,422555070.0,189309860.0
68,604342570.0,413719110.0,190623460.0
69,602495827.0,415598007.0,186897820.0
70,602773843.0,415070343.0,187703500.0
71,601474263.0,415354183.0,186120080.0
72,595878467.0,403358467.0,192520000.0
73,594315894.0,407809204.0,186506690.0
74,595880277.0,409532767.0,186347510.0
75,595078809.0,408241309.0,186837500.0
76,594323677.0,407482377.0,186841300.0
77,595198812.0,407856082.0,187342730.0
78,590824947.0,400532417.0,190292530.0
79,591600351.0,401829541.0,189770810.0
80,590028909.0,405162059.0,184866850.0
81,588556293.0,402174743.0,186381550.0
82,584849051.0,399818801.0,185030250.0
83,585080550.0,400243890.0,184836660.0
84,583214983.0,397170153.0,186044830.0
85,584028397.0,400386457.0,183641940.0
86,582466729.0,400230959.0,182235770.0
87,582209166.0,400070866.0,182138300.0
88,582012600.0,398394180.0,183618420.0
89,582471073.0,397176493.0,185294580.0
90,583147108.0,397063988.0,186083120.0
91,581987441.0,394124441.0,187863000.0
92,582103643.0,393651283.0,188452360.0
93,582459489.0,397427829.0,185031660.0
94,578391695.0,390246055.0,188145640.0
95,577421535.0,390676025.0,186745510.0
96,581649333.0,384242103.0,197407230.0
97,573365506.0,376604356.0,196761150.0
98,568917431.0,371841891.0,197075540.0
99,566068853.0,369456853.0,196612000.0
100,526718729.0,317648929.0,209069800.0
101,522755191.0,322709361.0,200045830.0
102,519222614.0,314806994.0,204415620.0
103,515172196.0,314376476.0,200795720.0
104,515289484.0,311856684.0,203432800.0
105,511259519.0,303374719.0,207884800.0
106,504566320.0,296114070.0,208452250.0
107,500718079.0,292111969.0,208606110.0
108,486792844.0,275978934.0,210813910.0
109,484981758.0,280434268.0,204547490.0
110,480953241.0,278785521.0,202167720.0
111,477321114.0,276069594.0,201251520.0
112,473579844.0,269457424.0,204122420.0
113,470595154.0,265034214.0,205560940.0
114,467673995.0,260454545.0,207219450.0
115,464308119.0,257696439.0,206611680.0
116,457291835.0,249872455.0,207419380.0
117,454017545.0,246697235.0,207320310.0
118,452927563.0,248359193.0,204568370.0
119,453811205.0,251684595.0,202126610.0
120,450629768.0,248862928.0,201766840.0
121,442502868.0,241056978.0,201445890.0
122,443587058.0,244317578.0,199269480.0
123,440483451.0,243510351.0,196973100.0
124,428636277.0,237804187.0,190832090.0
125,425284338.0,238091238.0,187193100.0
126,412838235.0,230422795.0,182415440.0
127,403873305.0,224794165.0,179079140.0
