function,ncalls,tottime_s,cumtime_s
<method 'add' of 'set' objects> (~:0),10839,0.002987,0.002987
<method 'get' of 'dict' objects> (~:0),118805623,14.689797,14.689797
<method 'setdefault' of 'dict' objects> (~:0),32888,0.007052,0.007052
<method 'items' of 'dict' objects> (~:0),303693,0.061084,0.061084
<method 'values' of 'dict' objects> (~:0),218134,0.056924,0.056924
<method 'append' of 'list' objects> (~:0),23980122,2.918521,2.918521
<method 'insert' of 'list' objects> (~:0),43041,0.057888,0.057888
<method 'extend' of 'list' objects> (~:0),40959,0.018440,0.018440
<method 'pop' of 'list' objects> (~:0),37437,0.072855,0.072855
<method 'sort' of 'list' objects> (~:0),15027,0.015249,0.015249
<method 'join' of 'str' objects> (~:0),41795,0.021799,0.021799
<method 'find' of 'str' objects> (~:0),4,0.000002,0.000002
<method 'rfind' of 'str' objects> (~:0),12,0.000003,0.000003
<built-in method sys._getframe> (~:0),4,0.000002,0.000002
<built-in method builtins.any> (~:0),946348,0.316176,0.468628
<built-in method builtins.getattr> (~:0),1,0.000000,0.000000
<built-in method builtins.hasattr> (~:0),16320355,1.516233,1.516233
<built-in method builtins.isinstance> (~:0),43372,0.023986,0.023986
<built-in method builtins.len> (~:0),3653309,0.373231,0.373231
<built-in method builtins.min> (~:0),808658,0.510427,1.119614
<built-in method builtins.next> (~:0),412369,0.122042,0.635036
<built-in method builtins.round> (~:0),43356,0.094359,0.094359
<built-in method builtins.sorted> (~:0),400571,1.159395,1.760569
<built-in method builtins.sum> (~:0),187185,0.557027,1.444241
<method '__exit__' of '_thread.RLock' objects> (~:0),8,0.000002,0.000002
<built-in method _thread.get_ident> (~:0),8,0.000002,0.000002
<built-in method posix.getpid> (~:0),4,0.000005,0.000005
<built-in method posix.fspath> (~:0),20,0.000002,0.000002
<method 'write' of '_io.TextIOWrapper' objects> (~:0),4,0.000099,0.000099
<method 'flush' of '_io.TextIOWrapper' objects> (~:0),4,0.000002,0.000002
<built-in method time.time_ns> (~:0),4,0.000002,0.000002
<method 'fullmatch' of 're.Pattern' objects> (~:0),49864311,13.760390,13.760390
<built-in method math.isinf> (~:0),28866402,2.133821,2.133821
<built-in method _bisect.bisect_left> (~:0),30950,0.131185,0.222683
format (/usr/lib/python3.13/logging/__init__.py:699),4,0.000005,0.000024
_log (/usr/lib/python3.13/logging/__init__.py:1641),4,0.000009,0.000353
findCaller (/usr/lib/python3.13/logging/__init__.py:1592),4,0.000015,0.000042
isEnabledFor (/usr/lib/python3.13/logging/__init__.py:1765),79492,0.023639,0.023639
__init__ (/usr/lib/python3.13/logging/__init__.py:298),4,0.000051,0.000105
