function,ncalls,tottime_s,cumtime_s
<method 'get' of 'dict' objects> (~:0),101727809,11.758593,11.758593
<method 'setdefault' of 'dict' objects> (~:0),29538,0.005774,0.005774
<method 'items' of 'dict' objects> (~:0),127783,0.027129,0.027129
<method 'values' of 'dict' objects> (~:0),40308,0.012136,0.012136
<method 'append' of 'list' objects> (~:0),12205265,1.572915,1.572915
<method 'insert' of 'list' objects> (~:0),126012,0.058520,0.058520
<method 'extend' of 'list' objects> (~:0),42286,0.014174,0.014174
<method 'pop' of 'list' objects> (~:0),40308,0.046853,0.046853
<method 'sort' of 'list' objects> (~:0),28938,0.144052,0.262199
<method 'join' of 'str' objects> (~:0),41569,0.019098,0.019098
<method 'find' of 'str' objects> (~:0),4,0.000002,0.000002
<method 'rfind' of 'str' objects> (~:0),12,0.000003,0.000003
<built-in method sys._getframe> (~:0),4,0.000003,0.000003
<built-in method builtins.any> (~:0),742919,0.228285,0.340210
<built-in method builtins.getattr> (~:0),1,0.000000,0.000000
<built-in method builtins.hasattr> (~:0),15478280,1.315637,1.315637
<built-in method builtins.isinstance> (~:0),43372,0.015677,0.015677
<built-in method builtins.len> (~:0),410830,0.056772,0.056772
<built-in method builtins.max> (~:0),247,0.000108,0.000108
<built-in method builtins.min> (~:0),1474606,0.209571,0.366339
<built-in method builtins.next> (~:0),318469,0.089519,0.552173
<built-in method builtins.round> (~:0),43356,0.060995,0.060995
<built-in method builtins.sorted> (~:0),68522,0.187923,0.303533
<built-in method builtins.sum> (~:0),223218,0.627392,1.625950
<method '__exit__' of '_thread.RLock' objects> (~:0),8,0.000002,0.000002
<built-in method _thread.get_ident> (~:0),8,0.000002,0.000002
<built-in method posix.getpid> (~:0),4,0.000007,0.000007
<built-in method posix.fspath> (~:0),20,0.000003,0.000003
<method 'write' of '_io.TextIOWrapper' objects> (~:0),4,0.000113,0.000113
<method 'flush' of '_io.TextIOWrapper' objects> (~:0),4,0.000002,0.000002
<built-in method time.time_ns> (~:0),4,0.000003,0.000003
<method 'fullmatch' of 're.Pattern' objects> (~:0),6562738,2.019317,2.019317
<built-in method math.isinf> (~:0),3192606,0.312496,0.312496
<built-in method _bisect.bisect_left> (~:0),72703,0.112182,0.188017
format (/usr/lib/python3.13/logging/__init__.py:699),4,0.000006,0.000030
_log (/usr/lib/python3.13/logging/__init__.py:1641),4,0.000013,0.000424
findCaller (/usr/lib/python3.13/logging/__init__.py:1592),4,0.000018,0.000051
isEnabledFor (/usr/lib/python3.13/logging/__init__.py:1765),82137,0.019566,0.019566
__init__ (/usr/lib/python3.13/logging/__init__.py:298),4,0.000067,0.000145
