function,ncalls,tottime_s,cumtime_s
<method 'add' of 'set' objects> (~:0),95265,0.012027,0.012027
<method 'get' of 'dict' objects> (~:0),48341998,4.871596,4.871596
<method 'setdefault' of 'dict' objects> (~:0),32058,0.006539,0.006539
<method 'items' of 'dict' objects> (~:0),43567,0.007687,0.007687
<method 'values' of 'dict' objects> (~:0),38577,0.009212,0.009212
<method 'append' of 'list' objects> (~:0),6847954,0.816815,0.816815
<method 'insert' of 'list' objects> (~:0),27736,0.035377,0.035377
<method 'extend' of 'list' objects> (~:0),165898,0.060884,0.078972
<method 'pop' of 'list' objects> (~:0),38577,0.031241,0.031241
<method 'sort' of 'list' objects> (~:0),14650,0.006944,0.006944
<method 'join' of 'str' objects> (~:0),40242,0.015012,0.015012
<method 'find' of 'str' objects> (~:0),4,0.000001,0.000001
<method 'rfind' of 'str' objects> (~:0),12,0.000003,0.000003
<built-in method sys._getframe> (~:0),4,0.000001,0.000001
<built-in method builtins.getattr> (~:0),29282,0.007040,0.007040
<built-in method builtins.hasattr> (~:0),8,0.000003,0.000003
<built-in method builtins.isinstance> (~:0),43372,0.011090,0.011090
<built-in method builtins.len> (~:0),325801,0.042775,0.042775
<built-in method builtins.max> (~:0),2740069,0.250844,0.250844
<built-in method builtins.min> (~:0),963663,0.145277,0.292088
<built-in method builtins.next> (~:0),48065,0.017299,0.524740
<built-in method builtins.round> (~:0),43356,0.025881,0.025881
<built-in method builtins.sorted> (~:0),48934,0.202722,0.330565
<built-in method builtins.sum> (~:0),192885,0.594913,1.484337
<method '__exit__' of '_thread.RLock' objects> (~:0),8,0.000002,0.000002
<built-in method _thread.get_ident> (~:0),8,0.000002,0.000002
<built-in method posix.getpid> (~:0),4,0.000005,0.000005
<built-in method posix.fspath> (~:0),20,0.000003,0.000003
<method 'write' of '_io.TextIOWrapper' objects> (~:0),4,0.000086,0.000086
<method 'flush' of '_io.TextIOWrapper' objects> (~:0),4,0.000002,0.000002
<built-in method time.time_ns> (~:0),4,0.000001,0.000001
<built-in method _bisect.bisect_left> (~:0),29397,0.086692,0.141640
format (/usr/lib/python3.13/logging/__init__.py:699),4,0.000005,0.000024
_log (/usr/lib/python3.13/logging/__init__.py:1641),4,0.000010,0.000340
findCaller (/usr/lib/python3.13/logging/__init__.py:1592),4,0.000013,0.000036
isEnabledFor (/usr/lib/python3.13/logging/__init__.py:1765),79079,0.016037,0.016037
__init__ (/usr/lib/python3.13/logging/__init__.py:298),4,0.000049,0.000097
callHandlers (/usr/lib/python3.13/logging/__init__.py:1721),4,0.000005,0.000181
proceed (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:173),38577,0.916731,12.763562
update_custom_resources_agenda_global (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:94),38577,3.057259,4.678480
events_builder (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:132),38577,0.489441,0.951483
prep_schedule (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:291),38577,1.625869,7.398849
allocate (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:45),10839,0.095830,0.275550
push_event (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:110),29403,0.048850,0.231387
advance (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:300),26537,0.182346,25.193576
update_energy (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:176),38577,2.073533,2.578728
remove_job_from_waiting_queue (/papers/SPARS-Pub/SPARS/Simulator/JobsManager.py:21),10839,0.017460,0.019068
backfill (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psus.py:16),38577,0.256237,0.577312
timeout_policy (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:216),38577,1.783075,2.637955
_update_node_state (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:64),64116,0.088094,0.088094
switch_on (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:160),1325,0.049382,0.371415
compute (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:45),10839,0.037626,0.352617
switch_off (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:121),1232,0.035796,0.357339
record (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:136),77154,0.098017,10.137451
update_node_state (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:227),38577,3.329583,6.363369
release (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:101),10839,0.007084,0.154380
add_job_to_scheduled_queue (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:36),10839,0.010692,0.015650
turn_on (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:113),1325,0.001529,0.043714
turn_off (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:117),1232,0.001444,0.041846
switch_on (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:86),1325,0.004282,0.035649
turn_off (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:102),1232,0.004243,0.038454
log_trace (/papers/SPARS-Pub/SPARS/Logger.py:43),79075,0.059597,0.104879
FCFSPSUS (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psus.py:14),38577,0.035702,0.265391
add_job_to_waiting_queue (/papers/SPARS-Pub/SPARS/Simulator/JobsManager.py:18),10839,0.004017,0.005614
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:202),40242,0.033759,0.040272
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:56),178048,0.018088,0.018088
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:200),16007,0.002572,0.002572
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:61),178048,0.126442,0.126442
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:263),341041,0.123875,0.123875
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:264),311279,0.113941,0.113941
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:266),383527,0.116908,0.116908
_agenda_by_id (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:33),60255,0.250381,0.250381
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:268),1483457,0.236418,0.236418
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:270),2611437,0.298281,0.298281
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:132),16029,0.143318,0.254378
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:171),16029,0.141142,0.250491
turn_on (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:91),1325,0.004238,0.040214
switch_off (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:95),1232,0.004472,0.040623
schedule (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psus.py:5),38577,0.180519,12.011508
log_info (/papers/SPARS-Pub/SPARS/Logger.py:47),4,0.000005,0.000365
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:64),178048,0.020369,0.020369
_trace (/papers/SPARS-Pub/SPARS/Logger.py:10),79075,0.029246,0.045282
schedule (/papers/SPARS-Pub/SPARS/Simulator/Scheduler.py:34),38577,0.026752,12.043246
