function,ncalls,tottime_s,cumtime_s
<method 'add' of 'set' objects> (~:0),40862344,5.564574,5.564574
<method 'get' of 'dict' objects> (~:0),192426896,24.008027,24.008027
<method 'setdefault' of 'dict' objects> (~:0),43042,0.009833,0.009833
<method 'items' of 'dict' objects> (~:0),1768831,0.299130,0.299130
<method 'values' of 'dict' objects> (~:0),410547,0.107606,0.107606
<method 'append' of 'list' objects> (~:0),56045577,6.492114,6.492114
<method 'insert' of 'list' objects> (~:0),4246538,0.616902,0.616902
<method 'extend' of 'list' objects> (~:0),42175,0.020940,0.020940
<method 'pop' of 'list' objects> (~:0),40659,0.089847,0.089847
<method 'sort' of 'list' objects> (~:0),20713499,10.984797,17.830337
<method 'join' of 'str' objects> (~:0),45045,0.025040,0.025040
<method 'find' of 'str' objects> (~:0),4,0.000002,0.000002
<method 'rfind' of 'str' objects> (~:0),12,0.000013,0.000013
<built-in method sys._getframe> (~:0),4,0.000002,0.000002
<built-in method builtins.any> (~:0),1571341,0.525254,0.777770
<built-in method builtins.getattr> (~:0),1,0.000000,0.000000
<built-in method builtins.hasattr> (~:0),18109119,1.800923,1.800923
<built-in method builtins.isinstance> (~:0),43372,0.028031,0.028031
<built-in method builtins.len> (~:0),26196228,2.190612,2.190612
<built-in method builtins.max> (~:0),25078654,2.564695,2.564695
<built-in method builtins.min> (~:0),1227996,2.750176,5.776102
<built-in method builtins.next> (~:0),629785,0.190168,0.850179
<built-in method builtins.round> (~:0),43356,0.108911,0.108911
<built-in method builtins.sorted> (~:0),941612,2.926579,4.562170
<built-in method builtins.sum> (~:0),203295,0.621160,1.595134
<method '__exit__' of '_thread.RLock' objects> (~:0),8,0.000002,0.000002
<built-in method _thread.get_ident> (~:0),8,0.000002,0.000002
<built-in method posix.getpid> (~:0),4,0.000005,0.000005
<built-in method posix.fspath> (~:0),20,0.000003,0.000003
<method 'write' of '_io.TextIOWrapper' objects> (~:0),4,0.000144,0.000144
<method 'flush' of '_io.TextIOWrapper' objects> (~:0),4,0.000002,0.000002
<built-in method time.time_ns> (~:0),4,0.000002,0.000002
<method 'fullmatch' of 're.Pattern' objects> (~:0),141878076,38.728435,38.728435
<built-in method math.isinf> (~:0),104554384,8.293630,8.293630
<built-in method _bisect.bisect_left> (~:0),34203,0.155260,0.261722
format (/usr/lib/python3.13/logging/__init__.py:699),4,0.000005,0.000027
_log (/usr/lib/python3.13/logging/__init__.py:1641),4,0.000011,0.000493
findCaller (/usr/lib/python3.13/logging/__init__.py:1592),4,0.000025,0.000087
isEnabledFor (/usr/lib/python3.13/logging/__init__.py:1765),85964,0.026708,0.026708
__init__ (/usr/lib/python3.13/logging/__init__.py:298),4,0.000061,0.000144
callHandlers (/usr/lib/python3.13/logging/__init__.py:1721),4,0.000007,0.000231
_future_fcfs_seed_head (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:147),32423,3.322098,82.430688
build_callbacks (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:297),40659,7.179602,12.077483
_rebuild_timeout_list (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:398),81318,2.477740,4.017473
proceed (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:173),40659,1.468668,16.639151
push_event (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:110),34207,0.081079,0.422263
advance (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:300),29214,0.456835,529.057683
update_energy (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:176),40659,2.828833,3.514179
remove_job_from_waiting_queue (/papers/SPARS-Pub/SPARS/Simulator/JobsManager.py:21),10839,0.028632,0.030439
_ensure_transition_index (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:138),18109111,3.494896,5.296009
_current_fcfs_commit (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psas.py:49),40659,0.141259,1.701413
_future_fcfs_plan (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psas.py:81),32423,3.808544,100.703108
_emit_wake_triggers_from_plan (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psas.py:133),32423,0.372556,0.732700
_mark_timed_out_nodes (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:373),40659,0.454213,2.659742
_rebuild_next_releases_global (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:206),40659,17.180267,46.044692
allocate (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:318),10839,0.229651,0.576674
timeout_policy (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:424),40659,0.801453,3.272118
_select_nodes_energy_aware (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psas.py:182),369888,128.875580,169.837923
_update_node_state (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:64),86084,0.100293,0.100293
schedule (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:23),40659,2.196871,511.329570
_current_easy_commit (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:91),32423,0.246859,1.375053
switch_on (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:160),1118,0.069390,0.452574
_build_partitions (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:484),40659,2.181354,3.797786
_future_easy_backfill_from_fcfs (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:192),32423,3.995401,252.187444
compute (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:45),10839,0.057292,0.411271
switch_off (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:121),1619,0.049651,0.431576
_append_compute_fixed (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:230),189966,3.372092,10.566341
_future_select_nodes_energy_aware_gap (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:324),158351,120.758009,234.209381
record (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:136),81318,0.151495,12.871452
update_node_state (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:227),40659,3.782259,7.076408
release (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:101),10839,0.011668,0.185619
_wake_lead_time (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:172),1217006,0.612292,3.818778
turn_on (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:113),1118,0.002020,0.048670
turn_off (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:117),1619,0.002501,0.055795
switch_on (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:86),1118,0.005898,0.044755
turn_off (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:102),1619,0.006597,0.049314
log_trace (/papers/SPARS-Pub/SPARS/Logger.py:43),85960,0.144244,0.232613
_append_planned_compute (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:158),189966,2.222304,3.823563
_append_planned_compute (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psas.py:93),194234,2.298076,3.967546
_window_feasible (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:244),134160,2.106945,3.126389
add_job_to_waiting_queue (/papers/SPARS-Pub/SPARS/Simulator/JobsManager.py:18),10839,0.006696,0.008771
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:202),45045,0.085443,0.096932
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psas.py:94),4411092,0.683723,0.683723
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:137),79914,0.013291,0.013291
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:86),20631,0.004104,0.004104
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:271),566112,0.073374,0.073374
_filter_out (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:335),43356,0.041946,0.041946
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:344),178048,0.030148,0.030148
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:159),4385162,0.661499,0.661499
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:231),4385162,0.609327,0.609327
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:246),3729571,0.558249,0.558249
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:435),2690122,0.329796,0.329796
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:61),178048,0.131271,0.131271
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:263),1109518,0.191377,0.191377
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:264),470068,0.133785,0.133785
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:266),606771,0.139980,0.139980
_transition_time (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:166),18109111,11.686016,22.763380
prep_schedule (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:505),40659,0.146690,54.652692
set_time (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:93),40659,0.016619,0.016619
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:320),189966,0.032307,0.032307
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:352),40851505,5.741329,5.741329
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:467),6125512,0.670993,0.670993
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:485),4633395,0.400910,0.400910
_releases_by_id (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:97),677495,3.050381,3.050381
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:268),551276,0.189204,0.189204
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:270),2670014,0.319628,0.319628
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:132),21521,0.165029,0.293056
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:171),21521,0.163594,0.289477
turn_on (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:91),1118,0.005485,0.043585
switch_off (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:95),1619,0.006546,0.053175
log_info (/papers/SPARS-Pub/SPARS/Logger.py:47),4,0.000006,0.000511
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psas.py:278),12224115,1.208863,1.208863
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:264),566112,0.070999,0.070999
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:274),1132224,0.126767,0.126767
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:283),429409,0.052736,0.052736
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psas.py:135),9708,0.002015,0.002015
