id,energy_consumption,energy_effective,energy_waste
0,637309515.0,538815875.0,98493640.0
1,634048076.0,540652016.0,93396060.0
2,631025376.0,535876516.0,95148860.0
3,627604657.0,531109897.0,96494760.0
4,621811209.0,523717569.0,98093640.0
5,627348361.0,533905951.0,93442410.0
6,626893327.0,533376017.0,93517310.0
7,626353766.0,533114866.0,93238900.0
8,625487862.0,532797662.0,92690200.0
9,621505862.0,528816322.0,92689540.0
10,622356200.0,529123870.0,93232330.0
11,622581364.0,530991204.0,91590160.0
12,621978634.0,527739704.0,94238930.0
13,617995548.0,524666698.0,93328850.0
14,619796498.0,525338458.0,94458040.0
15,614132827.0,519139237.0,94993590.0
16,613767026.0,517437416.0,96329610.0
17,613640145.0,520523445.0,93116700.0
18,616366910.0,524307920.0,92058990.0
19,619664730.0,526810630.0,92854100.0
20,614511660.0,519158480.0,95353180.0
21,615317291.0,521493611.0,93823680.0
22,618817288.0,526356798.0,92460490.0
23,616370168.0,523637048.0,92733120.0
24,621353822.0,528640272.0,92713550.0
25,623554782.0,532018602.0,91536180.0
26,621486495.0,529918775.0,91567720.0
27,618519724.0,528709694.0,89810030.0
28,622118909.0,533149509.0,88969400.0
29,618421260.0,527012190.0,91409070.0
30,621460974.0,529469324.0,91991650.0
31,622010490.0,528643870.0,93366620.0
32,606683229.0,513122659.0,93560570.0
33,610152999.0,519803139.0,90349860.0
34,608647622.0,520875892.0,87771730.0
35,608468794.0,519281034.0,89187760.0
36,586790786.0,491058416.0,95732370.0
37,589751403.0,495142863.0,94608540.0
38,586709879.0,490969209.0,95740670.0
39,585578267.0,493095467.0,92482800.0
40,587516596.0,495043106.0,92473490.0
41,581034262.0,488540232.0,92494030.0
42,589071748.0,495909638.0,93162110.0
43,588258696.0,494353786.0,93904910.0
44,589380534.0,497892644.0,91487890.0
45,585161424.0,492000454.0,93160970.0
46,586029138.0,494559488.0,91469650.0
47,583369886.0,491159616.0,92210270.0
48,576336045.0,485144705.0,91191340.0
49,583878858.0,489280348.0,94598510.0
50,576753612.0,481361782.0,95391830.0
51,576406997.0,480520407.0,95886590.0
52,579851608.0,486752938.0,93098670.0
53,576404825.0,480952745.0,95452080.0
54,581073720.0,486322660.0,94751060.0
55,574065400.0,478055710.0,96009690.0
56,583695324.0,490638394.0,93056930.0
57,578807600.0,483515040.0,95292560.0
58,576431613.0,480497693.0,95933920.0
59,574906326.0,482050286.0,92856040.0
60,573370179.0,479662789.0,93707390.0
61,566382855.0,470942005.0,95440850.0
62,564862636.0,471886826.0,92975810.0
63,565224636.0,473966156.0,91258480.0
64,536418486.0,431277286.0,105141200.0
65,543282549.0,441878159.0,101404390.0
66,535238366.0,431682346.0,103556020.0
67,537888025.0,436485705.0,101402320.0
68,512446846.0,409915016.0,102531830.0
69,514223723.0,411820923.0,102402800.0
70,513164330.0,408678010.0,104486320.0
71,510582365.0,406734745.0,103847620.0
72,500581753.0,394254303.0,106327450.0
73,515377236.0,413105176.0,102272060.0
74,514064262.0,413513472.0,100550790.0
75,514075846.0,414051206.0,100024640.0
76,516919537.0,415779307.0,101140230.0
77,519791826.0,420999136.0,98792690.0
78,522071340.0,419488440.0,102582900.0
79,518645010.0,415372110.0,103272900.0
80,518503106.0,413677486.0,104825620.0
81,511945838.0,409268908.0,102676930.0
82,508594804.0,405490014.0,103104790.0
83,516198252.0,413142972.0,103055280.0
84,510920835.0,406472815.0,104448020.0
85,504276325.0,400311475.0,103964850.0
86,502358449.0,400197919.0,102160530.0
87,495506332.0,394394392.0,101111940.0
88,505412824.0,404497004.0,100915820.0
89,501231181.0,400347471.0,100883710.0
90,500234052.0,400945252.0,99288800.0
91,494534000.0,393429850.0,101104150.0
92,480626141.0,379295061.0,101331080.0
93,483489380.0,382231940.0,101257440.0
94,491607411.0,394402191.0,97205220.0
95,483633275.0,385704425.0,97928850.0
96,488542176.0,389787696.0,98754480.0
97,483572459.0,386972919.0,96599540.0
98,477555114.0,383621234.0,93933880.0
99,465120957.0,368255627.0,96865330.0
100,430075013.0,330182343.0,99892670.0
101,432706934.0,332243424.0,100463510.0
102,430890961.0,330104601.0,100786360.0
103,422856914.0,323575334.0,99281580.0
104,417068534.0,321812824.0,95255710.0
105,420510792.0,324013112.0,96497680.0
106,406557864.0,310075004.0,96482860.0
107,408747421.0,312959941.0,95787480.0
108,416686624.0,321224304.0,95462320.0
109,412827704.0,318850214.0,93977490.0
110,407317521.0,313988581.0,93328940.0
111,421546474.0,329918354.0,91628120.0
112,396934094.0,307365074.0,89569020.0
113,392243298.0,302937338.0,89305960.0
114,385021217.0,294038167.0,90983050.0
115,390908966.0,299726416.0,91182550.0
116,397726874.0,310393964.0,87332910.0
117,398358564.0,314722304.0,83636260.0
118,384187712.0,302811122.0,81376590.0
119,380048966.0,296385046.0,83663920.0
120,378736535.0,294588925.0,84147610.0
121,379545424.0,294332734.0,85212690.0
122,381920144.0,298386974.0,83533170.0
123,372580906.0,288964556.0,83616350.0
124,361283248.0,277820078.0,83463170.0
125,360315622.0,276114092.0,84201530.0
126,356668653.0,272294433.0,84374220.0
127,337228167.0,258786617.0,78441550.0
