function,ncalls,tottime_s,cumtime_s
<method 'get' of 'dict' objects> (~:0),98196996,11.215837,11.215837
<method 'setdefault' of 'dict' objects> (~:0),24658,0.004693,0.004693
<method 'items' of 'dict' objects> (~:0),120714,0.024754,0.024754
<method 'values' of 'dict' objects> (~:0),38943,0.010915,0.010915
<method 'append' of 'list' objects> (~:0),11757672,1.510128,1.510128
<method 'insert' of 'list' objects> (~:0),40436,0.044503,0.044503
<method 'extend' of 'list' objects> (~:0),41777,0.013537,0.013537
<method 'pop' of 'list' objects> (~:0),38943,0.045104,0.045104
<method 'sort' of 'list' objects> (~:0),27081,0.147596,0.264927
<method 'join' of 'str' objects> (~:0),40689,0.018652,0.018652
<method 'find' of 'str' objects> (~:0),4,0.000001,0.000001
<method 'rfind' of 'str' objects> (~:0),12,0.000003,0.000003
<built-in method sys._getframe> (~:0),4,0.000002,0.000002
<built-in method builtins.any> (~:0),502758,0.154639,0.228955
<built-in method builtins.getattr> (~:0),1,0.000000,0.000000
<built-in method builtins.hasattr> (~:0),14954120,1.302862,1.302862
<built-in method builtins.isinstance> (~:0),43372,0.014278,0.014278
<built-in method builtins.len> (~:0),213931,0.036112,0.036112
<built-in method builtins.min> (~:0),1619757,0.221372,0.377177
<built-in method builtins.next> (~:0),229981,0.065350,0.445040
<built-in method builtins.round> (~:0),43356,0.058968,0.058968
<built-in method builtins.sorted> (~:0),60621,0.084820,0.153175
<built-in method builtins.sum> (~:0),216393,0.595116,1.546420
<method '__exit__' of '_thread.RLock' objects> (~:0),8,0.000002,0.000002
<built-in method _thread.get_ident> (~:0),8,0.000002,0.000002
<built-in method posix.getpid> (~:0),4,0.000005,0.000005
<built-in method posix.fspath> (~:0),20,0.000003,0.000003
<method 'write' of '_io.TextIOWrapper' objects> (~:0),4,0.000154,0.000154
<method 'flush' of '_io.TextIOWrapper' objects> (~:0),4,0.000002,0.000002
<built-in method time.time_ns> (~:0),4,0.000002,0.000002
<method 'fullmatch' of 're.Pattern' objects> (~:0),6119092,1.897668,1.897668
<built-in method math.isinf> (~:0),2971342,0.287173,0.287173
<built-in method _bisect.bisect_left> (~:0),29849,0.101271,0.174883
format (/usr/lib/python3.13/logging/__init__.py:699),4,0.000005,0.000026
_log (/usr/lib/python3.13/logging/__init__.py:1641),4,0.000011,0.000407
findCaller (/usr/lib/python3.13/logging/__init__.py:1592),4,0.000015,0.000042
isEnabledFor (/usr/lib/python3.13/logging/__init__.py:1765),79892,0.018443,0.018443
__init__ (/usr/lib/python3.13/logging/__init__.py:298),4,0.000053,0.000108
callHandlers (/usr/lib/python3.13/logging/__init__.py:1721),4,0.000006,0.000229
events_builder (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:305),38943,0.473424,0.645460
allocate (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:355),10839,0.179330,0.468146
_ensure_transition_index (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:133),14954112,2.638244,3.941338
_rebuild_timeout_list (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:402),77886,3.561444,5.347749
_rebuild_next_releases_global (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:193),38943,12.283163,35.025281
proceed (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:173),38943,1.110053,13.495678
_build_partitions (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:482),38943,2.228933,3.847426
push_event (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:110),29851,0.054599,0.277549
advance (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:300),28131,0.253189,64.171690
update_energy (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:176),38943,2.308547,2.837111
timeout_policy (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:438),38943,1.518575,5.054264
_select_nodes_energy_aware (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_auto_switch_on.py:65),10839,0.626588,1.966832
remove_job_from_waiting_queue (/papers/SPARS-Pub/SPARS/Simulator/JobsManager.py:21),10839,0.021720,0.023521
FCFSAuto (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_auto_switch_on.py:28),38943,0.096750,2.538102
_update_node_state (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:64),49316,0.071880,0.071880
switch_on (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:160),477,0.036617,0.264076
compute (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:45),10839,0.045955,0.373301
switch_off (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:121),894,0.027532,0.259128
record (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:136),77886,0.113119,10.785617
update_node_state (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:227),38943,3.461890,6.527429
release (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:101),10839,0.009329,0.163656
add_job_to_scheduled_queue (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:123),10839,0.013059,0.021009
turn_on (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:113),477,0.000709,0.029487
turn_off (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:117),894,0.001121,0.033789
switch_on (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:86),477,0.002946,0.026667
turn_off (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:102),894,0.003386,0.031048
log_trace (/papers/SPARS-Pub/SPARS/Logger.py:43),79888,0.079687,0.132158
add_job_to_waiting_queue (/papers/SPARS-Pub/SPARS/Simulator/JobsManager.py:18),10839,0.005156,0.007031
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:202),40689,0.044338,0.051950
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:69),17641,0.003300,0.003300
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:271),187682,0.021761,0.021761
_filter_out (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:366),43356,0.036453,0.036453
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:380),178048,0.026710,0.026710
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:61),178048,0.129095,0.129095
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:263),301950,0.121622,0.121622
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:264),166337,0.104845,0.104845
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:266),226625,0.107429,0.107429
_transition_time (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:160),14954112,8.795927,16.794829
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_auto_switch_on.py:110),599370,0.117331,0.117331
set_time (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:76),38943,0.013415,0.013415
_releases_by_id (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:80),49782,0.240756,0.240756
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:268),1880618,0.277630,0.277630
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:270),2603889,0.309686,0.309686
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:132),12329,0.101283,0.179925
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:171),12329,0.098763,0.174704
turn_on (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:91),477,0.002843,0.027802
switch_off (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:95),894,0.003548,0.032095
_recalculate_release_at (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:93),4984704,1.358965,1.646137
log_info (/papers/SPARS-Pub/SPARS/Logger.py:47),4,0.000005,0.000424
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_auto_switch_on.py:114),178048,0.015972,0.015972
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_auto_switch_on.py:119),178048,0.014121,0.014121
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_auto_switch_on.py:121),178048,0.016405,0.016405
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:262),187682,0.021642,0.021642
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:274),375364,0.038567,0.038567
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:287),127394,0.014107,0.014107
_trace (/papers/SPARS-Pub/SPARS/Logger.py:10),79888,0.034029,0.052471
schedule (/papers/SPARS-Pub/SPARS/Simulator/Scheduler.py:34),38943,0.033787,50.145149
_append_phase_abs (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:108),442545,0.221167,0.275965
print_states_dur (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:98),1,0.000895,0.001163
prep_schedule (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:514),38943,0.116657,41.695836
_get_nodes_by_ids (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:138),24420,0.274081,0.279820
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:130),367812,0.073613,0.073613
start_simulator (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:160),1,0.000000,0.000000
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:343),20946,0.004210,0.004210
release (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:127),10839,0.030447,0.154327
schedule (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_auto_switch_on.py:19),38943,0.164285,50.097947
push_event (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:67),17641,0.038254,0.063393
