id,energy_consumption,energy_effective,energy_waste
0,707057350.0,506031010.0,201026340.0
1,713675977.0,512629147.0,201046830.0
2,714293187.0,516329617.0,197963570.0
3,715232758.0,519099248.0,196133510.0
4,711617102.0,518029382.0,193587720.0
5,708367790.0,511090310.0,197277480.0
6,711498909.0,511659809.0,199839100.0
7,711538729.0,510285269.0,201253460.0
8,714936280.0,512728580.0,202207700.0
9,710324581.0,509445381.0,200879200.0
10,712022542.0,511202812.0,200819730.0
11,708997851.0,508413191.0,200584660.0
12,707136266.0,505262326.0,201873940.0
13,708377745.0,504199255.0,204178490.0
14,708255389.0,501770679.0,206484710.0
15,706935175.0,499787595.0,207147580.0
16,707079794.0,497365844.0,209713950.0
17,704734034.0,494984634.0,209749400.0
18,704580184.0,492881024.0,211699160.0
19,703103405.0,491948425.0,211154980.0
20,703726950.0,494433970.0,209292980.0
21,703721701.0,496266571.0,207455130.0
22,702013061.0,495833041.0,206180020.0
23,696751391.0,487494761.0,209256630.0
24,701447798.0,494507568.0,206940230.0
25,698759043.0,492409163.0,206349880.0
26,697997938.0,493150368.0,204847570.0
27,697046783.0,489218703.0,207828080.0
28,702881680.0,500416840.0,202464840.0
29,701341551.0,497686741.0,203654810.0
30,699793639.0,496879469.0,202914170.0
31,697525709.0,493799939.0,203725770.0
32,694130149.0,492152399.0,201977750.0
33,692297162.0,491249212.0,201047950.0
34,690886448.0,488225608.0,202660840.0
35,690537842.0,487908542.0,202629300.0
36,682863261.0,466466131.0,216397130.0
37,680027172.0,463368092.0,216659080.0
38,681060320.0,461395590.0,219664730.0
39,679667525.0,463258445.0,216409080.0
40,674650205.0,462505335.0,212144870.0
41,676784738.0,461828038.0,214956700.0
42,675880462.0,457992292.0,217888170.0
43,678987870.0,460173960.0,218813910.0
44,683029962.0,462996022.0,220033940.0
45,682829233.0,462849463.0,219979770.0
46,680807644.0,458612494.0,222195150.0
47,684474342.0,467632442.0,216841900.0
48,685551111.0,467854321.0,217696790.0
49,685355631.0,468831881.0,216523750.0
50,683874508.0,467941678.0,215932830.0
51,689227221.0,475415721.0,213811500.0
52,684137501.0,463651781.0,220485720.0
53,682901814.0,464351264.0,218550550.0
54,686708244.0,469754224.0,216954020.0
55,686838926.0,465808836.0,221030090.0
56,683427619.0,464406609.0,219021010.0
57,680147899.0,463738019.0,216409880.0
58,678167035.0,460031995.0,218135040.0
59,686500637.0,477865497.0,208635140.0
60,683035935.0,468186865.0,214849070.0
61,680348809.0,464532639.0,215816170.0
62,678426770.0,455669770.0,222757000.0
63,677835262.0,454529942.0,223305320.0
64,680436594.0,451128094.0,229308500.0
65,671759816.0,436816486.0,234943330.0
66,664461353.0,437108143.0,227353210.0
67,664582080.0,433504300.0,231077780.0
68,660250569.0,430438249.0,229812320.0
69,665129786.0,435419286.0,229710500.0
70,662339490.0,430834290.0,231505200.0
71,662606646.0,432201506.0,230405140.0
72,658373237.0,418731287.0,239641950.0
73,659486749.0,421743999.0,237742750.0
74,657864627.0,420754427.0,237110200.0
75,656144403.0,420236373.0,235908030.0
76,645580881.0,407896941.0,237683940.0
77,648394707.0,413466867.0,234927840.0
78,649597271.0,413629181.0,235968090.0
79,646192842.0,413992052.0,232200790.0
80,643025342.0,408971942.0,234053400.0
81,644318044.0,414665324.0,229652720.0
82,644253789.0,415277639.0,228976150.0
83,639274479.0,397078169.0,242196310.0
84,641490824.0,409132124.0,232358700.0
85,642111292.0,401913992.0,240197300.0
86,640609173.0,403757223.0,236851950.0
87,642052467.0,406764577.0,235287890.0
88,642344782.0,404137162.0,238207620.0
89,639437741.0,400304081.0,239133660.0
90,637484389.0,403383429.0,234100960.0
91,629029698.0,394317188.0,234712510.0
92,626018763.0,391882903.0,234135860.0
93,625698212.0,392634712.0,233063500.0
94,627268568.0,397068008.0,230200560.0
95,630550279.0,399352199.0,231198080.0
96,633347453.0,396819513.0,236527940.0
97,628533215.0,388643115.0,239890100.0
98,626316327.0,388427057.0,237889270.0
99,626095507.0,384133627.0,241961880.0
100,615732171.0,361274061.0,254458110.0
101,609970579.0,358821489.0,251149090.0
102,607782651.0,360545301.0,247237350.0
103,601719151.0,347097111.0,254622040.0
104,604267450.0,353248490.0,251018960.0
105,601235881.0,357522531.0,243713350.0
106,600931982.0,355703952.0,245228030.0
107,601526024.0,360207284.0,241318740.0
108,593910268.0,351787258.0,242123010.0
109,590827657.0,347387357.0,243440300.0
110,580380518.0,331112178.0,249268340.0
111,580280063.0,334956103.0,245323960.0
112,575497138.0,330579568.0,244917570.0
113,572689828.0,330284018.0,242405810.0
114,580654190.0,333390460.0,247263730.0
115,581101079.0,335340269.0,245760810.0
116,577255191.0,325918471.0,251336720.0
117,573879360.0,326647890.0,247231470.0
118,577799639.0,332338969.0,245460670.0
119,572261220.0,328439320.0,243821900.0
120,575584742.0,329130982.0,246453760.0
121,571591882.0,328313742.0,243278140.0
122,563773225.0,314212775.0,249560450.0
123,562765598.0,315713698.0,247051900.0
124,549965821.0,310039831.0,239925990.0
125,551041866.0,308934886.0,242106980.0
126,552705256.0,306683686.0,246021570.0
127,550684391.0,306027061.0,244657330.0
