function,ncalls,tottime_s,cumtime_s
<method 'add' of 'set' objects> (~:0),60768,0.008661,0.008661
<method 'get' of 'dict' objects> (~:0),51514701,5.434639,5.434639
<method 'setdefault' of 'dict' objects> (~:0),46106,0.010505,0.010505
<method 'items' of 'dict' objects> (~:0),52175,0.009459,0.009459
<method 'values' of 'dict' objects> (~:0),41646,0.011276,0.011276
<method 'append' of 'list' objects> (~:0),6783461,0.838949,0.838949
<method 'insert' of 'list' objects> (~:0),30805,0.044967,0.044967
<method 'extend' of 'list' objects> (~:0),259834,0.080999,0.099628
<method 'pop' of 'list' objects> (~:0),41646,0.042101,0.042101
<method 'sort' of 'list' objects> (~:0),15462,0.010145,0.010145
<method 'join' of 'str' objects> (~:0),46469,0.018072,0.018072
<method 'find' of 'str' objects> (~:0),4,0.000001,0.000001
<method 'rfind' of 'str' objects> (~:0),12,0.000003,0.000003
<built-in method sys._getframe> (~:0),4,0.000002,0.000002
<built-in method builtins.getattr> (~:0),24797,0.007080,0.007080
<built-in method builtins.hasattr> (~:0),8,0.000003,0.000003
<built-in method builtins.isinstance> (~:0),43372,0.013238,0.013238
<built-in method builtins.len> (~:0),236139,0.037805,0.037805
<built-in method builtins.max> (~:0),2888299,0.275742,0.275742
<built-in method builtins.min> (~:0),472709,0.104333,0.259880
<built-in method builtins.next> (~:0),65959,0.024460,0.771717
<built-in method builtins.round> (~:0),43356,0.047047,0.047047
<built-in method builtins.sorted> (~:0),41646,0.044362,0.094354
<built-in method builtins.sum> (~:0),208230,0.590669,1.594779
<method '__exit__' of '_thread.RLock' objects> (~:0),8,0.000002,0.000002
<built-in method _thread.get_ident> (~:0),8,0.000002,0.000002
<built-in method posix.getpid> (~:0),4,0.000005,0.000005
<built-in method posix.fspath> (~:0),20,0.000003,0.000003
<method 'write' of '_io.TextIOWrapper' objects> (~:0),4,0.000103,0.000103
<method 'flush' of '_io.TextIOWrapper' objects> (~:0),4,0.000002,0.000002
<built-in method time.time_ns> (~:0),4,0.000002,0.000002
<built-in method _bisect.bisect_left> (~:0),35624,0.113505,0.189872
format (/usr/lib/python3.13/logging/__init__.py:699),4,0.000005,0.000041
_log (/usr/lib/python3.13/logging/__init__.py:1641),4,0.000010,0.000402
findCaller (/usr/lib/python3.13/logging/__init__.py:1592),4,0.000014,0.000040
isEnabledFor (/usr/lib/python3.13/logging/__init__.py:1765),88375,0.018842,0.018842
__init__ (/usr/lib/python3.13/logging/__init__.py:298),4,0.000062,0.000117
callHandlers (/usr/lib/python3.13/logging/__init__.py:1721),4,0.000005,0.000199
proceed (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:173),41646,1.071827,14.962738
update_custom_resources_agenda_global (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:94),41646,3.386322,5.170573
events_builder (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:132),41646,0.627148,1.171431
prep_schedule (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:291),41646,2.064481,8.465600
allocate (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:45),10839,0.114118,0.298411
push_event (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:110),35630,0.062019,0.304166
advance (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:300),30259,0.226694,27.895124
update_energy (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:176),41646,2.437199,3.014669
remove_job_from_waiting_queue (/papers/SPARS-Pub/SPARS/Simulator/JobsManager.py:21),10839,0.019136,0.020700
timeout_policy (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:216),41646,1.539294,2.225481
_update_node_state (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:64),92212,0.151253,0.151253
switch_on (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:160),2375,0.077862,0.561711
compute (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:45),10839,0.040743,0.372137
switch_off (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:121),2563,0.057771,0.542838
record (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:136),83292,0.113384,11.605967
update_node_state (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:227),41646,3.787689,7.153758
release (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:101),10839,0.008479,0.165892
add_job_to_scheduled_queue (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:36),10839,0.010745,0.014076
turn_on (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:113),2375,0.003144,0.075631
turn_off (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:117),2563,0.003514,0.076665
switch_on (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:86),2375,0.007070,0.057501
turn_off (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:102),2563,0.007566,0.068985
log_trace (/papers/SPARS-Pub/SPARS/Logger.py:43),88371,0.074823,0.128706
schedule (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psus.py:5),41646,0.174735,12.399877
FCFSPSUS (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psus.py:14),41646,0.056174,0.362630
add_job_to_waiting_queue (/papers/SPARS-Pub/SPARS/Simulator/JobsManager.py:18),10839,0.004497,0.006104
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:202),46469,0.042291,0.049992
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:56),178048,0.018628,0.018628
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:200),19853,0.003611,0.003611
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:61),178048,0.132840,0.132840
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:263),323805,0.135547,0.135547
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:264),470508,0.137087,0.137087
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:266),637444,0.146357,0.146357
_agenda_by_id (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:33),63324,0.275676,0.275676
