time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.0,0,0,0,128,0
1.0,0,0,0,128,0
1.0,0,0,0,72,56
2.0,0,0,0,72,56
2.0,0,0,0,67,61
10.0,0,0,0,67,61
10.0,0,0,0,55,73
11.0,0,0,0,55,73
11.0,0,0,0,11,117
14.0,0,0,0,11,117
15.0,0,0,0,11,117
16.0,0,0,0,11,117
16.0,0,0,0,10,118
17.0,0,0,0,10,118
20.0,0,0,0,10,118
20.0,0,0,0,2,126
21.0,0,0,0,2,126
23.0,0,0,0,7,121
25.0,0,0,0,7,121
27.0,0,0,0,7,121
31.0,0,0,0,7,121
33.0,0,0,0,7,121
33.0,0,0,0,6,122
34.0,0,0,0,27,101
34.0,0,0,0,10,118
35.0,0,0,0,10,118
36.0,0,0,0,45,83
36.0,0,0,0,1,127
39.0,0,0,0,1,127
39.0,0,0,0,0,128
42.0,0,0,0,0,128
44.0,0,0,0,0,128
45.0,0,0,0,0,128
46.0,0,0,0,0,128
47.0,0,0,0,0,128
48.0,0,0,0,17,111
48.0,0,0,0,6,122
50.0,0,0,0,51,77
50.0,0,0,0,3,125
52.0,0,0,0,15,113
52.0,0,0,0,6,122
54.0,0,0,0,6,122
54.0,0,0,0,5,123
55.0,0,0,0,14,114
56.0,0,0,0,15,113
57.0,0,0,0,15,113
58.0,0,0,0,15,113
60.0,0,0,0,15,113
61.0,0,0,0,59,69
61.0,0,0,0,3,125
62.0,0,0,0,3,125
64.0,0,0,0,3,125
64.0,0,0,0,2,126
65.0,0,0,0,2,126
65.0,0,0,0,1,127
66.0,0,0,0,1,127
66.0,0,0,0,0,128
67.0,0,0,0,0,128
68.0,0,0,0,0,128
69.0,0,0,0,0,128
70.0,0,0,0,0,128
71.0,0,0,0,0,128
75.0,0,0,0,44,84
75.0,0,0,0,1,127
76.0,0,0,0,1,127
77.0,0,0,0,9,119
77.0,0,0,0,1,127
78.0,0,0,0,2,126
78.0,0,0,0,0,128
79.0,0,0,0,0,128
81.0,0,0,0,1,127
81.0,0,0,0,0,128
82.0,0,0,0,55,73
82.0,0,0,0,24,104
83.0,0,0,0,24,104
84.0,0,0,0,33,95
84.0,0,0,0,0,128
86.0,0,0,0,15,113
86.0,0,0,0,14,114
87.0,0,0,0,21,107
88.0,0,0,0,21,107
89.0,0,0,0,21,107
91.0,0,0,0,21,107
92.0,0,0,0,21,107
94.0,0,0,0,22,106
96.0,0,0,0,23,105
97.0,0,0,0,24,104
97.0,0,0,0,0,128
98.0,0,0,0,8,120
98.0,0,0,0,0,128
100.0,0,0,0,27,101
100.0,0,0,0,7,121
101.0,0,0,0,8,120
101.0,0,0,0,7,121
102.0,0,0,0,7,121
103.0,0,0,0,39,89
103.0,0,0,0,0,128
105.0,0,0,0,33,95
105.0,0,0,0,13,115
106.0,0,0,0,13,115
107.0,0,0,0,37,91
107.0,0,0,0,2,126
112.0,0,0,0,2,126
113.0,0,0,0,4,124
113.0,0,0,0,0,128
116.0,0,0,0,0,128
117.0,0,0,0,7,121
118.0,0,0,0,8,120
123.0,0,0,0,8,120
124.0,0,0,0,8,120
126.0,0,0,0,8,120
127.0,0,0,0,29,99
127.0,0,0,0,4,124
128.0,0,0,0,4,124
128.0,0,0,0,3,125
129.0,0,0,0,4,124
130.0,0,0,0,4,124
130.0,0,0,0,3,125
131.0,0,0,0,3,125
132.0,0,0,0,3,125
134.0,0,0,0,22,106
134.0,0,0,0,1,127
137.0,0,0,0,1,127
138.0,0,0,0,40,88
138.0,0,0,0,15,113
139.0,0,0,0,19,109
140.0,0,0,0,19,109
141.0,0,0,0,19,109
148.0,0,0,0,19,109
149.0,0,0,0,20,108
149.0,0,0,0,0,128
150.0,0,0,0,0,128
151.0,0,0,0,0,128
152.0,0,0,0,35,93
152.0,0,0,0,23,105
153.0,0,0,0,24,104
154.0,0,0,0,25,103
154.0,0,0,0,24,104
158.0,0,0,0,24,104
159.0,0,0,0,60,68
159.0,0,0,0,0,128
160.0,0,0,0,10,118
164.0,0,0,0,10,118
165.0,0,0,0,10,118
166.0,0,0,0,10,118
167.0,0,0,0,30,98
167.0,0,0,0,1,127
169.0,0,0,0,1,127
169.0,0,0,0,0,128
170.0,0,0,0,25,103
170.0,0,0,0,2,126
171.0,0,0,0,2,126
175.0,0,0,0,3,125
176.0,0,0,0,12,116
176.0,0,0,0,0,128
178.0,0,0,0,0,128
179.0,0,0,0,1,127
179.0,0,0,0,0,128
181.0,0,0,0,0,128
182.0,0,0,0,0,128
183.0,0,0,0,1,127
183.0,0,0,0,0,128
184.0,0,0,0,0,128
185.0,0,0,0,0,128
189.0,0,0,0,7,121
190.0,0,0,0,9,119
196.0,0,0,0,9,119
197.0,0,0,0,10,118
199.0,0,0,0,22,106
200.0,0,0,0,22,106
202.0,0,0,0,22,106
203.0,0,0,0,30,98
203.0,0,0,0,0,128
204.0,0,0,0,29,99
204.0,0,0,0,0,128
