time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.0,0,0,57,71,0
4.0,0,0,57,71,0
4.0,0,0,57,43,28
4.0,0,0,59,41,28
5.0,0,0,59,41,28
5.0,0,0,59,6,63
14.0,0,0,59,6,63
14.0,0,0,59,6,63
16.0,0,0,59,6,63
16.0,0,0,59,6,63
17.0,0,0,59,6,63
17.0,0,0,59,6,63
18.0,0,0,59,6,63
18.0,0,0,59,1,68
19.0,0,0,59,1,68
19.0,0,0,59,1,68
21.0,0,0,59,1,68
21.0,0,0,59,1,68
22.0,0,0,59,1,68
22.0,0,0,59,1,68
24.0,0,0,59,29,40
24.0,0,0,59,6,63
25.0,0,0,59,41,28
25.0,0,0,59,7,62
26.0,0,0,59,7,62
26.0,0,0,59,6,63
29.0,0,0,59,6,63
29.0,0,0,59,6,63
32.0,0,0,59,6,63
32.0,0,0,59,5,64
33.0,0,0,59,5,64
33.0,0,0,59,5,64
38.0,0,0,59,5,64
38.0,0,0,59,5,64
39.0,0,0,59,5,64
39.0,0,0,59,4,65
40.0,0,0,59,19,50
40.0,0,0,59,12,57
41.0,0,0,59,12,57
41.0,0,0,59,12,57
46.0,0,0,59,12,57
46.0,0,0,59,12,57
47.0,0,0,59,12,57
47.0,0,0,59,12,57
49.0,0,0,59,46,23
49.0,0,0,59,0,69
51.0,0,0,59,0,69
51.0,0,0,59,0,69
52.0,0,0,59,0,69
52.0,0,0,59,0,69
54.0,0,0,59,0,69
54.0,0,0,59,0,69
56.0,0,0,59,1,68
56.0,0,0,59,0,69
59.0,0,0,59,3,66
59.0,0,0,59,0,69
60.0,0,0,59,0,69
60.0,0,0,59,0,69
61.0,0,0,59,3,66
61.0,0,0,59,2,67
62.0,0,0,59,2,67
62.0,0,0,59,2,67
63.0,0,0,59,10,59
63.0,0,0,59,1,68
64.0,0,0,59,1,68
64.0,0,0,59,1,68
65.0,0,0,59,1,68
65.0,0,0,59,0,69
66.0,0,0,59,0,69
66.0,0,0,59,0,69
67.0,0,0,59,7,62
67.0,0,0,59,0,69
68.0,0,0,59,0,69
68.0,0,0,59,0,69
69.0,0,0,59,0,69
