id,energy_consumption,energy_effective,energy_waste
0,230683492.0,180305932.0,50377560.0
1,224300165.0,173317545.0,50982620.0
2,223202038.0,171756958.0,51445080.0
3,222863206.0,173659466.0,49203740.0
4,222838771.0,174064151.0,48774620.0
5,220076530.0,170713950.0,49362580.0
6,219714349.0,169372269.0,50342080.0
7,219714349.0,170193449.0,49520900.0
8,219608102.0,169639942.0,49968160.0
9,220782973.0,172255823.0,48527150.0
10,220729578.0,172592878.0,48136700.0
11,221117280.0,173063330.0,48053950.0
12,221462628.0,173715768.0,47746860.0
13,221095017.0,173773947.0,47321070.0
14,220953837.0,173581087.0,47372750.0
15,220896460.0,173533780.0,47362680.0
16,219661859.0,169589299.0,50072560.0
17,219915259.0,170379639.0,49535620.0
18,219907114.0,170264334.0,49642780.0
19,219894806.0,170929566.0,48965240.0
20,220216262.0,170747142.0,49469120.0
21,219860778.0,169679678.0,50181100.0
22,219850461.0,169790961.0,50059500.0
23,219028721.0,169138651.0,49890070.0
24,219075600.0,170012650.0,49062950.0
25,219075600.0,170067560.0,49008040.0
26,217934757.0,167482857.0,50451900.0
27,216906677.0,166870117.0,50036560.0
28,217907607.0,167237587.0,50670020.0
29,217534928.0,166680938.0,50853990.0
30,217452211.0,167103241.0,50348970.0
31,217452211.0,167096401.0,50355810.0
32,216873192.0,162827202.0,54045990.0
33,215328538.0,161037918.0,54290620.0
34,213069115.0,157511095.0,55558020.0
35,213069115.0,157555555.0,55513560.0
36,209852021.0,152502771.0,57349250.0
37,207451961.0,150078341.0,57373620.0
38,210421266.0,153786366.0,56634900.0
39,210266692.0,153340712.0,56925980.0
40,210378550.0,154919420.0,55459130.0
41,209848401.0,154897711.0,54950690.0
42,208552984.0,154678124.0,53874860.0
43,210162798.0,158347688.0,51815110.0
44,209704506.0,158150976.0,51553530.0
45,209242051.0,157360011.0,51882040.0
46,205904230.0,154138800.0,51765430.0
47,205884139.0,154402569.0,51481570.0
48,204995067.0,151715237.0,53279830.0
49,202824696.0,148072456.0,54752240.0
50,201391357.0,147588547.0,53802810.0
51,201739782.0,147237012.0,54502770.0
52,201510998.0,148665648.0,52845350.0
53,199643802.0,145589192.0,54054610.0
54,200582468.0,146571038.0,54011430.0
55,199968335.0,145856535.0,54111800.0
56,199467689.0,145016499.0,54451190.0
57,199581538.0,146164758.0,53416780.0
58,200379205.0,146988835.0,53390370.0
59,200213047.0,146811467.0,53401580.0
60,200771251.0,147702601.0,53068650.0
61,200771251.0,147196631.0,53574620.0
62,198265306.0,145613756.0,52651550.0
63,199621177.0,144911207.0,54709970.0
64,183200314.0,116897894.0,66302420.0
65,183015151.0,119172331.0,63842820.0
66,180406398.0,117131058.0,63275340.0
67,179701946.0,115256726.0,64445220.0
68,177810315.0,118621225.0,59189090.0
69,178231502.0,118870362.0,59361140.0
70,177935929.0,114504459.0,63431470.0
71,179194060.0,116516180.0,62677880.0
72,176666033.0,113265583.0,63400450.0
73,176011537.0,112697347.0,63314190.0
74,178537030.0,119119750.0,59417280.0
75,178061905.0,118491245.0,59570660.0
76,178135572.0,118322332.0,59813240.0
77,177528860.0,117420550.0,60108310.0
78,176864590.0,117286280.0,59578310.0
79,176852282.0,117492282.0,59360000.0
80,176375890.0,115810860.0,60565030.0
81,175620577.0,115788427.0,59832150.0
82,175545824.0,117133264.0,58412560.0
83,174465797.0,116748067.0,57717730.0
84,174484621.0,116703241.0,57781380.0
85,175704380.0,117277330.0,58427050.0
86,177270030.0,120601250.0,56668780.0
87,176620964.0,120081334.0,56539630.0
88,175312334.0,115565734.0,59746600.0
89,175652433.0,117874143.0,57778290.0
90,174323169.0,114743149.0,59580020.0
91,176328287.0,117487277.0,58841010.0
92,175679402.0,116350802.0,59328600.0
93,172913722.0,112355102.0,60558620.0
94,172506653.0,111983563.0,60523090.0
95,173232101.0,113515991.0,59716110.0
96,168862037.0,110460447.0,58401590.0
97,166991402.0,109206552.0,57784850.0
98,167773865.0,108940405.0,58833460.0
99,167941471.0,109888391.0,58053080.0
100,164668267.0,105481117.0,59187150.0
101,157821399.0,97345569.0,60475830.0
102,156948798.0,96605208.0,60343590.0
103,157374510.0,97120220.0,60254290.0
104,157389714.0,95502564.0,61887150.0
105,157255774.0,95083954.0,62171820.0
106,156055744.0,92448804.0,63606940.0
107,154892638.0,91501828.0,63390810.0
108,140440512.0,71909432.0,68531080.0
109,138289870.0,70902540.0,67387330.0
110,136819969.0,71268609.0,65551360.0
111,135220653.0,70278533.0,64942120.0
112,133834917.0,69631467.0,64203450.0
113,133192005.0,68892175.0,64299830.0
114,126453194.0,61131254.0,65321940.0
115,127048322.0,62309022.0,64739300.0
116,126134996.0,59882246.0,66252750.0
117,126803791.0,61361771.0,65442020.0
118,126753835.0,62061555.0,64692280.0
119,126431474.0,61640964.0,64790510.0
120,122556988.0,60409998.0,62146990.0
121,118503674.0,58976554.0,59527120.0
122,117088073.0,56032493.0,61055580.0
123,116506158.0,55625428.0,60880730.0
124,113078923.0,54877103.0,58201820.0
125,110613522.0,55050002.0,55563520.0
126,103849371.0,49862521.0,53986850.0
127,101373110.0,47637060.0,53736050.0
