time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.0,0,0,0,128,0
0.0,0,0,0,124,4
132.0,0,0,0,128,0
256.0,0,0,0,128,0
256.0,0,0,0,127,1
297.0,0,0,0,127,1
297.0,0,0,0,123,5
321.0,0,0,0,127,1
328.0,0,0,0,127,1
328.0,0,0,0,126,2
337.0,0,0,0,127,1
367.0,0,0,0,128,0
455.0,0,0,0,128,0
455.0,0,0,0,127,1
490.0,0,0,0,127,1
490.0,0,0,0,111,17
494.0,0,0,0,111,17
494.0,0,0,0,79,49
571.0,0,0,0,80,48
576.0,0,0,0,80,48
576.0,0,0,0,72,56
729.0,0,0,0,80,48
871.0,0,0,0,80,48
871.0,0,0,0,72,56
1016.0,0,0,0,80,48
1200.0,0,0,0,80,48
1200.0,0,0,53,27,48
1249.0,0,0,53,59,16
1300.0,0,0,53,59,16
1300.0,0,0,53,55,20
1307.0,0,0,53,55,20
1307.0,0,0,53,54,21
1316.0,0,0,53,54,21
1316.0,0,0,53,38,37
1326.0,0,0,53,38,37
1326.0,0,0,53,37,38
1332.0,0,0,53,37,38
1343.0,0,0,53,37,38
1343.0,0,0,53,35,40
1360.0,0,0,53,36,39
1375.0,0,0,53,37,38
1500.0,0,0,53,41,34
1506.0,0,0,53,57,18
1521.0,0,0,53,57,18
1535.0,0,0,53,57,18
1535.0,0,0,53,25,50
1611.0,0,0,53,41,34
1651.0,0,0,53,41,34
1651.0,0,0,53,9,66
1681.0,0,0,53,11,64
1795.0,0,0,53,11,64
1795.0,0,0,53,7,68
1817.0,0,0,53,7,68
1817.0,0,0,53,5,70
1833.0,0,0,53,9,66
1845.0,0,0,53,11,64
1875.0,0,0,53,43,32
1906.0,0,0,53,43,32
1906.0,0,0,53,39,36
1924.0,0,0,53,39,36
1924.0,0,0,53,7,68
1927.0,0,0,53,7,68
1927.0,0,0,53,5,70
2030.0,0,0,53,5,70
2030.0,0,0,53,4,71
2184.0,0,0,53,5,70
2216.0,0,0,53,5,70
2316.0,0,0,53,37,38
2349.0,0,0,53,37,38
2349.0,0,0,53,36,39
2426.0,0,0,53,37,38
2449.0,0,0,53,37,38
2800.0,0,0,53,37,38
2800.0,0,0,53,5,70
2811.0,0,0,53,5,70
2846.0,0,0,53,5,70
2881.0,0,0,53,5,70
2889.0,0,0,53,5,70
2934.0,0,0,53,9,66
2934.0,0,0,53,1,74
2938.0,0,0,53,3,72
2953.0,0,0,53,3,72
3000.0,53,0,0,3,72
3000.0,21,32,0,2,73
3019.0,21,32,0,3,72
3075.0,21,32,0,3,72
3239.0,21,32,0,3,72
3252.0,21,32,0,3,72
3267.0,21,32,0,3,72
3516.0,21,32,0,3,72
3968.0,21,32,0,3,72
4134.0,21,32,0,3,72
4138.0,21,32,0,3,72
4138.0,21,32,2,1,72
4150.0,21,32,2,1,72
4161.0,21,32,2,1,72
4219.0,21,32,2,1,72
4219.0,21,32,3,0,72
4297.0,21,32,3,0,72
5044.0,21,32,3,0,72
5104.0,21,32,3,32,40
5104.0,5,48,3,0,72
5107.0,5,48,3,32,40
5107.0,3,50,3,0,72
5114.0,3,50,3,0,72
5175.0,3,50,3,0,72
5193.0,3,50,3,16,56
5201.0,3,50,3,24,48
5274.0,3,50,3,24,48
5450.0,3,50,3,24,48
5587.0,3,50,3,24,48
5700.0,3,18,3,56,48
5700.0,3,18,3,24,80
5731.0,3,18,3,24,80
5812.0,3,18,3,56,48
5812.0,3,18,3,20,84
5815.0,3,18,3,20,84
5853.0,3,18,3,24,80
5938.0,5,18,1,24,80
5979.0,5,18,1,56,48
5979.0,5,18,1,24,80
6019.0,6,18,0,24,80
6193.0,6,18,0,24,80
6205.0,6,18,0,56,48
6205.0,6,18,0,0,104
6233.0,6,18,0,16,88
6233.0,6,18,0,0,104
6274.0,6,18,0,8,96
6275.0,6,18,0,16,88
6281.0,6,18,0,24,80
6283.0,6,18,0,32,72
6283.0,2,22,0,0,104
6320.0,2,22,0,8,96
6393.0,2,22,0,8,96
6509.0,2,22,0,40,64
6675.0,2,22,0,40,64
6675.0,2,22,0,8,96
6688.0,2,22,0,40,64
6791.0,2,22,0,72,32
6928.0,2,22,0,72,32
6928.0,2,22,0,64,40
6935.0,2,22,0,64,40
6935.0,2,22,0,32,72
7007.0,2,22,0,32,72
7007.0,2,22,0,24,80
7012.0,2,22,0,24,80
7014.0,2,22,0,32,72
7067.0,2,22,0,32,72
7067.0,2,22,0,24,80
7099.0,2,22,0,32,72
7125.0,2,22,0,32,72
7125.0,2,22,0,0,104
7161.0,2,22,0,0,104
7168.0,2,22,0,0,104
7179.0,2,22,0,0,104
7196.0,2,22,0,8,96
7196.0,2,22,0,0,104
7217.0,2,22,0,32,72
7217.0,2,22,0,24,80
7224.0,2,22,0,24,80
7224.0,2,22,0,16,88
7267.0,2,22,0,16,88
7267.0,2,22,0,8,96
7269.0,2,22,0,16,88
7321.0,2,22,0,24,80
7326.0,2,22,0,32,72
7385.0,2,22,0,32,72
7385.0,2,22,0,24,80
7388.0,2,22,0,24,80
7388.0,2,22,0,16,88
7404.0,2,22,0,24,80
7451.0,2,22,0,24,80
7451.0,2,22,0,16,88
7474.0,2,22,0,16,88
7475.0,2,22,0,24,80
7503.0,2,22,0,32,72
7520.0,2,22,0,32,72
7556.0,2,22,0,32,72
7556.0,2,22,0,24,80
7558.0,2,22,0,24,80
7558.0,2,22,0,16,88
7619.0,2,22,0,24,80
7664.0,2,22,0,32,72
7698.0,2,22,0,32,72
7698.0,2,22,0,24,80
7709.0,2,22,0,24,80
7797.0,2,22,0,32,72
7804.0,2,6,0,48,72
7804.0,2,6,0,32,88
7807.0,2,4,0,34,88
7807.0,2,4,0,32,90
7812.0,2,4,0,48,74
7822.0,2,4,0,48,74
7822.0,2,4,0,47,75
7832.0,2,4,0,49,73
7877.0,2,4,0,50,72
7888.0,2,4,0,50,72
7892.0,2,4,0,50,72
7892.0,2,4,0,49,73
7917.0,2,4,0,50,72
7923.0,2,4,0,50,72
7923.0,2,4,0,46,76
7945.0,2,4,0,46,76
7945.0,2,4,0,44,78
7991.0,2,4,0,44,78
8010.0,2,4,0,44,78
8010.0,2,4,0,43,79
8013.0,2,4,0,44,78
8045.0,2,4,0,48,74
8047.0,2,4,0,50,72
8417.0,2,4,0,50,72
8466.0,2,4,0,50,72
8466.0,2,4,0,42,80
8469.0,2,4,0,42,80
8521.0,2,4,0,42,80
8526.0,2,4,0,42,80
8549.0,2,4,0,50,72
8604.0,2,4,0,50,72
8675.0,2,4,0,50,72
8703.0,2,4,0,50,72
8772.0,2,4,0,50,72
8772.0,2,4,0,46,76
8795.0,2,4,0,46,76
8795.0,2,4,0,44,78
8811.0,2,4,0,50,72
8819.0,2,4,0,50,72
8831.0,2,4,0,50,72
8831.0,2,4,0,46,76
8852.0,2,4,0,46,76
8852.0,2,4,0,44,78
8864.0,2,4,0,44,78
8928.0,2,4,0,50,72
8983.0,2,0,0,54,72
8983.0,2,0,0,50,76
8997.0,2,0,0,50,76
8997.0,2,0,3,47,76
9003.0,2,0,3,47,76
9003.0,2,0,3,45,78
9012.0,2,0,3,45,78
9012.0,2,0,17,31,78
9023.0,2,0,17,33,76
9028.0,2,0,17,37,72
9032.0,2,0,17,37,72
9032.0,2,0,19,35,72
9047.0,2,0,19,35,72
9047.0,2,0,19,31,76
9077.0,2,0,19,31,76
9085.0,2,0,19,35,72
9098.0,2,0,19,35,72
9098.0,2,0,19,31,76
9121.0,2,0,19,31,76
9121.0,2,0,19,29,78
9137.0,2,0,19,29,78
9137.0,2,0,19,21,86
9144.0,2,0,19,27,80
9182.0,2,0,19,35,72
9196.0,2,0,19,35,72
9196.0,2,0,19,33,74
9208.0,2,0,19,33,74
9208.0,2,0,19,29,78
9233.0,2,0,19,29,78
9233.0,2,0,19,27,80
9240.0,2,0,19,27,80
9240.0,2,0,19,19,88
9245.0,2,0,19,19,88
9247.0,2,0,19,19,88
9265.0,2,0,19,21,86
9327.0,2,0,19,29,78
9381.0,2,0,19,29,78
9381.0,2,0,19,21,86
9421.0,2,0,19,29,78
9451.0,2,0,19,29,78
9451.0,2,0,19,21,86
9530.0,2,0,19,29,78
9541.0,2,0,19,29,78
9541.0,2,0,19,28,79
9545.0,2,0,19,29,78
9565.0,2,0,19,29,78
9565.0,2,0,19,21,86
9569.0,2,0,19,21,86
9569.0,2,0,19,5,102
9572.0,2,0,19,5,102
9572.0,2,0,19,4,103
9581.0,2,0,19,8,99
9588.0,2,0,19,10,97
9594.0,2,0,19,10,97
9594.0,2,0,19,6,101
9614.0,2,0,19,7,100
9632.0,2,0,19,7,100
9632.0,2,0,19,5,102
9636.0,2,0,19,9,98
9661.0,2,0,19,11,96
9668.0,2,0,19,19,88
9742.0,2,0,19,51,56
9749.0,2,0,19,51,56
9750.0,2,0,19,51,56
9750.0,2,0,19,47,60
9758.0,2,0,19,47,60
9758.0,2,0,19,46,61
9775.0,2,0,19,47,60
9780.0,2,0,19,47,60
9780.0,2,0,19,45,62
9819.0,2,0,19,61,46
9887.0,2,0,19,65,42
9892.0,2,0,19,65,42
9892.0,2,0,19,57,50
9897.0,2,0,19,67,40
9899.0,2,0,19,67,40
9899.0,2,0,19,51,56
9995.0,2,0,19,67,40
10011.0,2,0,19,67,40
10128.0,2,0,19,67,40
10146.0,2,0,19,67,40
10146.0,2,0,19,59,48
10175.0,2,0,19,59,48
10175.0,2,0,19,58,49
10216.0,2,0,19,59,48
10227.0,2,0,19,67,40
10228.0,2,0,19,67,40
10231.0,2,0,19,67,40
10231.0,2,0,19,66,41
10255.0,2,0,19,67,40
10265.0,2,0,19,67,40
10265.0,2,0,19,63,44
10290.0,2,0,19,63,44
10290.0,2,0,19,61,46
10344.0,2,0,19,61,46
10367.0,2,0,19,63,44
10368.0,2,0,19,67,40
10369.0,2,0,19,67,40
10369.0,2,0,19,59,48
10382.0,2,0,19,59,48
10462.0,2,0,19,67,40
10509.0,2,0,19,67,40
10509.0,2,0,19,59,48
10527.0,2,0,19,59,48
10593.0,2,0,19,67,40
