time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.0,0,0,0,128,0
0.0,0,0,0,124,4
132.0,0,0,0,128,0
256.0,0,0,0,128,0
256.0,0,0,0,127,1
297.0,0,0,0,127,1
297.0,0,0,0,123,5
321.0,0,0,0,127,1
328.0,0,0,0,127,1
328.0,0,0,0,126,2
337.0,0,0,0,127,1
367.0,0,0,0,128,0
455.0,0,0,0,128,0
455.0,0,0,0,127,1
490.0,0,0,0,127,1
490.0,0,0,0,111,17
494.0,0,0,0,111,17
494.0,0,0,0,79,49
571.0,0,0,0,80,48
576.0,0,0,0,80,48
576.0,0,0,0,72,56
729.0,0,0,0,80,48
871.0,0,0,0,80,48
871.0,0,0,0,72,56
1016.0,0,0,0,80,48
1200.0,0,0,0,80,48
1200.0,0,0,72,8,48
1249.0,0,0,72,40,16
1300.0,0,0,72,40,16
1300.0,0,0,72,36,20
1307.0,0,0,72,36,20
1307.0,0,0,72,35,21
1316.0,0,0,72,35,21
1316.0,0,0,72,19,37
1326.0,0,0,72,19,37
1326.0,0,0,72,18,38
1343.0,0,0,72,18,38
1343.0,0,0,72,16,40
1360.0,0,0,72,17,39
1375.0,0,0,72,18,38
1500.0,0,0,72,22,34
1506.0,0,0,72,38,18
1535.0,0,0,72,38,18
1535.0,0,0,72,6,50
1611.0,0,0,72,22,34
1651.0,0,0,72,22,34
1681.0,0,0,72,24,32
1795.0,0,0,72,24,32
1817.0,0,0,72,24,32
1875.0,0,0,72,56,0
1875.0,0,0,72,18,38
1903.0,0,0,72,20,36
1906.0,0,0,72,20,36
1906.0,0,0,72,16,40
1913.0,0,0,72,20,36
1924.0,0,0,72,20,36
1927.0,0,0,72,20,36
2030.0,0,0,72,20,36
2216.0,0,0,72,20,36
2216.0,0,0,78,14,36
2349.0,0,0,78,14,36
2800.0,0,0,78,14,36
2846.0,0,0,78,14,36
2889.0,0,0,78,14,36
2934.0,0,0,78,18,32
2953.0,0,0,78,18,32
3000.0,72,0,6,18,32
3000.0,13,59,6,18,32
3075.0,13,59,6,18,32
3113.0,13,59,6,18,32
3239.0,13,59,6,18,32
3252.0,13,59,6,18,32
3267.0,13,59,6,18,32
3968.0,13,59,6,18,32
4016.0,19,59,0,18,32
4134.0,19,59,0,18,32
4150.0,19,59,0,18,32
4161.0,19,59,0,18,32
4297.0,19,59,0,18,32
5044.0,19,59,0,18,32
5114.0,19,59,0,18,32
5175.0,19,59,0,18,32
5274.0,19,59,0,18,32
5328.0,19,59,0,50,0
5328.0,19,59,0,14,36
5328.0,7,71,0,14,36
5405.0,7,71,0,15,35
5450.0,7,71,0,15,35
5482.0,7,71,0,16,34
5587.0,7,71,0,16,34
5700.0,7,12,0,75,34
5700.0,7,12,0,2,107
5719.0,7,12,0,3,106
5720.0,7,12,0,35,74
5720.0,7,12,0,3,106
5731.0,7,12,0,3,106
5815.0,7,12,0,3,106
5979.0,7,12,0,35,74
5979.0,7,12,0,3,106
5979.0,2,17,0,3,106
5987.0,2,17,0,19,90
5987.0,2,17,0,1,108
6012.0,2,17,0,3,106
6073.0,2,17,0,19,90
6193.0,2,17,0,19,90
6339.0,2,17,0,21,88
6428.0,2,17,0,53,56
6428.0,2,17,0,17,92
6469.0,2,17,0,21,88
6605.0,2,17,0,21,88
6675.0,2,17,0,21,88
6900.0,2,17,0,21,88
6900.0,2,17,1,20,88
6928.0,2,17,1,20,88
6935.0,2,17,1,20,88
7007.0,2,17,1,20,88
7067.0,2,17,1,20,88
7105.0,2,17,1,36,72
7105.0,2,17,1,4,104
7125.0,2,17,1,4,104
7161.0,2,17,1,4,104
7168.0,2,17,1,4,104
7212.0,2,17,1,4,104
7224.0,2,17,1,4,104
7267.0,2,17,1,4,104
7304.0,2,17,1,36,72
7304.0,2,17,1,4,104
7331.0,2,17,1,36,72
7331.0,2,17,1,4,104
7373.0,2,17,1,12,96
7373.0,2,17,1,4,104
7385.0,2,17,1,4,104
7388.0,2,17,1,4,104
7400.0,2,17,1,12,96
7407.0,2,17,1,20,88
7409.0,2,17,1,28,80
7451.0,2,17,1,28,80
7460.0,2,17,1,36,72
7460.0,2,17,1,0,108
7505.0,2,17,1,4,104
7556.0,2,17,1,4,104
7558.0,2,17,1,4,104
7686.0,2,17,1,36,72
7686.0,2,17,1,4,104
7698.0,2,17,1,4,104
7802.0,2,17,1,36,72
7802.0,2,17,1,28,80
7822.0,2,17,1,28,80
7888.0,2,17,1,36,72
7888.0,2,17,1,4,104
7892.0,2,17,1,4,104
7923.0,2,17,1,4,104
7945.0,2,17,1,4,104
7967.0,2,17,1,12,96
7967.0,2,17,1,4,104
8007.0,2,17,1,36,72
8007.0,2,17,1,28,80
8010.0,2,17,1,28,80
8028.0,2,5,1,40,80
8028.0,2,5,1,0,120
8059.0,2,5,1,8,112
8059.0,2,5,1,0,120
8101.0,2,5,1,8,112
8101.0,2,5,1,0,120
8136.0,2,5,1,8,112
8136.0,2,5,1,0,120
8136.0,1,6,1,0,120
8141.0,1,6,1,0,120
8170.0,1,6,1,32,88
8170.0,1,6,1,0,120
8186.0,1,6,1,8,112
8186.0,1,6,1,0,120
8195.0,1,6,1,8,112
8195.0,1,6,1,0,120
8198.0,1,6,1,8,112
8198.0,1,6,1,0,120
8222.0,1,6,1,8,112
8222.0,1,6,1,7,113
8223.0,1,6,1,8,112
8225.0,1,6,1,9,111
8247.0,1,6,1,17,103
8253.0,1,6,1,18,102
8260.0,1,6,1,26,94
8278.0,1,6,1,34,86
8294.0,1,6,1,42,78
8300.0,1,6,1,44,76
8305.0,1,6,1,44,76
8320.0,1,6,1,48,72
8466.0,1,6,1,48,72
8466.0,1,6,1,40,80
8549.0,1,6,1,48,72
8679.0,1,1,1,53,72
8700.0,2,1,0,53,72
8705.0,2,1,0,53,72
8772.0,2,1,0,53,72
8772.0,2,1,0,49,76
8795.0,2,1,0,49,76
8795.0,2,1,0,47,78
8811.0,2,1,0,53,72
8831.0,2,1,0,53,72
8831.0,2,1,0,49,76
8852.0,2,1,0,49,76
8852.0,2,1,0,47,78
8928.0,2,1,0,53,72
9003.0,2,1,0,53,72
9003.0,2,1,0,51,74
9023.0,2,1,0,53,72
9047.0,2,1,0,53,72
9047.0,2,1,0,49,76
9085.0,2,1,0,53,72
9098.0,2,1,0,53,72
9098.0,2,1,0,49,76
9121.0,2,1,0,49,76
9121.0,2,1,0,47,78
9137.0,2,1,0,47,78
9137.0,2,1,0,39,86
9144.0,2,1,0,45,80
9182.0,2,1,0,53,72
9196.0,2,1,0,53,72
9196.0,2,1,0,51,74
9208.0,2,1,0,51,74
9208.0,2,1,0,47,78
9233.0,2,1,0,47,78
9233.0,2,1,0,45,80
9240.0,2,1,0,45,80
9240.0,2,1,0,37,88
9265.0,2,1,0,39,86
9327.0,2,1,0,47,78
9381.0,2,1,0,47,78
9381.0,2,1,0,39,86
9421.0,2,1,0,47,78
9422.0,2,1,0,47,78
9422.0,2,1,7,40,78
9423.0,2,1,7,40,78
9423.0,2,1,8,39,78
9425.0,2,1,8,39,78
9425.0,2,1,9,38,78
9447.0,2,1,9,38,78
9447.0,2,1,17,30,78
9451.0,2,1,17,30,78
9451.0,2,1,17,22,86
9453.0,2,1,17,22,86
9453.0,2,1,18,21,86
9478.0,2,1,18,21,86
9478.0,2,1,26,13,86
9500.0,2,1,26,13,86
9500.0,2,1,28,11,86
9520.0,2,1,28,11,86
9520.0,2,1,32,7,86
9530.0,2,1,32,15,78
9541.0,2,1,32,15,78
9541.0,2,1,32,14,79
9545.0,2,1,32,15,78
9565.0,2,1,32,15,78
9565.0,2,1,32,7,86
9569.0,2,1,32,7,86
9572.0,2,1,32,7,86
9581.0,2,1,32,11,82
9588.0,2,1,32,13,80
9594.0,2,1,32,13,80
9632.0,2,1,32,13,80
9668.0,2,1,32,21,72
9668.0,2,1,32,0,93
9710.0,2,1,32,5,88
9710.0,2,1,32,3,90
9739.0,2,1,32,5,88
9750.0,2,1,32,5,88
9750.0,2,1,32,1,92
9758.0,2,1,32,1,92
9758.0,2,1,32,0,93
9775.0,2,1,32,1,92
9780.0,2,1,32,1,92
9879.0,2,1,32,1,92
9887.0,2,1,32,5,88
9887.0,2,1,32,3,90
9892.0,2,1,32,3,90
9899.0,2,1,32,3,90
9918.0,2,1,32,19,74
9918.0,2,1,32,11,82
9923.0,2,1,32,19,74
9923.0,2,1,32,3,90
10004.0,2,1,32,5,88
10019.0,2,1,32,21,72
10146.0,2,1,32,21,72
10146.0,2,1,32,13,80
10175.0,2,1,32,13,80
10175.0,2,1,32,12,81
10216.0,2,1,32,13,80
10227.0,2,1,32,21,72
10231.0,2,1,32,21,72
10231.0,2,1,32,20,73
10255.0,2,1,32,21,72
10265.0,2,1,32,21,72
10265.0,2,1,32,17,76
10290.0,2,1,32,17,76
10290.0,2,1,32,15,78
10367.0,2,1,32,17,76
10368.0,2,1,32,21,72
10369.0,2,1,32,21,72
10369.0,2,1,32,13,80
10462.0,2,1,32,21,72
10509.0,2,1,32,21,72
10509.0,2,1,32,13,80
10593.0,2,1,32,21,72
10826.0,2,1,32,21,72
10826.0,2,1,32,17,76
10836.0,2,0,32,18,76
10841.0,2,0,32,50,44
10847.0,2,0,32,50,44
10847.0,2,0,32,48,46
10910.0,2,0,32,48,46
10951.0,2,0,32,54,40
10975.0,2,0,32,54,40
10975.0,2,0,33,53,40
11028.0,2,0,33,53,40
11028.0,2,0,33,49,44
11050.0,2,0,33,49,44
11050.0,2,0,33,47,46
11087.0,2,0,33,47,46
11087.0,2,0,35,45,46
11136.0,2,0,35,45,46
11136.0,2,0,35,37,54
11204.0,2,0,35,37,54
11204.0,2,0,37,35,54
11219.0,2,0,37,35,54
11219.0,2,0,44,28,54
11222.0,9,0,37,28,54
11223.0,10,0,36,28,54
11225.0,11,0,35,28,54
11247.0,19,0,27,28,54
11253.0,20,0,26,28,54
11278.0,28,0,18,28,54
11300.0,30,0,16,28,54
11320.0,34,0,12,28,54
11327.0,34,0,12,28,54
11327.0,34,0,12,24,58
11376.0,34,0,12,28,54
