id,energy_consumption,energy_effective,energy_waste
0,218370382.0,150685282.0,67685100.0
1,220853702.0,158278992.0,62574710.0
2,221069092.0,158213042.0,62856050.0
3,220805194.0,154067014.0,66738180.0
4,221795807.0,157163157.0,64632650.0
5,220035763.0,155627843.0,64407920.0
6,218730029.0,154879569.0,63850460.0
7,221040856.0,159834256.0,61206600.0
8,218806954.0,155681964.0,63124990.0
9,218199518.0,154192688.0,64006830.0
10,217719144.0,155419374.0,62299770.0
11,216827176.0,151826696.0,65000480.0
12,213929185.0,152795255.0,61133930.0
13,214024572.0,151206242.0,62818330.0
14,214250822.0,153783792.0,60467030.0
15,214203400.0,149505400.0,64698000.0
16,215704614.0,153590094.0,62114520.0
17,215606874.0,151246794.0,64360080.0
18,213361569.0,150375379.0,62986190.0
19,213357406.0,150743806.0,62613600.0
20,212496027.0,150603567.0,61892460.0
21,212845719.0,150839259.0,62006460.0
22,212983098.0,151204828.0,61778270.0
23,210691819.0,150742109.0,59949710.0
24,211204049.0,152681239.0,58522810.0
25,210880240.0,149770010.0,61110230.0
26,213371524.0,154392864.0,58978660.0
27,212339462.0,151268992.0,61070470.0
28,213725017.0,152439847.0,61285170.0
29,213154867.0,152437037.0,60717830.0
30,213271612.0,153689362.0,59582250.0
31,213968100.0,154025090.0,59943010.0
32,214451732.0,159622672.0,54829060.0
33,210295429.0,152988569.0,57306860.0
34,209252869.0,151893519.0,57359350.0
35,209687631.0,150593621.0,59094010.0
36,207065122.0,141823702.0,65241420.0
37,207503866.0,144246286.0,63257580.0
38,205603728.0,139949958.0,65653770.0
39,202390616.0,136430996.0,65959620.0
40,201699558.0,136543968.0,65155590.0
41,206055504.0,141614704.0,64440800.0
42,205823462.0,143229792.0,62593670.0
43,209911709.0,149519909.0,60391800.0
44,207301146.0,146913566.0,60387580.0
45,204793934.0,145001674.0,59792260.0
46,205879934.0,146025264.0,59854670.0
47,202088708.0,139651318.0,62437390.0
48,204427047.0,143705167.0,60721880.0
49,203218691.0,140164131.0,63054560.0
50,206202476.0,144908036.0,61294440.0
51,205974235.0,143790355.0,62183880.0
52,207685771.0,150232801.0,57452970.0
53,207077611.0,147942331.0,59135280.0
54,207562691.0,148537421.0,59025270.0
55,203819611.0,141938401.0,61881210.0
56,204973124.0,137625984.0,67347140.0
57,203062850.0,135066570.0,67996280.0
58,203330911.0,137181481.0,66149430.0
59,204503791.0,138785761.0,65718030.0
60,201897391.0,136262621.0,65634770.0
61,203192084.0,138569114.0,64622970.0
62,202941037.0,138043997.0,64897040.0
63,202024453.0,136938123.0,65086330.0
64,199164834.0,125801424.0,73363410.0
65,196758982.0,123987752.0,72771230.0
66,196849120.0,127877750.0,68971370.0
67,198360470.0,131444240.0,66916230.0
68,197413840.0,129794090.0,67619750.0
69,199817520.0,133015160.0,66802360.0
70,198647355.0,134002635.0,64644720.0
71,198301102.0,132627772.0,65673330.0
72,193518177.0,128812087.0,64706090.0
73,192239774.0,126453294.0,65786480.0
74,190165514.0,124210214.0,65955300.0
75,192898614.0,126710044.0,66188570.0
76,188534523.0,124256783.0,64277740.0
77,190147595.0,124914015.0,65233580.0
78,186077629.0,118881869.0,67195760.0
79,185235255.0,116686735.0,68548520.0
80,189078971.0,121760901.0,67318070.0
81,190243525.0,124185915.0,66057610.0
82,184622932.0,116593022.0,68029910.0
83,188362754.0,120833164.0,67529590.0
84,192467653.0,123426093.0,69041560.0
85,189118248.0,120025758.0,69092490.0
86,189240242.0,121491432.0,67748810.0
87,189399160.0,122616550.0,66782610.0
88,189392825.0,123534565.0,65858260.0
89,189392825.0,123425695.0,65967130.0
90,188559139.0,120072889.0,68486250.0
91,189200422.0,119281952.0,69918470.0
92,191331516.0,122695836.0,68635680.0
93,191988727.0,122735497.0,69253230.0
94,187594228.0,119162028.0,68432200.0
95,185451912.0,117083412.0,68368500.0
96,181232440.0,111117830.0,70114610.0
97,181374163.0,110965193.0,70408970.0
98,180285448.0,108312448.0,71973000.0
99,180502467.0,108005587.0,72496880.0
100,177062381.0,104002391.0,73059990.0
101,170184924.0,100257234.0,69927690.0
102,167064484.0,97460454.0,69604030.0
103,168905435.0,99136535.0,69768900.0
104,167836449.0,97234639.0,70601810.0
105,164805423.0,96059393.0,68746030.0
106,161392306.0,92555786.0,68836520.0
107,160327302.0,91853112.0,68474190.0
108,158755136.0,91939086.0,66816050.0
109,157895205.0,91698505.0,66196700.0
110,158400919.0,89476579.0,68924340.0
111,155541843.0,86615313.0,68926530.0
112,158586806.0,91183846.0,67402960.0
113,156557615.0,90900945.0,65656670.0
114,156624404.0,91811954.0,64812450.0
115,154866713.0,90891493.0,63975220.0
116,156854636.0,93318936.0,63535700.0
117,153753020.0,90675220.0,63077800.0
118,156293536.0,92344776.0,63948760.0
119,149204490.0,84850030.0,64354460.0
120,151771070.0,85898930.0,65872140.0
121,148552166.0,83793146.0,64759020.0
122,151585183.0,86809583.0,64775600.0
123,151525996.0,85940906.0,65585090.0
124,151373775.0,85739665.0,65634110.0
125,156949480.0,89916880.0,67032600.0
126,151362553.0,86982683.0,64379870.0
127,150221348.0,84330028.0,65891320.0
