time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.0,0,0,0,128,0
0.0,0,0,0,124,4
132.0,0,0,0,128,0
256.0,0,0,0,128,0
256.0,0,0,0,127,1
297.0,0,0,0,127,1
297.0,0,0,0,123,5
321.0,0,0,0,127,1
328.0,0,0,0,127,1
328.0,0,0,0,126,2
337.0,0,0,0,127,1
367.0,0,0,0,128,0
455.0,0,0,0,128,0
455.0,0,0,0,127,1
490.0,0,0,0,127,1
490.0,0,0,0,111,17
494.0,0,0,0,111,17
494.0,0,0,0,79,49
571.0,0,0,0,80,48
576.0,0,0,0,80,48
576.0,0,0,0,72,56
729.0,0,0,0,80,48
871.0,0,0,0,80,48
871.0,0,0,0,72,56
1016.0,0,0,0,80,48
1249.0,0,0,0,112,16
1300.0,0,0,0,112,16
1300.0,0,0,0,108,20
1307.0,0,0,0,108,20
1307.0,0,0,0,107,21
1316.0,0,0,0,107,21
1316.0,0,0,0,91,37
1326.0,0,0,0,91,37
1326.0,0,0,0,90,38
1343.0,0,0,0,90,38
1343.0,0,0,0,88,40
1360.0,0,0,0,89,39
1375.0,0,0,0,90,38
1500.0,0,0,0,94,34
1500.0,0,0,72,22,34
1506.0,0,0,72,38,18
1535.0,0,0,72,38,18
1535.0,0,0,72,6,50
1611.0,0,0,72,22,34
1651.0,0,0,72,22,34
1681.0,0,0,72,24,32
1795.0,0,0,72,24,32
1817.0,0,0,72,24,32
1875.0,0,0,72,56,0
1906.0,0,0,72,56,0
1906.0,0,0,72,52,4
1924.0,0,0,72,52,4
1927.0,0,0,72,52,4
2030.0,0,0,72,52,4
2349.0,0,0,72,52,4
2516.0,0,0,72,52,4
2800.0,0,0,72,52,4
2846.0,0,0,72,52,4
2889.0,0,0,72,52,4
2934.0,0,0,72,56,0
2953.0,0,0,72,56,0
3181.0,0,0,72,56,0
3239.0,0,0,72,56,0
3239.0,0,0,72,55,1
3252.0,0,0,72,55,1
3258.0,0,0,72,56,0
3267.0,0,0,72,56,0
3300.0,72,0,0,56,0
3300.0,10,62,0,56,0
3375.0,10,62,0,56,0
3968.0,10,62,0,56,0
4150.0,10,62,0,56,0
4150.0,10,62,0,54,2
4161.0,10,62,0,54,2
4175.0,10,62,0,56,0
4297.0,10,62,0,56,0
4297.0,10,62,0,52,4
4338.0,10,62,0,56,0
4434.0,10,62,0,56,0
5044.0,10,62,0,56,0
5114.0,10,62,0,56,0
5175.0,10,62,0,56,0
5175.0,6,66,0,56,0
5274.0,6,66,0,56,0
5450.0,6,66,0,56,0
5587.0,6,66,0,56,0
5731.0,6,66,0,56,0
5815.0,6,66,0,56,0
5838.0,6,66,0,56,0
6000.0,6,4,0,118,0
6000.0,6,4,0,4,114
6028.0,6,4,0,6,112
6028.0,0,10,0,6,112
6038.0,0,10,0,10,108
6077.0,0,10,0,11,107
6154.0,0,10,0,12,106
6193.0,0,10,0,12,106
6193.0,0,10,0,8,110
6238.0,0,10,0,12,106
6392.0,0,10,0,44,74
6392.0,0,10,0,12,106
6671.0,0,10,0,44,74
6671.0,0,10,0,12,106
6675.0,0,10,0,12,106
6928.0,0,10,0,12,106
6935.0,0,10,0,12,106
7007.0,0,10,0,12,106
7011.0,0,10,0,14,104
7011.0,0,10,0,6,112
7067.0,0,10,0,6,112
7080.0,0,10,0,14,104
7080.0,0,10,0,6,112
7122.0,0,10,0,14,104
7125.0,0,10,0,14,104
7161.0,0,10,0,14,104
7161.0,0,10,0,6,112
7168.0,0,10,0,6,112
7224.0,0,10,0,6,112
7234.0,0,10,0,14,104
7267.0,0,10,0,14,104
7267.0,0,10,0,6,112
7326.0,0,10,0,14,104
7326.0,0,10,0,6,112
7379.0,0,10,0,38,80
7379.0,0,10,0,6,112
7385.0,0,10,0,6,112
7387.0,0,10,0,22,96
7387.0,0,10,0,6,112
7388.0,0,10,0,6,112
7413.0,0,10,0,14,104
7413.0,0,10,0,6,112
7429.0,0,10,0,14,104
7451.0,0,10,0,14,104
7451.0,0,10,0,6,112
7473.0,0,10,0,22,96
7503.0,0,10,0,30,88
7538.0,0,10,0,30,88
7556.0,0,10,0,30,88
7558.0,0,10,0,30,88
7558.0,0,10,0,22,96
7577.0,0,10,0,22,96
7619.0,0,10,0,30,88
7698.0,0,10,0,30,88
7822.0,0,10,0,30,88
7822.0,0,10,0,29,89
7875.0,0,6,0,33,89
7875.0,0,6,0,25,97
7877.0,0,6,0,26,96
7877.0,0,6,0,18,104
7892.0,0,6,0,18,104
7892.0,0,6,0,17,105
7917.0,0,6,0,18,104
7923.0,0,6,0,18,104
7945.0,0,6,0,18,104
7953.0,0,6,0,26,96
7963.0,0,6,0,34,88
7963.0,0,6,0,2,120
8010.0,0,6,0,2,120
8267.0,0,6,0,10,112
8267.0,0,6,0,2,120
8307.0,0,6,0,34,88
8307.0,0,6,0,2,120
8359.0,0,6,0,10,112
8359.0,0,6,0,2,120
8466.0,0,6,0,2,120
8488.0,0,6,0,10,112
8488.0,0,6,0,2,120
8505.0,0,6,0,18,104
8505.0,0,6,0,2,120
8533.0,0,6,0,34,88
8533.0,0,6,0,2,120
8595.0,0,6,0,10,112
8595.0,0,6,0,2,120
8602.0,0,6,0,10,112
8602.0,0,6,0,2,120
8622.0,0,6,0,2,120
8701.0,0,6,0,10,112
8701.0,0,6,0,3,119
8703.0,0,6,0,11,111
8703.0,0,6,0,3,119
8704.0,0,6,0,4,118
8728.0,0,0,0,10,118
8728.0,0,0,0,2,126
8734.0,0,0,0,2,126
8772.0,0,0,0,2,126
8786.0,0,0,0,10,118
8786.0,0,0,0,6,122
8795.0,0,0,0,6,122
8795.0,0,0,0,4,124
8803.0,0,0,0,6,122
8804.0,0,0,0,14,114
8811.0,0,0,0,16,112
8823.0,0,0,0,20,108
8825.0,0,0,0,24,104
8831.0,0,0,0,24,104
8831.0,0,0,0,20,108
8839.0,0,0,0,52,76
8839.0,0,0,0,20,108
8852.0,0,0,0,20,108
8852.0,0,0,0,18,110
8928.0,0,0,0,24,104
8929.0,0,0,0,24,104
8973.0,0,0,0,24,104
9003.0,0,0,0,24,104
9003.0,0,0,0,22,106
9023.0,0,0,0,24,104
9047.0,0,0,0,24,104
9047.0,0,0,0,20,108
9065.0,0,0,0,52,76
9065.0,0,0,0,20,108
9085.0,0,0,0,24,104
9098.0,0,0,0,24,104
9098.0,0,0,0,20,108
9121.0,0,0,0,20,108
9121.0,0,0,0,18,110
9137.0,0,0,0,18,110
9137.0,0,0,0,10,118
9144.0,0,0,0,16,112
9181.0,0,0,0,48,80
9181.0,0,0,0,16,112
9182.0,0,0,0,24,104
9196.0,0,0,0,24,104
9208.0,0,0,0,24,104
9208.0,0,0,0,18,110
9233.0,0,0,0,18,110
9240.0,0,0,0,18,110
9240.0,0,0,0,8,120
9277.0,0,0,0,10,118
9327.0,0,0,0,18,110
9381.0,0,0,0,18,110
9451.0,0,0,0,18,110
9451.0,0,0,0,2,126
9453.0,0,0,0,34,94
9453.0,0,0,0,2,126
9463.0,0,0,0,34,94
9491.0,0,0,0,42,86
9530.0,0,0,0,50,78
9541.0,0,0,0,50,78
9541.0,0,0,0,49,79
9545.0,0,0,0,50,78
9565.0,0,0,0,50,78
9565.0,0,0,0,42,86
9569.0,0,0,0,42,86
9569.0,0,0,0,26,102
9572.0,0,0,0,26,102
9572.0,0,0,0,25,103
9581.0,0,0,0,29,99
9594.0,0,0,0,29,99
9594.0,0,0,0,25,103
9595.0,0,0,0,27,101
9614.0,0,0,0,28,100
9632.0,0,0,0,28,100
9632.0,0,0,0,26,102
9636.0,0,0,0,30,98
9661.0,0,0,0,32,96
9668.0,0,0,0,40,88
9750.0,0,0,0,40,88
9750.0,0,0,0,36,92
9758.0,0,0,0,36,92
9758.0,0,0,0,35,93
9775.0,0,0,0,36,92
9780.0,0,0,0,36,92
9780.0,0,0,0,34,94
9819.0,0,0,0,50,78
9887.0,0,0,0,54,74
9892.0,0,0,0,54,74
9892.0,0,0,0,46,82
9897.0,0,0,0,56,72
9899.0,0,0,0,56,72
9899.0,0,0,0,40,88
9995.0,0,0,0,56,72
10146.0,0,0,0,56,72
10146.0,0,0,0,48,80
10175.0,0,0,0,48,80
10175.0,0,0,0,47,81
10201.0,0,0,0,47,81
10203.0,0,0,0,47,81
10216.0,0,0,0,48,80
10227.0,0,0,0,56,72
10231.0,0,0,0,56,72
10231.0,0,0,0,55,73
10255.0,0,0,0,56,72
10265.0,0,0,0,56,72
10265.0,0,0,0,52,76
10290.0,0,0,0,52,76
10290.0,0,0,0,50,78
10304.0,0,0,0,50,78
10304.0,0,0,2,48,78
10367.0,0,0,2,50,76
10368.0,0,0,2,54,72
10369.0,0,0,2,54,72
10369.0,0,0,2,46,80
10462.0,0,0,2,54,72
10509.0,0,0,2,54,72
10509.0,0,0,2,46,80
10593.0,0,0,2,54,72
10826.0,0,0,2,54,72
10826.0,0,0,2,50,76
10847.0,0,0,2,50,76
10847.0,0,0,2,48,78
10951.0,0,0,2,54,72
10963.0,0,0,2,54,72
10963.0,0,0,4,52,72
10991.0,0,0,4,52,72
10991.0,0,0,12,44,72
11028.0,0,0,12,44,72
11028.0,0,0,12,40,76
11030.0,0,0,12,40,76
11030.0,0,0,20,32,76
11050.0,0,0,20,32,76
11050.0,0,0,20,30,78
11081.0,0,0,20,30,78
11081.0,0,0,24,26,78
11095.0,0,0,24,26,78
11095.0,0,0,26,24,78
11136.0,0,0,26,24,78
11136.0,0,0,30,12,86
11161.0,0,0,30,12,86
11161.0,0,0,32,10,86
11319.0,0,0,32,10,86
11319.0,0,0,40,2,86
11327.0,0,0,40,2,86
11441.0,0,0,40,2,86
11479.0,0,0,40,2,86
11495.0,0,0,40,2,86
11536.0,0,0,40,2,86
11555.0,0,0,40,10,78
11598.0,0,0,40,10,78
11692.0,0,0,40,10,78
11739.0,0,0,40,10,78
11883.0,0,0,40,10,78
12010.0,0,0,40,16,72
12010.0,0,0,40,12,76
12065.0,0,0,40,16,72
12070.0,0,0,40,48,40
12104.0,2,0,38,48,40
12110.0,2,0,38,48,40
