id,energy_consumption,energy_effective,energy_waste
0,233350691.0,160891271.0,72459420.0
1,233633051.0,165926261.0,67706790.0
2,232016540.0,165188310.0,66828230.0
3,232016721.0,165209391.0,66807330.0
4,230869181.0,162995191.0,67873990.0
5,230382291.0,163993631.0,66388660.0
6,229197284.0,162939724.0,66257560.0
7,229541184.0,163175374.0,66365810.0
8,226573870.0,162167580.0,64406290.0
9,225926252.0,160896092.0,65030160.0
10,227339138.0,160686478.0,66652660.0
11,227041574.0,159550444.0,67491130.0
12,227577877.0,160562797.0,67015080.0
13,227550727.0,160549707.0,67001020.0
14,227795801.0,160898191.0,66897610.0
15,227738424.0,160803384.0,66935040.0
16,228563060.0,162218300.0,66344760.0
17,229043072.0,163489902.0,65553170.0
18,229043434.0,163456254.0,65587180.0
19,228713471.0,163430241.0,65283230.0
20,230050699.0,165303979.0,64746720.0
21,230365458.0,166506658.0,63858800.0
22,229958932.0,166067972.0,63890960.0
23,229579194.0,165679684.0,63899510.0
24,229120359.0,168787679.0,60332680.0
25,229009044.0,168915764.0,60093280.0
26,229002347.0,169000457.0,60001890.0
27,229002347.0,168969677.0,60032670.0
28,229002347.0,168908687.0,60093660.0
29,228975559.0,168971009.0,60004550.0
30,228560526.0,168798176.0,59762350.0
31,228560526.0,168790196.0,59770330.0
32,231780154.0,165876254.0,65903900.0
33,229644354.0,164561814.0,65082540.0
34,228074541.0,161538021.0,66536520.0
35,228074541.0,161509521.0,66565020.0
36,221520531.0,148929121.0,72591410.0
37,221021695.0,149933425.0,71088270.0
38,220362493.0,147931063.0,72431430.0
39,220682682.0,148863002.0,71819680.0
40,219064180.0,147885410.0,71178770.0
41,217877001.0,146411801.0,71465200.0
42,217692924.0,146952764.0,70740160.0
43,217692924.0,146879424.0,70813500.0
44,217809307.0,146259937.0,71549370.0
45,218135107.0,146984217.0,71150890.0
46,219120109.0,148108779.0,71011330.0
47,218035919.0,147830949.0,70204970.0
48,215506806.0,144187426.0,71319380.0
49,215555495.0,144501735.0,71053760.0
50,215308249.0,142736389.0,72571860.0
51,215308249.0,142730499.0,72577750.0
52,216070983.0,143833053.0,72237930.0
53,216070983.0,144075873.0,71995110.0
54,215093583.0,143008833.0,72084750.0
55,215084533.0,143008903.0,72075630.0
56,214126862.0,141905602.0,72221260.0
57,213556531.0,142002551.0,71553980.0
58,213552911.0,141910011.0,71642900.0
59,213552911.0,141904691.0,71648220.0
60,215317842.0,144204762.0,71113080.0
61,215364902.0,144197862.0,71167040.0
62,214617372.0,144119372.0,70498000.0
63,214617372.0,144121652.0,70495720.0
64,206158699.0,127066879.0,79091820.0
65,202616529.0,125890449.0,76726080.0
66,201394417.0,124093107.0,77301310.0
67,201390435.0,124480335.0,76910100.0
68,200106240.0,122345130.0,77761110.0
69,201367629.0,122995289.0,78372340.0
70,201948277.0,126117197.0,75831080.0
71,201577770.0,125958490.0,75619280.0
72,200361450.0,124780880.0,75580570.0
73,200328689.0,125229579.0,75099110.0
74,200928523.0,126741893.0,74186630.0
75,201351701.0,127747091.0,73604610.0
76,199056802.0,125596642.0,73460160.0
77,199014448.0,125555998.0,73458450.0
78,199017525.0,125676685.0,73340840.0
79,198327553.0,124836513.0,73491040.0
80,195409109.0,120483659.0,74925450.0
81,192347856.0,119651396.0,72696460.0
82,192846149.0,120142089.0,72704060.0
83,192470212.0,120097462.0,72372750.0
84,190791799.0,118408029.0,72383770.0
85,190612609.0,118738609.0,71874000.0
86,190258392.0,117576462.0,72681930.0
87,190210246.0,117802486.0,72407760.0
88,191736800.0,118323750.0,73413050.0
89,191516704.0,118055964.0,73460740.0
90,191518152.0,118062162.0,73455990.0
91,191492269.0,118901349.0,72590920.0
92,191817888.0,119354698.0,72463190.0
93,191492088.0,118145348.0,73346740.0
94,191481952.0,118192402.0,73289550.0
95,191372085.0,117786035.0,73586050.0
96,187787742.0,104222592.0,83565150.0
97,190046803.0,114166703.0,75880100.0
98,190278845.0,112894615.0,77384230.0
99,189583986.0,112009326.0,77574660.0
100,181833928.0,101291308.0,80542620.0
101,176594340.0,93567600.0,83026740.0
102,176786019.0,97976999.0,78809020.0
103,176730995.0,97910575.0,78820420.0
104,173612365.0,89300505.0,84311860.0
105,172402018.0,86566508.0,85835510.0
106,172684921.0,87647501.0,85037420.0
107,171799469.0,87687199.0,84112270.0
108,167228495.0,80343315.0,86885180.0
109,165903937.0,81238147.0,84665790.0
110,162954904.0,74031014.0,88923890.0
111,161092776.0,72506756.0,88586020.0
112,157048512.0,70727392.0,86321120.0
113,154761939.0,68757739.0,86004200.0
114,153948163.0,67017283.0,86930880.0
115,155905135.0,68446015.0,87459120.0
116,155439965.0,68245615.0,87194350.0
117,154140204.0,68968354.0,85171850.0
118,149934126.0,66233106.0,83701020.0
119,149819372.0,64325702.0,85493670.0
120,150014852.0,66123642.0,83891210.0
121,147476508.0,62319848.0,85156660.0
122,147741311.0,63317811.0,84423500.0
123,145868323.0,61361363.0,84506960.0
124,143918048.0,58468688.0,85449360.0
125,138323338.0,56736868.0,81586470.0
126,131761183.0,51632593.0,80128590.0
127,128903555.0,51144215.0,77759340.0
