id,energy_consumption,energy_effective,energy_waste
0,234031449.0,157142839.0,76888610.0
1,233568270.0,159879410.0,73688860.0
2,233530079.0,162363329.0,71166750.0
3,233111245.0,161671605.0,71439640.0
4,230554258.0,161361178.0,69193080.0
5,230615255.0,159704385.0,70910870.0
6,230767657.0,159692247.0,71075410.0
7,230762951.0,159866901.0,70896050.0
8,231876644.0,159615634.0,72261010.0
9,229849444.0,158887554.0,70961890.0
10,231914835.0,162994545.0,68920290.0
11,227893196.0,154343506.0,73549690.0
12,227724323.0,155155033.0,72569290.0
13,228786612.0,154059542.0,74727070.0
14,229003631.0,158261911.0,70741720.0
15,229671159.0,159600759.0,70070400.0
16,227323770.0,153946650.0,73377120.0
17,225445714.0,152864554.0,72581160.0
18,223743409.0,147849829.0,75893580.0
19,223611460.0,149914330.0,73697130.0
20,225046428.0,150550398.0,74496030.0
21,225116656.0,151223926.0,73892730.0
22,224092196.0,152979976.0,71112220.0
23,224140161.0,152796901.0,71343260.0
24,224978191.0,152871651.0,72106540.0
25,222684378.0,150498508.0,72185870.0
26,222972530.0,151416750.0,71555780.0
27,224152288.0,153895398.0,70256890.0
28,224076811.0,153891171.0,70185640.0
29,223181042.0,150394632.0,72786410.0
30,221922187.0,149294997.0,72627190.0
31,222247987.0,152502577.0,69745410.0
32,222130880.0,148984370.0,73146510.0
33,221268234.0,144602344.0,76665890.0
34,222095766.0,146055976.0,76039790.0
35,221523806.0,146715976.0,74807830.0
36,221900829.0,141766919.0,80133910.0
37,222317853.0,141027793.0,81290060.0
38,221665529.0,139707139.0,81958390.0
39,221572314.0,144589504.0,76982810.0
40,218014578.0,136813908.0,81200670.0
41,218687536.0,138850876.0,79836660.0
42,218270874.0,140377674.0,77893200.0
43,218720297.0,139314747.0,79405550.0
44,218698939.0,138716739.0,79982200.0
45,218385628.0,138327998.0,80057630.0
46,218678667.0,137621257.0,81057410.0
47,214699925.0,133490745.0,81209180.0
48,216881699.0,133075409.0,83806290.0
49,216846042.0,131676502.0,85169540.0
50,218634865.0,133766575.0,84868290.0
51,219150534.0,135177434.0,83973100.0
52,218894419.0,133655159.0,85239260.0
53,217976749.0,135597939.0,82378810.0
54,216787579.0,131790849.0,84996730.0
55,216987041.0,132979451.0,84007590.0
56,218876138.0,135523148.0,83352990.0
57,217771676.0,137310536.0,80461140.0
58,217331846.0,137767126.0,79564720.0
59,218305264.0,140480754.0,77824510.0
60,218582375.0,139331345.0,79251030.0
61,215546462.0,137611892.0,77934570.0
62,216166930.0,137394890.0,78772040.0
63,215899593.0,138426773.0,77472820.0
64,217529860.0,125769560.0,91760300.0
65,212261131.0,126577691.0,85683440.0
66,209699076.0,125113506.0,84585570.0
67,209729484.0,124757354.0,84972130.0
68,208490901.0,124147671.0,84343230.0
69,209982884.0,126394954.0,83587930.0
70,212212804.0,130213754.0,81999050.0
71,211154497.0,127215927.0,83938570.0
72,211240110.0,128060640.0,83179470.0
73,209007113.0,125214793.0,83792320.0
74,208293973.0,122710853.0,85583120.0
75,208670634.0,124369064.0,84301570.0
76,205943869.0,117724879.0,88218990.0
77,204473787.0,118491477.0,85982310.0
78,204304190.0,117500700.0,86803490.0
79,205102400.0,118919880.0,86182520.0
80,203382719.0,115930999.0,87451720.0
81,202696367.0,113493747.0,89202620.0
82,204777324.0,115948244.0,88829080.0
83,204303285.0,115098765.0,89204520.0
84,205358877.0,117207387.0,88151490.0
85,206149123.0,117858603.0,88290520.0
86,205818074.0,117055924.0,88762150.0
87,205195615.0,113799255.0,91396360.0
88,205675446.0,115256686.0,90418760.0
89,206694114.0,114954234.0,91739880.0
90,206189124.0,114922204.0,91266920.0
91,205530284.0,115993694.0,89536590.0
92,205175343.0,117000293.0,88175050.0
93,203090947.0,114349837.0,88741110.0
94,201363302.0,114003062.0,87360240.0
95,200594776.0,111063166.0,89531610.0
96,202352286.0,109401956.0,92950330.0
97,198364132.0,106855572.0,91508560.0
98,202917549.0,114709339.0,88208210.0
99,201317690.0,114376920.0,86940770.0
100,198421871.0,107677911.0,90743960.0
101,195353197.0,104328037.0,91025160.0
102,192865352.0,105627562.0,87237790.0
103,191859173.0,102672313.0,89186860.0
104,190163746.0,101563176.0,88600570.0
105,191077434.0,104496284.0,86581150.0
106,184825513.0,97013203.0,87812310.0
107,187290552.0,100840592.0,86449960.0
108,185670783.0,97730743.0,87940040.0
109,184564511.0,98505141.0,86059370.0
110,184469124.0,97204444.0,87264680.0
111,186019389.0,97782149.0,88237240.0
112,182964833.0,93194293.0,89770540.0
113,181343616.0,94249706.0,87093910.0
114,182764466.0,97068626.0,85695840.0
115,181998293.0,93775783.0,88222510.0
116,181500905.0,93873425.0,87627480.0
117,180016162.0,94410902.0,85605260.0
118,179824302.0,95602482.0,84221820.0
119,178770339.0,95076099.0,83694240.0
120,184697365.0,95209505.0,89487860.0
121,184798363.0,97915023.0,86883340.0
122,182200832.0,91680132.0,90520700.0
123,181772948.0,90498658.0,91274290.0
124,173989224.0,85279084.0,88710140.0
125,174529147.0,89650497.0,84878650.0
126,171419748.0,88145738.0,83274010.0
127,171838401.0,89634091.0,82204310.0
