id,energy_consumption,energy_effective,energy_waste
0,244726015.0,171641985.0,73084030.0
1,240365001.0,173039781.0,67325220.0
2,240710530.0,172383630.0,68326900.0
3,240716322.0,172288722.0,68427600.0
4,239165876.0,172592676.0,66573200.0
5,239160084.0,174650284.0,64509800.0
6,237260670.0,173623160.0,63637510.0
7,237260670.0,173313270.0,63947400.0
8,236970346.0,174063196.0,62907150.0
9,235451213.0,176202133.0,59249080.0
10,235402705.0,176307145.0,59095560.0
11,235402705.0,176266105.0,59136600.0
12,234980975.0,176008295.0,58972680.0
13,234980975.0,175948445.0,59032530.0
14,235165595.0,176358455.0,58807140.0
15,235165595.0,176326725.0,58838870.0
16,237353523.0,178985333.0,58368190.0
17,237675160.0,177876510.0,59798650.0
18,237675160.0,178026230.0,59648930.0
19,237347912.0,177384102.0,59963810.0
20,237376148.0,178141748.0,59234400.0
21,237365107.0,178128427.0,59236680.0
22,237359858.0,177963388.0,59396470.0
23,237331622.0,177435262.0,59896360.0
24,237322391.0,175809511.0,61512880.0
25,236996591.0,175742631.0,61253960.0
26,236990437.0,175557307.0,61433130.0
27,236990437.0,175534317.0,61456120.0
28,237316418.0,176843028.0,60473390.0
29,237344654.0,176973104.0,60371550.0
30,237262480.0,177024310.0,60238170.0
31,237262480.0,177023170.0,60239310.0
32,237926750.0,166601080.0,71325670.0
33,237059579.0,165522339.0,71537240.0
34,235717283.0,164228253.0,71489030.0
35,235717283.0,163801893.0,71915390.0
36,233465824.0,156308754.0,77157070.0
37,232277921.0,155812071.0,76465850.0
38,232366973.0,156221273.0,76145700.0
39,232366973.0,156031463.0,76335510.0
40,233615873.0,154535483.0,79080390.0
41,233279394.0,154635194.0,78644200.0
42,231646231.0,151915561.0,79730670.0
43,231600800.0,151877540.0,79723260.0
44,231600800.0,151628070.0,79972730.0
45,232978391.0,151923471.0,81054920.0
46,232322447.0,151787367.0,80535080.0
47,231817095.0,151355735.0,80461360.0
48,231113367.0,150890267.0,80223100.0
49,230787567.0,150922187.0,79865380.0
50,230613264.0,152349204.0,78264060.0
51,230613264.0,152478404.0,78134860.0
52,230613264.0,152367634.0,78245630.0
53,230613264.0,152364214.0,78249050.0
54,230287464.0,152278714.0,78008750.0
55,230287464.0,152281754.0,78005710.0
56,230284206.0,152064746.0,78219460.0
57,230278052.0,152070942.0,78207110.0
58,229431153.0,152084693.0,77346460.0
59,229117842.0,152059232.0,77058610.0
60,229117842.0,151988552.0,77129290.0
61,229607085.0,151876395.0,77730690.0
62,229865734.0,152403374.0,77462360.0
63,229862657.0,152402957.0,77459700.0
64,220959991.0,126519121.0,94440870.0
65,212876531.0,122903881.0,89972650.0
66,210446968.0,119159468.0,91287500.0
67,210121892.0,118766702.0,91355190.0
68,210922093.0,119770823.0,91151270.0
69,210882454.0,119173344.0,91709110.0
70,210624891.0,121200481.0,89424410.0
71,210615841.0,121146781.0,89469060.0
72,208682037.0,116510457.0,92171580.0
73,208558595.0,116795325.0,91763270.0
74,208880594.0,117615934.0,91264660.0
75,208546106.0,117535616.0,91010490.0
76,204435596.0,113872886.0,90562710.0
77,204431433.0,113631793.0,90799640.0
78,204431433.0,111063373.0,93368060.0
79,204431433.0,110380703.0,94050730.0
80,200218296.0,104801696.0,95416600.0
81,197502572.0,104696432.0,92806140.0
82,197176772.0,104295342.0,92881430.0
83,197170437.0,104291477.0,92878960.0
84,197496237.0,105157497.0,92338740.0
85,197451530.0,103448770.0,94002760.0
86,196352136.0,102184646.0,94167490.0
87,195396637.0,101485787.0,93910850.0
88,195788140.0,102303270.0,93484870.0
89,195775108.0,102309998.0,93465110.0
90,195777280.0,102521360.0,93255920.0
91,195777280.0,102521360.0,93255920.0
92,196432862.0,101861572.0,94571290.0
93,196342724.0,102280824.0,94061900.0
94,196338561.0,101730791.0,94607770.0
95,196338561.0,101713501.0,94625060.0
96,193294322.0,99971662.0,93322660.0
97,190832903.0,98972483.0,91860420.0
98,190844306.0,97691696.0,93152610.0
99,191203772.0,97319852.0,93883920.0
100,188397367.0,90869337.0,97528030.0
101,186394964.0,89972214.0,96422750.0
102,184646685.0,89452235.0,95194450.0
103,184190746.0,89350026.0,94840720.0
104,180354994.0,83192614.0,97162380.0
105,180713374.0,83232174.0,97481200.0
106,176648657.0,79957327.0,96691330.0
107,178276933.0,83916623.0,94360310.0
108,171074943.0,72825803.0,98249140.0
109,167605897.0,72863207.0,94742690.0
110,167172945.0,72787695.0,94385250.0
111,166250207.0,72413867.0,93836340.0
112,162650117.0,63534477.0,99115640.0
113,160900571.0,64920411.0,95980160.0
114,161089716.0,63697896.0,97391820.0
115,160689163.0,62593723.0,98095440.0
116,158881335.0,61880765.0,97000570.0
117,157367813.0,60850513.0,96517300.0
118,156095926.0,58093636.0,98002290.0
119,156162534.0,57927634.0,98234900.0
120,154659510.0,52774890.0,101884620.0
121,151120417.0,52054217.0,99066200.0
122,148447771.0,49771441.0,98676330.0
123,147934998.0,49597248.0,98337750.0
124,145648968.0,51308728.0,94340240.0
125,141937020.0,50751730.0,91185290.0
126,135595866.0,48929256.0,86666610.0
127,127678564.0,47760334.0,79918230.0
