time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.0,0,0,0,128,0
0.0,0,0,0,124,4
132.0,0,0,0,128,0
256.0,0,0,0,128,0
256.0,0,0,0,127,1
297.0,0,0,0,127,1
297.0,0,0,0,123,5
321.0,0,0,0,127,1
328.0,0,0,0,127,1
328.0,0,0,0,126,2
337.0,0,0,0,127,1
367.0,0,0,0,128,0
455.0,0,0,0,128,0
455.0,0,0,0,127,1
490.0,0,0,0,127,1
490.0,0,0,0,111,17
494.0,0,0,0,111,17
494.0,0,0,0,79,49
571.0,0,0,0,80,48
576.0,0,0,0,80,48
576.0,0,0,0,72,56
729.0,0,0,0,80,48
871.0,0,0,0,80,48
871.0,0,0,0,72,56
900.0,0,0,0,72,56
900.0,0,0,72,0,56
1016.0,0,0,72,8,48
1249.0,0,0,72,40,16
1300.0,0,0,72,40,16
1300.0,0,0,72,36,20
1307.0,0,0,72,36,20
1307.0,0,0,72,35,21
1316.0,0,0,72,35,21
1316.0,0,0,72,19,37
1326.0,0,0,72,19,37
1326.0,0,0,72,18,38
1343.0,0,0,72,18,38
1343.0,0,0,72,16,40
1360.0,0,0,72,17,39
1375.0,0,0,72,18,38
1500.0,0,0,72,22,34
1506.0,0,0,72,38,18
1535.0,0,0,72,38,18
1535.0,0,0,72,6,50
1611.0,0,0,72,22,34
1651.0,0,0,72,22,34
1681.0,0,0,72,24,32
1795.0,0,0,72,24,32
1817.0,0,0,72,24,32
1875.0,0,0,72,56,0
1875.0,0,0,72,18,38
1903.0,0,0,72,20,36
1906.0,0,0,72,20,36
1906.0,0,0,72,16,40
1913.0,0,0,72,20,36
1916.0,0,0,72,20,36
1916.0,0,0,78,14,36
1924.0,0,0,78,14,36
1927.0,0,0,78,14,36
2030.0,0,0,78,14,36
2349.0,0,0,78,14,36
2700.0,72,0,6,14,36
2775.0,72,0,6,14,36
2775.0,72,0,16,4,36
2800.0,72,0,16,4,36
2800.0,44,28,16,4,36
2813.0,44,28,16,4,36
2846.0,44,28,16,4,36
2846.0,36,36,16,4,36
2889.0,36,36,16,4,36
2889.0,4,68,16,4,36
2934.0,4,68,16,8,32
2953.0,4,68,16,8,32
2953.0,3,69,16,8,32
3239.0,3,69,16,8,32
3252.0,3,69,16,8,32
3267.0,3,69,16,8,32
3716.0,9,69,10,8,32
3834.0,9,69,10,8,32
3968.0,9,69,10,8,32
4150.0,9,69,10,8,32
4150.0,9,69,10,6,34
4161.0,9,69,10,6,34
4175.0,9,69,10,8,32
4297.0,9,69,10,8,32
4297.0,9,69,10,4,36
4338.0,9,69,10,8,32
4575.0,19,69,0,8,32
4575.0,3,85,0,8,32
5044.0,3,85,0,8,32
5075.0,3,85,0,8,32
5114.0,3,85,0,8,32
5175.0,3,85,0,8,32
5175.0,3,85,0,0,40
5238.0,3,85,0,0,40
5253.0,3,85,0,8,32
5274.0,3,85,0,8,32
5328.0,3,85,0,40,0
5328.0,3,85,0,4,36
5405.0,3,85,0,5,35
5450.0,3,85,0,5,35
5482.0,3,85,0,6,34
5500.0,3,57,0,34,34
5500.0,3,57,0,2,66
5546.0,3,49,0,10,66
5546.0,3,49,0,2,74
5587.0,3,49,0,2,74
5589.0,3,17,0,34,74
5589.0,3,17,0,1,107
5589.0,0,20,0,1,107
5608.0,0,20,0,2,106
5653.0,0,19,0,3,106
5720.0,0,19,0,35,74
5720.0,0,19,0,3,106
5731.0,0,19,0,3,106
5815.0,0,19,0,3,106
5868.0,0,19,0,35,74
5868.0,0,19,0,3,106
5876.0,0,19,0,19,90
5876.0,0,19,0,3,106
5962.0,0,19,0,19,90
6153.0,0,19,0,19,90
6193.0,0,19,0,19,90
6193.0,0,19,0,15,94
6238.0,0,19,0,19,90
6339.0,0,19,0,21,88
6400.0,0,19,0,21,88
6428.0,0,19,0,53,56
6428.0,0,19,0,21,88
6446.0,0,19,0,21,88
6489.0,0,19,0,21,88
6508.0,0,19,0,21,88
6553.0,0,19,0,21,88
6675.0,0,19,0,21,88
6862.0,0,19,0,21,88
6928.0,0,19,0,21,88
6935.0,0,19,0,21,88
6994.0,0,19,0,37,72
6994.0,0,19,0,5,104
7007.0,0,19,0,5,104
7067.0,0,19,0,5,104
7125.0,0,19,0,5,104
7138.0,0,19,0,5,104
7161.0,0,19,0,5,104
7168.0,0,19,0,5,104
7220.0,0,19,0,37,72
7220.0,0,19,0,5,104
7224.0,0,19,0,5,104
7267.0,0,19,0,5,104
7275.0,0,3,0,21,104
7275.0,0,3,0,5,120
7304.0,0,3,0,37,88
7304.0,0,3,0,21,104
7344.0,0,3,0,29,96
7346.0,0,3,0,37,88
7346.0,0,3,0,5,120
7351.0,0,3,0,13,112
7351.0,0,3,0,5,120
7385.0,0,3,0,5,120
7388.0,0,3,0,5,120
7391.0,0,3,0,13,112
7391.0,0,3,0,5,120
7448.0,0,3,0,13,112
7448.0,0,3,0,5,120
7450.0,0,3,0,13,112
7450.0,0,3,0,5,120
7451.0,0,3,0,5,120
7466.0,0,3,0,13,112
7466.0,0,3,0,5,120
7518.0,0,3,0,13,112
7538.0,0,3,0,21,104
7556.0,0,3,0,21,104
7558.0,0,3,0,21,104
7572.0,0,3,0,53,72
7572.0,0,3,0,5,120
7658.0,0,3,0,13,112
7680.0,0,3,0,21,104
7688.0,0,3,0,53,72
7688.0,0,3,0,5,120
7688.0,0,3,3,2,120
7698.0,0,3,3,2,120
7780.0,0,3,3,10,112
7807.0,0,3,3,42,80
7807.0,0,3,3,2,120
7813.0,0,3,3,10,112
7813.0,0,3,3,2,120
7817.0,0,3,3,10,112
7817.0,0,3,3,2,120
7822.0,0,3,3,2,120
7878.0,0,3,3,10,112
7878.0,0,3,3,1,121
7880.0,0,3,3,9,113
7892.0,0,3,3,9,113
7892.0,0,3,3,8,114
7894.0,0,3,3,8,114
7894.0,0,3,4,7,114
7917.0,0,3,4,8,113
7923.0,0,3,4,8,113
7923.0,0,3,4,4,117
7933.0,0,3,4,5,116
7945.0,0,3,4,5,116
7945.0,0,3,4,3,118
7970.0,0,3,4,35,86
7977.0,0,3,4,43,78
8010.0,0,3,4,43,78
8010.0,0,3,4,42,79
8013.0,0,3,4,43,78
8045.0,0,3,4,47,74
8047.0,0,3,4,49,72
8289.0,0,0,4,52,72
8466.0,0,0,4,52,72
8466.0,0,0,4,44,80
8549.0,0,0,4,52,72
8772.0,0,0,4,52,72
8772.0,0,0,4,48,76
8780.0,0,0,4,48,76
8780.0,0,0,6,46,76
8795.0,0,0,6,46,76
8795.0,0,0,6,44,78
8811.0,0,0,6,50,72
8831.0,0,0,6,50,72
8831.0,0,0,6,46,76
8833.0,0,0,6,46,76
8833.0,0,0,7,45,76
8852.0,0,0,7,45,76
8852.0,0,0,7,43,78
8870.0,0,0,7,43,78
8870.0,0,0,31,19,78
8877.0,0,0,31,19,78
8877.0,0,0,39,11,78
8928.0,0,0,39,17,72
8945.0,0,0,39,17,72
8945.0,0,0,43,13,72
8947.0,0,0,43,13,72
8947.0,0,0,45,11,72
9003.0,0,0,45,11,72
9003.0,0,0,45,9,74
9023.0,0,0,45,11,72
9047.0,0,0,45,11,72
9047.0,0,0,45,7,76
9085.0,0,0,45,11,72
9098.0,0,0,45,11,72
9098.0,0,0,45,7,76
9121.0,0,0,45,7,76
9121.0,0,0,45,5,78
9137.0,0,0,45,5,78
9144.0,0,0,45,11,72
9144.0,0,0,45,3,80
9189.0,0,0,45,11,72
9189.0,0,0,48,8,72
9196.0,0,0,48,8,72
9196.0,0,0,48,6,74
9208.0,0,0,48,6,74
9208.0,0,0,48,2,78
9233.0,0,0,48,2,78
9233.0,0,0,48,0,80
9240.0,0,0,48,0,80
9265.0,0,0,48,2,78
9381.0,0,0,48,2,78
9451.0,0,0,48,2,78
9488.0,3,0,45,2,78
9541.0,3,0,45,2,78
9565.0,3,0,45,2,78
9569.0,3,0,45,2,78
9572.0,3,0,45,2,78
9581.0,3,0,45,6,74
9588.0,3,0,45,8,72
9588.0,3,0,45,0,80
9588.0,1,2,45,0,80
9594.0,1,2,45,0,80
9632.0,1,2,45,0,80
9675.0,1,2,45,8,72
9675.0,1,2,45,0,80
9694.0,2,2,44,0,80
9715.0,2,2,44,8,72
9715.0,2,2,44,0,80
9750.0,2,2,44,0,80
9758.0,2,2,44,0,80
9780.0,2,2,44,0,80
9794.0,2,2,44,8,72
9794.0,2,2,44,7,73
9798.0,2,2,44,8,72
9798.0,2,2,44,0,80
9892.0,2,2,44,0,80
9899.0,2,2,44,0,80
9901.0,2,2,44,8,72
10089.0,2,2,44,8,72
10146.0,2,2,44,8,72
10165.0,2,2,44,8,72
10175.0,2,2,44,8,72
10231.0,2,2,44,8,72
10265.0,2,2,44,8,72
10290.0,2,2,44,8,72
10369.0,2,2,44,8,72
10509.0,2,2,44,8,72
10509.0,2,2,44,0,80
10580.0,4,2,42,0,80
10593.0,4,2,42,8,72
10633.0,5,2,41,8,72
10670.0,29,2,17,8,72
10670.0,1,30,17,8,72
10677.0,9,30,9,8,72
10677.0,1,38,9,8,72
10694.0,1,38,9,8,72
10745.0,5,38,5,8,72
10747.0,7,38,3,8,72
10757.0,7,38,3,40,40
10757.0,7,38,3,2,78
10762.0,7,38,3,10,70
10774.0,7,38,3,11,69
10786.0,7,38,3,13,67
10799.0,7,38,3,18,62
10799.0,7,38,3,2,78
10801.0,7,38,3,2,78
10826.0,7,38,3,2,78
10847.0,7,38,3,2,78
10874.0,7,38,3,4,76
10894.0,7,38,3,8,72
10894.0,7,38,3,0,80
10895.0,7,38,3,16,64
10895.0,7,38,3,0,80
10919.0,7,38,3,1,79
10936.0,7,38,3,2,78
10972.0,7,38,3,4,76
10972.0,7,38,3,0,80
10975.0,7,38,3,8,72
10975.0,7,38,3,6,74
10988.0,7,38,3,14,66
10989.0,10,38,0,14,66
10998.0,10,38,0,18,62
11007.0,10,38,0,34,46
11028.0,10,38,0,34,46
11028.0,10,38,0,30,50
11050.0,10,38,0,30,50
11050.0,10,38,0,28,52
11079.0,10,38,0,30,50
11097.0,10,38,0,34,46
