job_id,subtime,start_time,waiting,res,idle_nodes_at_arrival
37152,438512.0,442595.0,4083.0,4,4
37153,438540.0,442595.0,4055.0,2,4
40913,1045743.0,1048484.0,2741.0,8,25
37162,439923.0,442623.0,2700.0,8,15
37967,531879.0,534579.0,2700.0,16,60
40493,976466.0,979166.0,2700.0,8,18
41510,1121503.0,1124203.0,2700.0,16,20
40139,941633.0,944324.0,2691.0,4,8
37681,506333.0,508812.0,2479.0,1,24
42028,1771039.0,1773487.0,2448.0,4,4
38282,604643.0,607042.0,2399.0,8,26
34342,19293.0,21636.0,2343.0,8,8
35944,280488.0,282826.0,2338.0,16,28
35889,275544.0,277780.0,2236.0,1,1
40957,1048795.0,1050863.0,2068.0,8,26
36156,329076.0,331115.0,2039.0,32,127
39837,885602.0,887634.0,2032.0,4,18
36375,346337.0,348292.0,1955.0,32,32
37282,448757.0,450712.0,1955.0,8,32
38489,626292.0,628236.0,1944.0,4,31
38490,626313.0,628236.0,1923.0,2,31
35773,265211.0,267123.0,1912.0,1,30
42004,1748165.0,1750028.0,1863.0,8,12
35994,298131.0,299990.0,1859.0,32,32
35652,256576.0,258413.0,1837.0,32,32
40334,961894.0,963702.0,1808.0,2,2
35653,256614.0,258413.0,1799.0,8,32
37008,425907.0,427634.0,1727.0,32,32
39733,875790.0,877501.0,1711.0,2,2
37232,446093.0,447793.0,1700.0,8,34
35709,260474.0,262055.0,1581.0,8,24
38310,607111.0,608672.0,1561.0,8,14
39824,883765.0,885308.0,1543.0,16,16
38343,610982.0,612519.0,1537.0,4,28
39752,876809.0,878341.0,1532.0,16,30
40518,982070.0,983536.0,1466.0,4,30
40802,1037281.0,1038709.0,1428.0,8,12
35826,270419.0,271837.0,1418.0,8,24
35554,250668.0,252014.0,1346.0,8,8
39229,785403.0,786709.0,1306.0,64,64
39751,876808.0,878057.0,1249.0,16,30
39740,876304.0,877501.0,1197.0,1,8
39881,908803.0,909961.0,1158.0,32,96
36520,359316.0,360444.0,1128.0,32,36
34256,13947.0,15035.0,1088.0,16,26
39882,908878.0,909961.0,1083.0,4,96
37279,448609.0,449681.0,1072.0,2,14
36316,342471.0,343528.0,1057.0,4,14
38041,545865.0,546917.0,1052.0,1,60
37017,427176.0,428208.0,1032.0,32,32
36318,342498.0,343528.0,1030.0,2,31
35747,263788.0,264797.0,1009.0,2,26
38043,545941.0,546917.0,976.0,16,60
35564,251060.0,252014.0,954.0,4,56
34825,98992.0,99939.0,947.0,32,32
35733,262125.0,262943.0,818.0,4,23
35749,264023.0,264797.0,774.0,4,30
35934,279601.0,280352.0,751.0,32,63
34230,12110.0,12851.0,741.0,4,26
37024,427467.0,428208.0,741.0,16,31
34231,12135.0,12851.0,716.0,2,26
41542,1124189.0,1124895.0,706.0,4,4
35751,264106.0,264797.0,691.0,1,30
37009,425936.0,426622.0,686.0,32,32
40898,1044849.0,1045506.0,657.0,1,24
34675,80027.0,80674.0,647.0,2,32
39653,868284.0,868930.0,646.0,4,15
41500,1120813.0,1121393.0,580.0,8,28
36241,336572.0,337137.0,565.0,4,24
39790,880051.0,880603.0,552.0,8,10
39655,868381.0,868930.0,549.0,4,16
37231,446086.0,446624.0,538.0,4,26
37719,509603.0,510112.0,509.0,2,8
34246,13009.0,13464.0,455.0,4,26
36501,357349.0,357788.0,439.0,4,47
34248,13032.0,13464.0,432.0,2,26
35938,279934.0,280352.0,418.0,4,55
38176,595225.0,595638.0,413.0,4,32
40846,1040395.0,1040792.0,397.0,8,24
40847,1040398.0,1040792.0,394.0,4,24
41459,1117298.0,1117655.0,357.0,1,16
39772,878721.0,879049.0,328.0,4,16
39785,879803.0,880129.0,326.0,4,10
39773,878743.0,879049.0,306.0,2,16
37239,446343.0,446624.0,281.0,4,6
39786,879826.0,880107.0,281.0,2,10
38178,595364.0,595638.0,274.0,32,32
39865,894647.0,894883.0,236.0,1,24
36596,368707.0,368933.0,226.0,8,31
38859,692786.0,692991.0,205.0,64,64
36374,346329.0,346511.0,182.0,2,32
34394,22908.0,23085.0,177.0,2,24
41535,1123863.0,1124037.0,174.0,4,8
38070,551710.0,551875.0,165.0,1,101
41009,1056214.0,1056373.0,159.0,4,28
35680,258278.0,258413.0,135.0,8,24
35838,271741.0,271837.0,96.0,16,40
35915,277710.0,277804.0,94.0,4,32
36311,342375.0,342419.0,44.0,1,15
34217,11327.0,11354.0,27.0,4,8
37099,434072.0,434099.0,27.0,1,26
