node,switch_off_start,switch_off_end,job_id,job_subtime,job_res,candidate_start_if_not_switched_off,actual_start,avoidable_delay,idle_at_candidate_actual,off_duration,on_duration_before_job_start,transition_time_sum_before_job_start,node_in_actual_job_allocation,switch_off_row
25,546273.0,548073.0,38045,546257.0,1,546273.0,547966.0,1693.0,0,1800.0,,1800.0,False,4110
2,884884.0,886684.0,39833,884664.0,1,884920.0,886438.0,1518.0,0,1800.0,,1800.0,False,5691
3,884884.0,886684.0,39833,884664.0,1,884920.0,886438.0,1518.0,0,1800.0,,1800.0,False,5691
4,884884.0,886684.0,39833,884664.0,1,884920.0,886438.0,1518.0,0,1800.0,,1800.0,False,5691
5,884884.0,886684.0,39833,884664.0,1,884920.0,886438.0,1518.0,0,1800.0,,1800.0,False,5691
47,884920.0,886720.0,39833,884664.0,1,884920.0,886438.0,1518.0,0,1800.0,,1800.0,False,5692
67,884920.0,886720.0,39833,884664.0,1,884920.0,886438.0,1518.0,0,1800.0,,1800.0,False,5692
53,265360.0,267160.0,35776,265355.0,1,265360.0,266728.0,1368.0,0,1800.0,,1800.0,False,1515
54,265360.0,267160.0,35776,265355.0,1,265360.0,266728.0,1368.0,0,1800.0,,1800.0,False,1515
95,446369.0,448169.0,37236,446196.0,1,446369.0,447593.0,1224.0,0,1800.0,,1800.0,False,3351
92,537853.0,539653.0,38004,537434.0,1,537853.0,539026.0,1173.0,0,1800.0,,1800.0,False,4024
119,959881.0,961681.0,40302,959353.0,8,959881.0,960862.0,981.0,7,1800.0,,1800.0,False,6120
16,893269.0,895069.0,39859,893155.0,1,893269.0,894200.0,931.0,0,1800.0,,1800.0,False,5758
17,893269.0,895069.0,39859,893155.0,1,893269.0,894200.0,931.0,0,1800.0,,1800.0,False,5758
19,893269.0,895069.0,39859,893155.0,1,893269.0,894200.0,931.0,0,1800.0,,1800.0,False,5758
20,893269.0,895069.0,39859,893155.0,1,893269.0,894200.0,931.0,0,1800.0,,1800.0,False,5758
69,547119.0,548919.0,38050,546650.0,1,547119.0,548040.0,921.0,0,1800.0,,1800.0,False,4112
109,948458.0,950258.0,40198,946812.0,2,948508.0,949272.0,764.0,1,1800.0,,1800.0,False,5956
110,948458.0,950258.0,40198,946812.0,2,948508.0,949272.0,764.0,1,1800.0,,1800.0,False,5956
111,948458.0,950258.0,40198,946812.0,2,948508.0,949272.0,764.0,1,1800.0,,1800.0,False,5956
1,703926.0,705726.0,38907,703692.0,1,703926.0,704644.0,718.0,0,1800.0,,1800.0,False,4916
108,948853.0,950653.0,40197,946790.0,4,948853.0,949272.0,419.0,3,1800.0,,1800.0,False,5964
110,1039282.0,1041082.0,40823,1038698.0,2,1039282.0,1039650.0,368.0,1,1800.0,,1800.0,False,6641
111,1039282.0,1041082.0,40823,1038698.0,2,1039282.0,1039650.0,368.0,1,1800.0,,1800.0,False,6641
112,1039282.0,1041082.0,40823,1038698.0,2,1039282.0,1039650.0,368.0,1,1800.0,,1800.0,False,6641
86,525953.0,527753.0,37898,525299.0,1,525953.0,526286.0,333.0,0,1800.0,,1800.0,False,3859
109,1039346.0,1041146.0,40821,1038535.0,1,1039346.0,1039650.0,304.0,0,1800.0,,1800.0,False,6642
12,976347.0,978147.0,40490,975655.0,2,976351.0,976599.0,248.0,1,1800.0,,1800.0,False,6371
0,976351.0,978151.0,40490,975655.0,2,976351.0,976599.0,248.0,1,1800.0,,1800.0,False,6372
13,976358.0,978158.0,40491,976141.0,1,976358.0,976599.0,241.0,0,1800.0,,1800.0,False,6373
