node,switch_on_start,switch_on_end,next_kind,delay_to_next_compute,switch_on_row
3,2953.0,5653.0,idle,9324.0,27
32,72437.0,75137.0,idle,47.0,546
33,72437.0,75137.0,idle,47.0,546
65,108870.0,111570.0,idle,7085.0,860
66,108870.0,111570.0,idle,7085.0,860
67,108870.0,111570.0,idle,7085.0,860
68,108870.0,111570.0,idle,7085.0,860
69,108870.0,111570.0,idle,7085.0,860
70,108870.0,111570.0,idle,7085.0,860
71,108870.0,111570.0,idle,7085.0,860
72,108870.0,111570.0,idle,7085.0,860
73,108870.0,111570.0,idle,7085.0,860
74,108870.0,111570.0,idle,7085.0,860
75,108870.0,111570.0,idle,7085.0,860
76,108870.0,111570.0,idle,7085.0,860
77,108870.0,111570.0,idle,7085.0,860
78,108870.0,111570.0,idle,7085.0,860
79,108870.0,111570.0,idle,7085.0,860
80,108870.0,111570.0,idle,7085.0,860
81,108870.0,111570.0,idle,7085.0,860
82,108870.0,111570.0,idle,7085.0,860
83,108870.0,111570.0,idle,7085.0,860
84,108870.0,111570.0,idle,7085.0,860
85,108870.0,111570.0,idle,7085.0,860
86,108870.0,111570.0,idle,7085.0,860
87,108870.0,111570.0,idle,7085.0,860
88,108870.0,111570.0,idle,7085.0,860
89,108870.0,111570.0,idle,7085.0,860
90,108870.0,111570.0,idle,7085.0,860
91,108870.0,111570.0,idle,7085.0,860
92,108870.0,111570.0,idle,7085.0,860
93,108870.0,111570.0,idle,7085.0,860
94,108870.0,111570.0,idle,7085.0,860
95,108870.0,111570.0,idle,7085.0,860
109,264248.0,266948.0,idle,5097.0,1447
114,264322.0,267022.0,idle,5023.0,1449
56,280436.0,283136.0,idle,699.0,1746
57,280436.0,283136.0,idle,926.0,1746
62,280436.0,283136.0,idle,926.0,1746
63,280436.0,283136.0,idle,926.0,1746
68,280436.0,283136.0,idle,926.0,1746
69,280436.0,283136.0,idle,926.0,1746
70,280436.0,283136.0,idle,926.0,1746
71,280436.0,283136.0,idle,926.0,1746
72,280436.0,283136.0,idle,926.0,1746
73,280436.0,283136.0,idle,926.0,1746
113,280436.0,283136.0,idle,926.0,1746
114,280436.0,283136.0,idle,926.0,1746
32,292950.0,295650.0,idle,2625.0,1852
33,292950.0,295650.0,idle,2625.0,1852
34,292950.0,295650.0,idle,2625.0,1852
35,292950.0,295650.0,idle,2625.0,1852
36,292950.0,295650.0,idle,2625.0,1852
37,292950.0,295650.0,idle,2625.0,1852
38,292950.0,295650.0,idle,2625.0,1852
39,292950.0,295650.0,idle,2625.0,1852
40,292968.0,295668.0,idle,2607.0,1853
13,375246.0,377946.0,idle,2085.0,2598
72,377360.0,380060.0,idle,167.0,2626
0,424813.0,427513.0,idle,7.0,2873
1,424813.0,427513.0,idle,28.0,2873
2,424813.0,427513.0,idle,28.0,2873
3,424813.0,427513.0,idle,28.0,2873
4,424813.0,427513.0,idle,28.0,2873
5,424813.0,427513.0,idle,28.0,2873
6,424813.0,427513.0,idle,28.0,2873
7,424813.0,427513.0,idle,28.0,2873
8,424813.0,427513.0,idle,28.0,2873
9,424813.0,427513.0,idle,28.0,2873
10,424813.0,427513.0,idle,28.0,2873
11,424813.0,427513.0,idle,28.0,2873
12,424813.0,427513.0,idle,28.0,2873
13,424813.0,427513.0,idle,28.0,2873
14,424813.0,427513.0,idle,28.0,2873
15,424813.0,427513.0,idle,28.0,2873
16,424813.0,427513.0,idle,28.0,2873
17,424813.0,427513.0,idle,28.0,2873
18,424813.0,427513.0,idle,28.0,2873
19,424813.0,427513.0,idle,28.0,2873
20,424813.0,427513.0,idle,28.0,2873
21,424813.0,427513.0,idle,28.0,2873
22,424813.0,427513.0,idle,28.0,2873
23,424813.0,427513.0,idle,28.0,2873
24,424813.0,427513.0,idle,28.0,2873
25,424813.0,427513.0,idle,28.0,2873
39,438523.0,441223.0,idle,112.0,3113
44,438523.0,441223.0,idle,112.0,3113
45,438523.0,441223.0,idle,112.0,3113
46,438523.0,441223.0,idle,112.0,3113
47,438523.0,441223.0,idle,112.0,3113
51,438523.0,441223.0,idle,112.0,3113
96,438523.0,441223.0,idle,112.0,3113
97,438523.0,441223.0,idle,112.0,3113
98,438523.0,441223.0,idle,112.0,3113
99,438523.0,441223.0,idle,112.0,3113
73,504705.0,507405.0,idle,371.0,3439
74,504705.0,507405.0,idle,371.0,3439
75,504705.0,507405.0,idle,371.0,3439
120,508716.0,511416.0,idle,475.0,3487
121,508716.0,511416.0,idle,475.0,3487
122,508716.0,511416.0,idle,475.0,3487
123,508716.0,511416.0,idle,475.0,3487
124,508716.0,511416.0,idle,475.0,3487
125,508716.0,511416.0,idle,475.0,3487
126,508716.0,511416.0,idle,475.0,3487
127,508716.0,511416.0,idle,475.0,3487
70,529358.0,532058.0,idle,5317.0,3797
95,529475.0,532175.0,idle,19525.0,3798
96,529475.0,532175.0,idle,19525.0,3798
97,529475.0,532175.0,idle,19525.0,3798
98,529475.0,532175.0,idle,19525.0,3798
99,529475.0,532175.0,idle,19525.0,3798
100,529475.0,532175.0,idle,19525.0,3798
101,529475.0,532175.0,idle,19525.0,3798
102,529479.0,532179.0,idle,49.0,3799
103,529479.0,532179.0,idle,49.0,3799
104,529479.0,532179.0,idle,49.0,3799
105,529479.0,532179.0,idle,49.0,3799
106,529479.0,532179.0,idle,49.0,3799
107,529479.0,532179.0,idle,49.0,3799
108,529479.0,532179.0,idle,49.0,3799
109,529479.0,532179.0,idle,49.0,3799
110,529479.0,532179.0,idle,49.0,3799
111,529479.0,532179.0,idle,49.0,3799
112,529479.0,532179.0,idle,49.0,3799
113,529479.0,532179.0,idle,49.0,3799
114,529479.0,532179.0,idle,49.0,3799
115,529479.0,532179.0,idle,49.0,3799
116,529479.0,532179.0,idle,49.0,3799
117,529479.0,532179.0,idle,49.0,3799
76,534675.0,537375.0,idle,59.0,3864
77,534675.0,537375.0,idle,227.0,3864
78,534675.0,537375.0,idle,227.0,3864
79,534675.0,537375.0,idle,227.0,3864
80,534675.0,537375.0,idle,227.0,3864
81,534675.0,537375.0,idle,227.0,3864
82,534675.0,537375.0,idle,227.0,3864
83,534675.0,537375.0,idle,227.0,3864
84,534675.0,537375.0,idle,227.0,3864
85,534675.0,537375.0,idle,227.0,3864
86,534675.0,537375.0,idle,227.0,3864
87,534675.0,537375.0,idle,227.0,3864
88,534675.0,537375.0,idle,227.0,3864
89,534675.0,537375.0,idle,227.0,3864
