time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.0,0,0,0,128,0
0.0,0,0,0,124,4
132.0,0,0,0,128,0
256.0,0,0,0,128,0
256.0,0,0,0,127,1
297.0,0,0,0,127,1
297.0,0,0,0,123,5
300.0,0,0,0,123,5
300.0,0,0,123,0,5
321.0,0,0,123,4,1
328.0,0,0,123,4,1
328.0,0,0,123,3,2
337.0,0,0,123,4,1
367.0,0,0,123,5,0
455.0,0,0,123,5,0
455.0,0,0,123,4,1
490.0,0,0,123,4,1
494.0,0,0,123,4,1
571.0,0,0,123,5,0
576.0,0,0,123,5,0
621.0,0,0,123,5,0
621.0,0,0,126,2,0
637.0,0,0,126,2,0
637.0,0,0,127,1,0
871.0,0,0,127,1,0
871.0,0,0,128,0,0
1300.0,0,0,128,0,0
1307.0,0,0,128,0,0
1316.0,0,0,128,0,0
1326.0,0,0,128,0,0
1343.0,0,0,128,0,0
1535.0,0,0,128,0,0
1651.0,0,0,128,0,0
1795.0,0,0,128,0,0
1817.0,0,0,128,0,0
1906.0,0,0,128,0,0
1924.0,0,0,128,0,0
1927.0,0,0,128,0,0
2030.0,0,0,128,0,0
2100.0,123,0,5,0,0
2100.0,22,101,5,0,0
2245.0,22,101,5,0,0
2245.0,6,117,5,0,0
2300.0,6,117,5,0,0
2300.0,3,120,5,0,0
2349.0,3,120,5,0,0
2421.0,6,120,2,0,0
2437.0,7,120,1,0,0
2671.0,8,120,0,0,0
2800.0,8,120,0,0,0
2846.0,8,120,0,0,0
2846.0,2,126,0,0,0
2889.0,2,126,0,0,0
2953.0,2,126,0,0,0
3239.0,2,126,0,0,0
3252.0,2,126,0,0,0
3267.0,2,126,0,0,0
3968.0,2,126,0,0,0
4150.0,2,126,0,0,0
4161.0,2,126,0,0,0
4297.0,2,126,0,0,0
4800.0,2,25,0,101,0
4800.0,2,25,0,0,101
4808.0,2,25,0,16,85
4808.0,2,25,0,0,101
4819.0,2,25,0,1,100
4825.0,2,25,0,3,98
4828.0,2,25,0,5,96
4834.0,2,25,0,6,95
4838.0,2,25,0,10,91
4841.0,2,25,0,14,87
4868.0,2,25,0,15,86
4877.0,2,25,0,16,85
4877.0,2,25,0,0,101
4886.0,2,25,0,16,85
4945.0,2,9,0,40,77
4945.0,2,9,0,8,109
4953.0,2,9,0,16,101
4954.0,2,9,0,17,100
4990.0,2,9,0,33,84
4990.0,2,9,0,1,116
5000.0,2,6,0,8,112
5044.0,2,6,0,8,112
5114.0,2,6,0,8,112
5119.0,2,6,0,8,112
5138.0,2,6,0,10,110
5175.0,2,6,0,10,110
5175.0,2,6,0,2,118
5186.0,2,6,0,2,118
5224.0,2,6,0,34,86
5224.0,2,6,0,2,118
5253.0,2,6,0,10,110
5274.0,2,6,0,10,110
5274.0,2,6,0,2,118
5300.0,2,6,0,2,118
5330.0,2,6,0,34,86
5330.0,2,6,0,2,118
5350.0,2,6,0,10,110
5450.0,2,6,0,42,78
5450.0,2,6,0,2,118
5519.0,2,6,0,10,110
5546.0,2,0,0,16,110
5546.0,2,0,2,14,110
5587.0,2,0,2,14,110
5587.0,2,0,2,6,118
5629.0,2,0,2,14,110
5650.0,2,0,2,14,110
5722.0,2,0,2,46,78
5722.0,2,0,2,14,110
5731.0,2,0,2,14,110
5731.0,2,0,2,6,118
5811.0,2,0,2,8,116
5815.0,2,0,2,8,116
5818.0,2,0,2,16,108
5819.0,2,0,2,16,108
5819.0,2,0,6,12,108
5828.0,2,0,6,16,104
5929.0,2,0,6,32,88
5929.0,2,0,6,0,120
6003.0,2,0,6,16,104
6111.0,2,0,6,16,104
6155.0,2,0,6,48,72
6155.0,2,0,6,16,104
6158.0,2,0,6,48,72
6158.0,2,0,6,16,104
6193.0,2,0,6,16,104
6193.0,2,0,6,12,108
6238.0,2,0,6,16,104
6303.0,2,0,6,16,104
6303.0,2,0,18,4,104
6477.0,2,0,18,36,72
6477.0,2,0,18,4,104
6538.0,2,0,18,4,104
6538.0,2,0,22,0,104
6675.0,2,0,22,0,104
6928.0,2,0,22,0,104
6935.0,2,0,22,0,104
7007.0,2,0,22,0,104
7031.0,2,0,22,32,72
7031.0,2,0,22,16,88
7067.0,2,0,22,24,80
7067.0,2,0,22,16,88
7117.0,2,0,22,24,80
7123.0,2,0,22,32,72
7123.0,2,0,22,0,104
7125.0,2,0,22,0,104
7161.0,2,0,22,0,104
7168.0,2,0,22,0,104
7196.0,2,0,22,8,96
7196.0,2,0,22,0,104
7224.0,2,0,22,0,104
7230.0,2,0,22,0,104
7239.0,2,0,22,32,72
7239.0,2,0,22,16,88
7267.0,2,0,22,16,88
7267.0,2,0,22,8,96
7269.0,2,0,22,16,88
7326.0,2,0,22,24,80
7331.0,2,0,22,24,80
7336.0,2,0,22,32,72
7336.0,2,0,22,0,104
7346.0,4,0,20,0,104
7385.0,4,0,20,0,104
7388.0,4,0,20,0,104
7451.0,4,0,20,0,104
7539.0,4,0,20,0,104
7556.0,4,0,20,0,104
7558.0,4,0,20,0,104
7618.0,4,0,20,32,72
7618.0,4,0,20,0,104
7619.0,8,0,16,0,104
7634.0,8,0,16,8,96
7634.0,8,0,16,0,104
7670.0,8,0,16,8,96
7679.0,8,0,16,16,88
7698.0,8,0,16,16,88
7698.0,8,0,16,8,96
7708.0,8,0,16,16,88
7742.0,8,0,16,24,80
7797.0,8,0,16,32,72
7797.0,8,0,16,0,104
7822.0,8,0,16,0,104
7892.0,8,0,16,0,104
7923.0,8,0,16,0,104
7945.0,8,0,16,0,104
7970.0,8,0,16,0,104
8010.0,8,0,16,0,104
8103.0,20,0,4,0,104
8338.0,24,0,0,0,104
8465.0,24,0,0,32,72
8465.0,24,0,0,23,81
8466.0,24,0,0,23,81
8466.0,24,0,0,15,89
8468.0,24,0,0,16,88
8490.0,24,0,0,17,87
8520.0,24,0,0,18,86
8549.0,24,0,0,26,78
8567.0,24,0,0,28,76
8587.0,24,0,0,32,72
8587.0,24,0,0,0,104
8634.0,24,0,0,0,104
8765.0,24,0,0,0,104
8772.0,24,0,0,0,104
8795.0,24,0,0,0,104
8831.0,24,0,0,0,104
8852.0,24,0,0,0,104
9003.0,24,0,0,0,104
9047.0,24,0,0,0,104
9098.0,24,0,0,0,104
9121.0,24,0,0,0,104
9137.0,24,0,0,0,104
9196.0,24,0,0,0,104
9208.0,24,0,0,0,104
9233.0,24,0,0,0,104
9240.0,24,0,0,0,104
9381.0,24,0,0,0,104
9451.0,24,0,0,0,104
9541.0,24,0,0,0,104
9565.0,24,0,0,0,104
9569.0,24,0,0,0,104
9572.0,24,0,0,0,104
9594.0,24,0,0,0,104
9632.0,24,0,0,0,104
9750.0,24,0,0,0,104
9758.0,24,0,0,0,104
9780.0,24,0,0,0,104
9892.0,24,0,0,0,104
9899.0,24,0,0,0,104
9930.0,24,0,0,32,72
9930.0,24,0,0,1,103
9934.0,24,0,0,2,102
9946.0,24,0,0,4,100
9946.0,24,0,0,0,104
9947.0,24,0,0,1,103
9950.0,24,0,0,3,101
9953.0,24,0,0,5,99
9953.0,24,0,0,1,103
9959.0,24,0,0,3,101
9968.0,24,0,0,7,97
9968.0,24,0,0,3,101
9969.0,24,0,0,7,97
9969.0,24,0,0,3,101
9972.0,24,0,0,8,96
9972.0,24,0,0,0,104
9977.0,24,0,0,8,96
9977.0,24,0,0,0,104
9992.0,24,0,0,4,100
9999.0,24,0,0,6,98
10006.0,24,0,0,8,96
10006.0,24,0,0,0,104
10017.0,24,0,0,8,96
10017.0,24,0,0,0,104
10047.0,24,0,0,2,102
10050.0,24,0,0,6,98
10051.0,24,0,0,14,90
10051.0,24,0,0,6,98
10096.0,24,0,0,14,90
10096.0,24,0,0,6,98
10105.0,24,0,0,10,94
10138.0,24,0,0,18,86
10138.0,24,0,0,2,102
10146.0,24,0,0,2,102
10175.0,24,0,0,2,102
10175.0,24,0,0,1,103
10199.0,24,0,0,9,95
10199.0,24,0,0,1,103
10216.0,24,0,0,2,102
10230.0,24,0,0,2,102
10231.0,24,0,0,2,102
10231.0,24,0,0,1,103
10234.0,24,0,0,17,87
10234.0,24,0,0,1,103
10247.0,24,0,0,1,103
10255.0,24,0,0,2,102
10265.0,24,0,0,2,102
10280.0,24,0,0,10,94
10280.0,24,0,0,6,98
10285.0,24,0,0,8,96
10290.0,24,0,0,8,96
10290.0,24,0,0,6,98
10292.0,24,0,0,6,98
10342.0,24,0,0,10,94
10347.0,24,0,0,10,94
10347.0,24,0,1,9,94
10367.0,24,0,1,11,92
10369.0,24,0,1,11,92
10369.0,24,0,1,3,100
10383.0,24,0,1,7,96
10462.0,24,0,1,15,88
10484.0,24,0,1,31,72
10509.0,24,0,1,31,72
10509.0,24,0,1,23,80
10555.0,24,0,1,23,80
10555.0,24,0,2,22,80
10580.0,24,0,2,22,80
10580.0,24,0,4,20,80
10593.0,24,0,4,28,72
10683.0,24,0,4,28,72
10683.0,24,0,8,24,72
10762.0,24,0,8,24,72
10762.0,24,0,16,16,72
10784.0,24,0,16,16,72
10784.0,24,0,24,8,72
10826.0,24,0,24,8,72
10826.0,24,0,24,4,76
10847.0,24,0,24,4,76
10847.0,24,0,24,2,78
10893.0,24,0,24,2,78
10893.0,24,0,26,0,78
10951.0,24,0,26,6,72
11028.0,24,0,26,6,72
11028.0,24,0,26,2,76
11050.0,24,0,26,2,76
11050.0,24,0,26,0,78
11136.0,24,0,26,0,78
11251.0,24,0,26,0,78
11327.0,24,0,26,0,78
11334.0,24,0,26,32,46
11334.0,24,0,26,20,58
11383.0,24,0,26,24,54
11441.0,24,0,26,24,54
11441.0,24,0,26,22,56
11458.0,24,0,26,24,54
11479.0,24,0,26,24,54
11479.0,24,0,26,20,58
11516.0,24,0,26,24,54
11536.0,24,0,26,24,54
11536.0,24,0,26,16,62
11579.0,24,0,26,24,54
11598.0,24,0,26,24,54
11598.0,24,0,26,8,70
11634.0,24,0,26,8,70
11634.0,24,0,34,0,70
11660.0,24,0,34,16,54
11692.0,24,0,34,16,54
11692.0,22,2,34,16,54
11739.0,22,2,34,16,54
